,Slay Queen,Mean Sam,Akimbo,Petite Olga,Francis Geoffrey,Hit List,Queen Norma
06-01-2023 11:52:56.965422,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:58.094848,"(1.5, 2.12, 1.9927272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:52:59.195061,"(1.5, 2.1, 1.9854545454545454)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:00.243763,"(1.5, 2.1, 1.9854545454545454)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:01.241900,"(1.5, 2.1, 1.9854545454545454)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:02.330655,"(1.5, 2.1, 1.9854545454545454)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:03.447245,"(1.5, 2.1, 1.9854545454545454)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:04.509178,"(1.5, 2.1, 1.9854545454545454)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 25.0, 22.3)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:05.495943,"(1.5, 2.1, 1.9854545454545454)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 26.0, 23.1)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:06.517336,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 26.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:07.542096,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 31.90909090909091)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:08.703685,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 65.0, 34.6875)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:09.713630,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 34.6875)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:10.671136,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 34.6875)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:11.720213,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 34.6875)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:12.907787,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 34.6875)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:14.043755,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 30.545454545454547)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:15.189791,"(1.5, 2.08, 1.9781818181818183)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 30.545454545454547)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:16.331858,"(1.5, 2.06, 1.970909090909091)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 30.545454545454547)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:17.311855,"(1.5, 2.06, 1.970909090909091)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 30.545454545454547)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:18.303484,"(1.5, 2.06, 1.970909090909091)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 30.545454545454547)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:19.240182,"(1.5, 1.88, 1.6634146341463414)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 30.545454545454547)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:20.179763,"(1.5, 1.88, 1.6634146341463414)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 30.545454545454547)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:21.238035,"(1.5, 2.06, 1.7333333333333332)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 60.0, 38.4375)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:22.339502,"(1.5, 2.06, 1.741111111111111)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.827777777777778)","(21.0, 70.0, 38.4375)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:23.406513,"(1.5, 2.06, 1.741111111111111)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 38.4375)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:24.475121,"(1.5, 2.04, 1.845)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 38.4375)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:25.497125,"(1.5, 2.04, 1.9)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 38.4375)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:26.538289,"(1.5, 2.04, 1.9)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:27.531948,"(1.5, 2.04, 1.9)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:28.554491,"(1.5, 2.04, 1.7506666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:29.620092,"(1.5, 2.04, 1.7506666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:30.681550,"(1.5, 2.04, 1.7506666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:31.731671,"(1.5, 2.04, 1.7506666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:32.741090,"(1.5, 2.04, 1.7506666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:33.735252,"(1.5, 2.02, 1.7493333333333334)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:34.765236,"(1.5, 2.02, 1.7493333333333334)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:35.789345,"(1.5, 2.02, 1.7493333333333334)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:36.878446,"(1.5, 1.91, 1.7332142857142856)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:37.941416,"(1.5, 1.9, 1.7441666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:38.931493,"(1.5, 1.9, 1.7441666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:39.853400,"(1.5, 1.9, 1.7441666666666666)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:40.807669,"(1.5, 1.87, 1.7455555555555555)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:41.814549,"(1.5, 2.02, 1.7493333333333334)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 17.22222222222222)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:43.041615,"(1.5, 2.02, 1.748)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 25.0, 18.42857142857143)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:44.244134,"(1.5, 2.0, 1.748)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 24.0, 18.42857142857143)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:45.444645,"(1.5, 2.0, 1.748)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 33.27272727272727)","(11.0, 27.0, 20.357142857142858)","(11.0, 24.0, 18.42857142857143)","(16.0, 44.0, 22.545454545454547)"
06-01-2023 11:53:46.576625,"(1.5, 2.0, 1.748)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 43.06666666666666)","(12.0, 27.0, 18.666666666666668)","(12.0, 24.0, 17.055555555555557)","(17.0, 44.0, 29.25)"
06-01-2023 11:53:47.559191,"(1.5, 2.0, 1.748)","(17.0, 50.0, 28.0)","(3.3, 3.95, 3.45)","(21.0, 70.0, 43.06666666666666)","(12.0, 27.0, 18.666666666666668)","(12.0, 24.0, 17.055555555555557)","(17.0, 44.0, 29.25)"
06-01-2023 11:53:48.559954,"(1.5, 2.0, 1.748)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 70.0, 40.733333333333334)","(12.0, 27.0, 18.666666666666668)","(12.0, 24.0, 17.055555555555557)","(17.0, 44.0, 31.25)"
06-01-2023 11:53:49.703736,"(1.5, 2.0, 1.748)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 65.0, 40.733333333333334)","(12.0, 27.0, 18.11111111111111)","(12.0, 24.0, 16.5)","(17.0, 48.0, 31.25)"
06-01-2023 11:53:50.780142,"(1.5, 1.99, 1.758888888888889)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 65.0, 40.733333333333334)","(12.0, 27.0, 18.11111111111111)","(12.0, 24.0, 16.5)","(17.0, 48.0, 31.25)"
06-01-2023 11:53:51.770757,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 65.0, 40.733333333333334)","(12.0, 27.0, 18.11111111111111)","(12.0, 24.0, 16.5)","(17.0, 48.0, 31.25)"
06-01-2023 11:53:52.736850,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 65.0, 40.733333333333334)","(12.0, 27.0, 18.11111111111111)","(12.0, 24.0, 16.5)","(17.0, 48.0, 36.0)"
06-01-2023 11:53:53.718819,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 65.0, 40.733333333333334)","(12.0, 27.0, 18.666666666666668)","(12.0, 24.0, 17.055555555555557)","(17.0, 48.0, 26.333333333333336)"
06-01-2023 11:53:54.716837,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.45)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.666666666666668)","(12.0, 24.0, 17.75)","(17.0, 48.0, 26.333333333333336)"
06-01-2023 11:53:55.636047,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.666666666666668)","(12.0, 24.0, 17.75)","(17.0, 48.0, 26.333333333333336)"
06-01-2023 11:53:56.631997,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 14.083333333333334)","(12.0, 24.0, 13.583333333333334)","(17.0, 48.0, 26.333333333333336)"
06-01-2023 11:53:57.598970,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 13.583333333333334)","(17.0, 48.0, 32.0)"
06-01-2023 11:53:58.654815,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 13.583333333333334)","(17.0, 48.0, 26.666666666666664)"
06-01-2023 11:53:59.705041,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 13.583333333333334)","(17.0, 48.0, 26.666666666666664)"
06-01-2023 11:54:00.823778,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 13.583333333333334)","(17.0, 48.0, 26.666666666666664)"
06-01-2023 11:54:01.846654,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 13.583333333333334)","(17.0, 48.0, 26.666666666666664)"
06-01-2023 11:54:02.907578,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 27.666666666666664)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 13.583333333333334)","(17.0, 48.0, 26.666666666666664)"
06-01-2023 11:54:04.076097,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 33.25)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 16.77777777777778)","(17.0, 48.0, 26.666666666666664)"
06-01-2023 11:54:05.060873,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 33.25)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 18.38888888888889)","(12.0, 24.0, 19.357142857142858)","(17.0, 48.0, 26.666666666666664)"
06-01-2023 11:54:06.037691,"(1.5, 1.98, 1.7527272727272727)","(17.0, 50.0, 33.25)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 17.136363636363637)","(12.0, 24.0, 19.357142857142858)","(17.0, 48.0, 51.2)"
06-01-2023 11:54:07.263569,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 42.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:08.413789,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 33.0)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:09.488797,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 65.0, 69.0)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:10.550855,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.0)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:11.639085,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.0)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:12.665705,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:13.691756,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:14.673466,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:15.756529,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:16.772533,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:17.888571,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:19.034727,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:20.086167,"(1.5, 1.98, 1.7527272727272727)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
06-01-2023 11:54:21.087192,"(1.5, 2.48, 1.776875)","(17.0, 70.0, 64.05555555555556)","(3.3, 3.95, 3.4833333333333334)","(21.0, 85.0, 69.25)","(12.0, 27.0, 17.7)","(12.0, 24.0, 22.700000000000003)","(17.0, 60.0, 51.2)"
