,Alternate Shot,Sour Lemon,Epic Rooster,Maisey,Diamond Chipper,Trousseau,Goldstar Larson,Shane Baxter
12-01-2023 16:33:33.540667,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:34.552846,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:35.518968,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:36.613600,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:37.738070,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:39.025949,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:40.242094,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:41.309786,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:42.530734,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 6.5)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:43.598386,"(1.4, 2.56, 2.383157894736842)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.8, 7.071428571428571)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:44.705424,"(1.4, 2.54, 2.265)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.6, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:45.783411,"(1.4, 2.52, 2.27)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 41.35000000000001)","(19.0, 230.0, 112.5)","(21.0, 240.0, 99.36363636363636)"
12-01-2023 16:33:46.850867,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 46.0, 19.475)","(19.0, 230.0, 163.7)","(21.0, 240.0, 139.57142857142856)"
12-01-2023 16:33:48.018182,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 230.0, 112.77777777777777)"
12-01-2023 16:33:49.255342,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 230.0, 139.57142857142856)"
12-01-2023 16:33:50.484705,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 230.0, 112.77777777777777)"
12-01-2023 16:33:51.727659,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 230.0, 139.57142857142856)"
12-01-2023 16:33:52.871122,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 230.0, 107.4)"
12-01-2023 16:33:54.073228,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:33:55.319465,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:33:56.530181,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:33:57.677530,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:33:58.905057,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:00.187770,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:01.556687,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:02.758060,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.475)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:03.972931,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 6.728571428571429)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 17.95)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:05.272422,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.2, 7.071428571428571)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:06.424606,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.6, 7.071428571428571)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:07.561941,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.6, 7.071428571428571)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:08.704113,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.6, 7.071428571428571)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:09.866878,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.6, 7.071428571428571)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 107.4)"
12-01-2023 16:34:11.067173,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.6, 7.071428571428571)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:12.112557,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.4, 6.9)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:13.164309,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.4, 6.9)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:14.279842,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.4, 6.9)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:15.472930,"(1.4, 2.5, 2.2953846153846156)","(19.0, 190.0, 71.26923076923077)","(4.0, 7.4, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:16.805127,"(1.4, 2.5, 2.1823076923076923)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:18.157875,"(1.4, 2.5, 2.1784615384615384)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:19.361725,"(1.4, 2.48, 2.1784615384615384)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:20.722423,"(1.4, 2.48, 2.1784615384615384)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:21.980682,"(1.4, 2.46, 2.325)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 240.0, 134.28571428571428)"
12-01-2023 16:34:23.307683,"(1.4, 2.46, 2.325)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 220.0, 120.0)"
12-01-2023 16:34:24.546331,"(1.4, 2.46, 2.325)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 220.0, 134.28571428571428)"
12-01-2023 16:34:25.779854,"(1.4, 2.46, 2.325)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 163.7)","(21.0, 220.0, 134.28571428571428)"
12-01-2023 16:34:26.943405,"(1.4, 2.46, 2.325)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 84.5)","(21.0, 220.0, 134.28571428571428)"
12-01-2023 16:34:28.056440,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 220.0, 117.77777777777777)"
12-01-2023 16:34:29.330369,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:30.529522,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:31.681649,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:32.814141,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:34.000247,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:35.141427,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:36.266379,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:37.411579,"(1.4, 2.58, 2.415)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:38.518042,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:39.666542,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:40.757053,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:41.920918,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:43.066775,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:44.150937,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:45.232356,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:46.351338,"(1.4, 2.58, 2.4975)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
12-01-2023 16:34:47.723601,"(1.4, 2.56, 2.16625)","(19.0, 190.0, 71.26923076923077)","(4.0, 10.5, 7.199999999999999)","(19.0, 190.0, 69.88461538461539)","(19.0, 160.0, 99.35714285714286)","(9.0, 21.0, 19.854545454545455)","(19.0, 200.0, 79.0)","(21.0, 240.0, 108.0)"
