,What A Tart,Golden Lassie,Light Hearted,Jungle Goddess,Bend The Knee,Cascabria,Leading Indicator,Lil Sister Lou,Salt On The Rim,Westlodge Intrigue
14-12-2022 13:02:48.067014,"(21.0, 38.0, 33.46666666666667)","(4.2, 5.0, 4.664233576642335)","(31.0, 120.0, 113.63636363636363)","(6.5, 8.2, 7.866666666666666)","(11.0, 15.5, 15.166666666666666)","(18.0, 26.0, 25.6)","(4.6, 6.0, 5.919672131147541)","(12.0, 20.0, 19.428571428571427)","(18.0, 30.0, 32.8)","(3.2, 3.9, 3.771)"
14-12-2022 13:02:49.538644,"(21.0, 38.0, 33.46666666666667)","(4.2, 5.0, 4.643410852713178)","(31.0, 120.0, 113.63636363636363)","(6.5, 8.2, 7.680000000000001)","(11.0, 15.5, 14.8)","(18.0, 26.0, 24.7)","(4.6, 6.0, 5.618181818181818)","(12.0, 20.0, 19.5)","(18.0, 34.0, 32.8)","(3.2, 3.9, 3.771)"
14-12-2022 13:02:51.061553,"(21.0, 38.0, 34.16)","(4.2, 4.8, 4.7749999999999995)","(31.0, 120.0, 114.16666666666666)","(6.5, 8.4, 8.116666666666665)","(11.0, 15.0, 14.75)","(18.0, 25.0, 24.842105263157894)","(4.6, 6.0, 5.640000000000001)","(12.0, 20.0, 19.75)","(18.0, 34.0, 30.5)","(3.2, 3.9, 3.758241758241758)"
14-12-2022 13:02:52.646161,"(21.0, 50.0, 32.4)","(4.2, 5.0, 4.645528455284553)","(31.0, 120.0, 114.16666666666666)","(6.5, 8.2, 8.057142857142857)","(11.0, 15.0, 14.863636363636363)","(18.0, 25.0, 33.294117647058826)","(4.6, 6.0, 5.781818181818182)","(12.0, 21.0, 20.375)","(18.0, 32.0, 32.666666666666664)","(3.2, 3.9, 3.7090909090909094)"
14-12-2022 13:02:54.117175,"(21.0, 38.0, 33.851851851851855)","(4.2, 5.0, 4.690322580645161)","(31.0, 120.0, 115.0)","(6.5, 8.2, 8.057142857142857)","(11.0, 15.0, 14.727272727272727)","(18.0, 34.0, 33.130434782608695)","(4.6, 6.0, 5.363636363636363)","(12.0, 21.0, 20.375)","(18.0, 34.0, 32.666666666666664)","(3.2, 3.9, 3.73125)"
14-12-2022 13:02:55.580735,"(21.0, 38.0, 33.851851851851855)","(4.2, 5.0, 4.781132075471698)","(31.0, 120.0, 115.33333333333334)","(6.5, 8.2, 7.933333333333333)","(11.0, 15.0, 13.5)","(18.0, 38.0, 34.6)","(4.6, 5.8, 5.5)","(12.0, 21.0, 20.375)","(18.0, 34.0, 32.8)","(3.2, 3.95, 3.9772727272727275)"
14-12-2022 13:02:56.952045,"(21.0, 38.0, 34.13793103448276)","(4.2, 5.0, 4.658823529411764)","(31.0, 120.0, 115.33333333333334)","(6.5, 8.2, 7.685714285714286)","(11.0, 14.5, 13.25)","(18.0, 36.0, 32.8)","(4.6, 5.7, 5.5)","(12.0, 21.0, 19.4)","(18.0, 34.0, 32.8)","(3.2, 4.0, 3.9772727272727275)"
14-12-2022 13:02:58.180933,"(21.0, 38.0, 34.13793103448276)","(4.2, 5.0, 4.658823529411764)","(31.0, 120.0, 115.33333333333334)","(6.5, 8.4, 7.685714285714286)","(11.0, 14.0, 13.25)","(18.0, 34.0, 32.8)","(4.6, 5.7, 5.571428571428571)","(12.0, 20.0, 19.333333333333332)","(18.0, 34.0, 32.8)","(3.2, 4.0, 3.9772727272727275)"
14-12-2022 13:02:59.484394,"(21.0, 38.0, 34.13793103448276)","(4.2, 5.0, 4.704081632653061)","(31.0, 120.0, 115.33333333333334)","(6.5, 8.4, 7.685714285714286)","(11.0, 14.0, 13.25)","(18.0, 34.0, 31.6)","(4.6, 5.8, 5.52)","(12.0, 20.0, 19.0)","(18.0, 34.0, 32.666666666666664)","(3.2, 4.0, 3.931818181818182)"
14-12-2022 13:03:01.222039,"(21.0, 38.0, 33.851851851851855)","(4.2, 5.0, 4.704081632653061)","(31.0, 120.0, 113.0)","(6.5, 8.4, 7.685714285714286)","(11.0, 14.0, 13.25)","(16.0, 34.0, 30.727272727272727)","(4.6, 6.4, 5.85)","(12.0, 20.0, 19.0)","(18.0, 34.0, 32.666666666666664)","(3.3, 3.95, 3.931818181818182)"
14-12-2022 13:03:02.568760,"(21.0, 38.0, 33.851851851851855)","(4.2, 5.0, 4.704081632653061)","(31.0, 120.0, 102.5)","(6.5, 8.4, 7.8)","(11.0, 14.0, 13.555555555555555)","(16.0, 34.0, 31.0)","(4.6, 6.4, 6.071428571428571)","(12.0, 20.0, 19.0)","(18.0, 34.0, 32.90909090909091)","(3.3, 3.95, 3.805172413793103)"
14-12-2022 13:03:04.040207,"(21.0, 38.0, 32.333333333333336)","(4.2, 4.9, 4.8304347826086955)","(31.0, 120.0, 102.5)","(6.5, 8.2, 7.8)","(11.0, 14.0, 13.0)","(16.0, 32.0, 29.85123966942149)","(4.6, 6.2, 5.825)","(12.0, 19.5, 19.6)","(18.0, 34.0, 32.90909090909091)","(3.3, 3.95, 3.8874999999999997)"
14-12-2022 13:03:05.323304,"(21.0, 38.0, 32.333333333333336)","(4.2, 4.9, 4.790909090909091)","(31.0, 120.0, 102.5)","(6.5, 8.2, 8.022222222222222)","(11.0, 13.5, 13.318181818181818)","(16.0, 30.0, 27.333333333333332)","(4.6, 6.0, 5.781818181818182)","(12.0, 20.0, 19.75)","(18.0, 34.0, 33.0)","(3.3, 3.9, 3.783333333333333)"
14-12-2022 13:03:06.574881,"(21.0, 38.0, 32.333333333333336)","(4.2, 4.9, 4.790909090909091)","(31.0, 120.0, 102.5)","(6.5, 8.2, 7.8)","(11.0, 13.5, 13.318181818181818)","(16.0, 30.0, 28.22222222222222)","(4.6, 6.0, 5.6000000000000005)","(12.0, 21.0, 20.333333333333332)","(18.0, 34.0, 32.888888888888886)","(3.3, 3.8, 3.6677966101694914)"
14-12-2022 13:03:07.845187,"(21.0, 38.0, 32.42857142857143)","(4.2, 4.9, 4.66)","(31.0, 120.0, 106.0)","(6.5, 8.2, 7.999999999999999)","(11.0, 13.5, 13.357142857142858)","(16.0, 30.0, 28.22222222222222)","(4.6, 6.0, 5.818181818181818)","(12.0, 21.0, 20.6)","(18.0, 34.0, 33.09090909090909)","(3.3, 3.8, 3.6479166666666667)"
14-12-2022 13:03:09.167884,"(21.0, 38.0, 32.42857142857143)","(4.2, 4.9, 4.656)","(31.0, 120.0, 110.0)","(6.5, 8.2, 8.013333333333334)","(11.0, 13.5, 13.382352941176471)","(16.0, 29.0, 28.125)","(4.6, 6.0, 5.85)","(12.0, 21.0, 20.666666666666668)","(18.0, 34.0, 32.0)","(3.3, 3.65, 3.6708333333333334)"
14-12-2022 13:03:10.415011,"(21.0, 38.0, 32.42857142857143)","(4.2, 5.0, 4.656)","(31.0, 120.0, 110.0)","(6.5, 8.6, 8.013333333333334)","(11.0, 13.5, 14.029411764705882)","(16.0, 29.0, 28.744)","(4.6, 6.0, 5.818181818181818)","(12.0, 21.0, 20.5)","(18.0, 34.0, 32.0)","(3.3, 3.75, 3.6916666666666664)"
14-12-2022 13:03:11.663872,"(21.0, 38.0, 35.333333333333336)","(4.2, 5.0, 4.74468085106383)","(31.0, 120.0, 110.0)","(6.5, 8.6, 7.5)","(11.0, 14.5, 14.029411764705882)","(16.0, 29.0, 26.666666666666668)","(4.6, 6.0, 5.642857142857143)","(12.0, 21.0, 20.81818181818182)","(18.0, 34.0, 33.111111111111114)","(3.3, 3.75, 3.6556818181818183)"
14-12-2022 13:03:12.894304,"(21.0, 38.0, 33.55555555555556)","(4.2, 5.0, 4.74468085106383)","(31.0, 120.0, 110.0)","(6.5, 8.2, 7.514285714285714)","(11.0, 14.5, 14.1)","(16.0, 29.0, 27.444444444444443)","(4.6, 6.0, 5.7)","(12.0, 21.0, 20.81818181818182)","(18.0, 34.0, 33.111111111111114)","(3.3, 3.7, 3.722)"
14-12-2022 13:03:14.127780,"(21.0, 38.0, 33.0)","(4.2, 5.0, 4.742222222222222)","(31.0, 120.0, 110.0)","(6.5, 8.2, 7.771428571428571)","(11.0, 14.5, 14.272727272727273)","(16.0, 29.0, 27.444444444444443)","(4.6, 6.0, 5.7)","(12.0, 21.0, 20.88888888888889)","(18.0, 34.0, 33.111111111111114)","(3.3, 3.75, 3.725)"
14-12-2022 13:03:15.472059,"(21.0, 38.0, 33.55555555555556)","(4.2, 5.0, 4.742222222222222)","(31.0, 120.0, 110.0)","(6.5, 8.2, 7.771428571428571)","(11.0, 15.0, 14.466666666666667)","(16.0, 29.0, 27.444444444444443)","(4.6, 6.0, 5.821428571428571)","(12.0, 21.0, 22.57894736842105)","(18.0, 34.0, 33.111111111111114)","(3.3, 3.75, 3.7460526315789475)"
14-12-2022 13:03:16.738881,"(21.0, 40.0, 31.48148148148148)","(4.2, 5.0, 4.742222222222222)","(31.0, 120.0, 110.0)","(6.5, 8.2, 7.733333333333333)","(11.0, 15.0, 14.0)","(16.0, 29.0, 27.25)","(4.6, 6.0, 5.7)","(12.0, 23.0, 21.684210526315788)","(18.0, 34.0, 33.111111111111114)","(3.3, 3.75, 3.742857142857143)"
14-12-2022 13:03:18.112597,"(21.0, 50.0, 36.666666666666664)","(4.2, 5.0, 4.742222222222222)","(31.0, 120.0, 134.28571428571428)","(6.5, 8.0, 7.733333333333333)","(11.0, 15.0, 14.0)","(16.0, 28.0, 26.375)","(4.6, 6.0, 5.7)","(12.0, 22.0, 21.714285714285715)","(18.0, 34.0, 33.0)","(3.3, 3.75, 3.746969696969697)"
14-12-2022 13:03:19.412945,"(21.0, 40.0, 33.333333333333336)","(4.2, 5.0, 4.788235294117647)","(31.0, 160.0, 90.0)","(6.5, 8.0, 7.733333333333333)","(11.0, 14.5, 14.0)","(16.0, 27.0, 26.375)","(4.6, 5.9, 5.7)","(12.0, 22.0, 20.333333333333332)","(18.0, 34.0, 35.333333333333336)","(3.3, 3.75, 3.693181818181818)"
14-12-2022 13:03:20.704895,"(21.0, 48.0, 37.333333333333336)","(4.2, 5.1, 5.070588235294117)","(31.0, 160.0, 90.0)","(6.5, 8.0, 7.911111111111111)","(11.0, 14.5, 14.0)","(16.0, 27.0, 25.88888888888889)","(4.6, 5.9, 5.7)","(12.0, 22.0, 21.714285714285715)","(18.0, 38.0, 36.15384615384615)","(3.3, 3.9, 3.7416666666666667)"
14-12-2022 13:03:22.069979,"(21.0, 48.0, 44.5)","(4.2, 5.1, 4.9937499999999995)","(31.0, 160.0, 108.0)","(6.5, 8.0, 11.54)","(11.0, 14.5, 15.575)","(16.0, 27.0, 42.0)","(4.6, 5.9, 10.443750000000001)","(12.0, 22.0, 19.75)","(18.0, 38.0, 37.550000000000004)","(3.3, 3.9, 4.4228571428571435)"
14-12-2022 13:03:23.420063,"(21.0, 55.0, 38.5)","(4.2, 5.1, 4.087999999999999)","(31.0, 190.0, 148.28571428571428)","(6.5, 14.0, 11.54)","(11.0, 20.0, 15.575)","(16.0, 55.0, 36.0)","(4.6, 12.0, 9.0)","(12.0, 28.0, 19.75)","(18.0, 70.0, 52.857142857142854)","(3.3, 5.7, 4.4228571428571435)"
14-12-2022 13:03:24.779997,"(21.0, 55.0, 38.5)","(4.2, 4.6, 4.087999999999999)","(31.0, 190.0, 148.28571428571428)","(6.5, 14.0, 12.177777777777777)","(11.0, 20.0, 16.628571428571426)","(16.0, 46.0, 48.666666666666664)","(4.6, 12.0, 4.421052631578947)","(12.0, 28.0, 21.4)","(18.0, 70.0, 52.857142857142854)","(3.3, 5.7, 2.7901886792452832)"
