,What A Tart,Golden Lassie,Light Hearted,Jungle Goddess,Bend The Knee,Cascabria,Leading Indicator,Lil Sister Lou,Salt On The Rim,Westlodge Intrigue
14-12-2022 13:00:38.293384,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 5.25)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.785714285714285)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 18.5, 19.192307692307693)","(15.0, 26.0, 24.5)","(3.2, 3.6, 3.5347826086956524)"
14-12-2022 13:00:39.843734,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 4.958064516129032)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.7)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 20.0, 18.642857142857142)","(15.0, 27.0, 24.857142857142858)","(3.2, 3.6, 3.5073529411764706)"
14-12-2022 13:00:41.285715,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.5, 5.1230769230769235)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.5, 18.642857142857142)","(15.0, 26.0, 24.857142857142858)","(3.2, 3.6, 3.5347826086956524)"
14-12-2022 13:00:42.819176,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 5.052173913043478)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.5, 18.264705882352942)","(15.0, 26.0, 24.857142857142858)","(3.2, 3.6, 3.5611111111111113)"
14-12-2022 13:00:44.246701,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 5.052173913043478)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.5, 17.666666666666668)","(15.0, 26.0, 24.857142857142858)","(3.2, 3.65, 3.592857142857143)"
14-12-2022 13:00:45.751701,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 5.141935483870968)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.0, 17.666666666666668)","(15.0, 26.0, 24.142857142857142)","(3.2, 3.65, 3.4870370370370374)"
14-12-2022 13:00:47.185962,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 5.141935483870968)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.0, 18.176470588235293)","(15.0, 25.0, 24.142857142857142)","(3.2, 3.65, 3.4956140350877196)"
14-12-2022 13:00:48.572184,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 5.141935483870968)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.0, 18.176470588235293)","(15.0, 25.0, 24.142857142857142)","(3.2, 3.65, 3.4956140350877196)"
14-12-2022 13:00:50.037547,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 5.141935483870968)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.0, 18.176470588235293)","(15.0, 25.0, 24.142857142857142)","(3.2, 3.65, 3.4956140350877196)"
14-12-2022 13:00:51.490510,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 4.842424242424242)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(11.0, 19.0, 18.176470588235293)","(15.0, 25.0, 24.5)","(3.2, 3.65, 3.5242857142857145)"
14-12-2022 13:00:52.943463,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 4.842424242424242)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(10.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.6, 6.4, 6.170833333333333)","(12.0, 19.0, 18.176470588235293)","(15.0, 27.0, 24.5)","(3.2, 3.65, 3.5242857142857145)"
14-12-2022 13:00:54.416281,"(21.0, 38.0, 30.142857142857142)","(4.8, 5.4, 4.869230769230769)","(31.0, 120.0, 94.66666666666666)","(6.5, 8.4, 8.17142857142857)","(11.0, 15.0, 14.55)","(19.0, 48.0, 42.666666666666664)","(4.8, 6.4, 6.170833333333333)","(12.0, 19.0, 18.176470588235293)","(15.0, 27.0, 24.5)","(3.2, 3.65, 3.506521739130435)"
