,Highway Man,Block Busted,Lucretia Ann,Charizard,Too Much Trifle,Rapid Voyage,Tower Bell,Zipping Wreck
24,"[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 3.2, 4.6]","[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 18, 59, 604908), 2.8, 4.7]"
25,"[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 3.2, 4.5]","[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 0, 746191), 2.8, 4.7]"
26,"[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 3.2, 4.4]","[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 1, 883192), 2.8, 4.7]"
27,"[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 3.2, 4.4]","[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 3, 32611), 2.8, 4.7]"
28,"[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 3.2, 4.4]","[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 4, 156103), 2.8, 4.7]"
29,"[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 5, 284037), 2.8, 4.7]"
30,"[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 6, 411716), 2.8, 4.7]"
31,"[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 7, 540932), 2.8, 4.7]"
32,"[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 8, 669157), 2.8, 4.7]"
33,"[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 41.0, 390.0]","[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 3.2, 4.2]","[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 26.0, 80.0]","[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 3.4, 5.0]","[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 16.0, 34.0]","[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 12.0, 26.0]","[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 7.0, 8.8]","[datetime.datetime(2022, 11, 28, 15, 19, 9, 791670), 2.8, 4.7]"
