,Seductive Angel,Fan Cool Unit,Jimary Decoder,Bugatti Moon,Jet Set Jack,Alinta Fire,Lees Bonus,Choose Well
08-12-2022 12:31:18.244834,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.742307692307692)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:19.240142,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:20.290491,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:21.277927,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:22.276389,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:23.285148,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:24.283854,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:25.248356,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.50909090909091)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:26.256918,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.50909090909091)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:27.321320,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 88.51851851851852)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.50909090909091)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:28.301496,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 85.22727272727272)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:29.292307,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:30.297194,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:31.283572,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:32.273788,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:33.244561,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.466666666666667)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:34.207895,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.50909090909091)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:35.457327,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.571428571428572)","(31.0, 50.0, 41.27272727272727)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:36.447397,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.618181818181818)","(31.0, 50.0, 36.22222222222222)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:37.434976,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.578947368421053)","(31.0, 48.0, 37.333333333333336)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:38.560455,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.578947368421053)","(31.0, 48.0, 36.592592592592595)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:39.593432,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.578947368421053)","(31.0, 48.0, 36.592592592592595)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:40.684793,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:41.817354,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.550000000000001)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:42.869045,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.550000000000001)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:43.968159,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.550000000000001)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:44.980425,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.1085714285714285)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.550000000000001)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:45.991693,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.106896551724138)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:47.031003,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.106896551724138)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:48.027811,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:49.022678,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:50.129888,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:51.153446,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:52.136686,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:53.142274,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:54.113893,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4)"
08-12-2022 12:31:55.116972,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.425)"
08-12-2022 12:31:56.175204,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.425)"
08-12-2022 12:31:57.238538,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.425)"
08-12-2022 12:31:58.303247,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.425)"
08-12-2022 12:31:59.528988,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.542857142857143)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.425)"
08-12-2022 12:32:00.634605,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.0, 5.4, 4.735)","(4.6, 7.0, 6.65)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.425)"
08-12-2022 12:32:01.604414,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.7)","(31.0, 48.0, 40.63157894736842)","(2.25, 3.55, 3.425)"
08-12-2022 12:32:02.574990,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.116666666666667)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.7)","(31.0, 48.0, 40.63157894736842)","(2.25, 3.55, 3.425)"
08-12-2022 12:32:03.597734,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.753846153846154)","(31.0, 48.0, 40.63157894736842)","(2.25, 3.5, 3.373684210526316)"
08-12-2022 12:32:04.574269,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 40.63157894736842)","(2.25, 3.5, 3.360869565217391)"
08-12-2022 12:32:05.607756,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 40.63157894736842)","(2.25, 3.5, 3.3874999999999997)"
08-12-2022 12:32:06.680992,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 40.63157894736842)","(2.25, 3.5, 3.3874999999999997)"
08-12-2022 12:32:07.803340,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 40.63157894736842)","(2.25, 3.5, 3.3874999999999997)"
08-12-2022 12:32:08.797728,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.735)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:09.800230,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.742307692307692)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:10.822310,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.142424242424243)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.4, 4.9375)","(4.8, 7.0, 6.7)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:11.834781,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.134375)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.7)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:12.964680,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.134375)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.7)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:14.018761,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.102702702702703)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:15.038505,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.102702702702703)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:16.038564,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.102702702702703)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:17.039792,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.4, 5.102702702702703)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.4166666666666665)"
08-12-2022 12:32:18.043773,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.3, 5.122222222222223)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 38.666666666666664)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:19.106593,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.3, 5.114285714285715)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 39.76470588235294)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:20.106705,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.125)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 39.76470588235294)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:21.224392,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.125)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 39.76470588235294)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:22.267366,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.125)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 39.76470588235294)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:23.306690,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.125)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 39.76470588235294)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:24.396775,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.071428571428572)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.7)","(31.0, 48.0, 40.125)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:25.391743,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.071428571428572)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.7)","(31.0, 48.0, 40.125)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:26.406778,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.056521739130435)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.7)","(31.0, 48.0, 40.125)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:27.404619,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.1000000000000005)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 40.125)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:28.432168,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 90.57692307692308)","(4.8, 5.2, 5.1000000000000005)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 40.125)","(2.25, 3.55, 3.459090909090909)"
08-12-2022 12:32:29.487070,"(7.5, 11.0, 8.573333333333332)","(61.0, 120.0, 92.6086956521739)","(4.8, 5.2, 5.056521739130435)","(91.0, 610.0, 567.0833333333333)","(4.2, 5.0, 4.9375)","(4.8, 7.0, 6.811764705882353)","(31.0, 48.0, 40.125)","(2.25, 3.55, 3.459090909090909)"
