,Lads On Fire,Balmain Juror,Style Council,Mott The Hoople,Blowin A Tune,Dragon Princess,Lenny Rocks Out,Aurora Damiro
09-01-2023 09:44:07.624386,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:08.698123,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:09.822159,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:10.878130,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:11.950059,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:13.042629,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:14.130606,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:15.127319,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 4.357142857142858)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:16.209212,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 4.9, 3.2560975609756095)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:17.235282,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.1, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:18.338039,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:19.459440,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:20.576452,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:21.631104,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:22.640928,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:23.703643,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:24.794236,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:25.919925,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:26.989020,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:28.032193,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:29.040521,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:30.112113,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:31.214208,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:32.349635,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:33.466233,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:34.516580,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:35.613719,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:36.686741,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:37.765236,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:38.795105,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:39.843843,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:40.914564,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:42.016725,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:43.097313,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:44.150279,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:45.167286,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:46.185005,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:47.262499,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:48.317481,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:49.415937,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:50.399380,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:51.396469,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:52.443459,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:53.483330,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:54.472156,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:55.498735,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:56.521981,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:57.625933,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:58.695523,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:44:59.752106,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:00.834746,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:01.916658,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:03.029832,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:04.138668,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:05.225767,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:06.243746,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:07.269678,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:08.374032,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:09.487625,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:10.650266,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:11.742655,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:12.771360,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:13.804919,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:14.931783,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:16.028614,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
09-01-2023 09:45:17.121724,"(3.1, 5.8, 5.125)","(6.5, 13.5, 13.03125)","(71.0, 570.0, 485.83333333333337)","(41.0, 350.0, 180.9090909090909)","(2.45, 5.0, 4.428571428571429)","(61.0, 550.0, 467.5)","(21.0, 90.0, 46.875)","(3.0, 3.95, 3.2375)"
