,Heza Starman,Complicated,Fullon,Major Monty Nz,Sokys Falcon,Tiger Cheddar,Jaffa Nz,Mangochililime,Glamors Symbol,Got The Goods
09-01-2023 14:37:08.281863,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:09.625553,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:10.983448,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:12.276692,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:13.566503,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:14.822744,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:16.037306,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:17.379679,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:18.735636,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:20.055977,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:21.339050,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:22.619042,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:23.881380,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:25.133268,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:26.360943,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:27.630433,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:29.029674,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:30.289173,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:31.567539,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:32.865043,"(21.0, 70.0, 56.875)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:34.125032,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:35.307035,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:36.479210,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:37.739475,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:39.022246,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:40.237434,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:41.506930,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:42.839567,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:44.256906,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:45.549512,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:46.849836,"(21.0, 70.0, 35.33333333333333)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:48.119491,"(21.0, 70.0, 58.44444444444444)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:49.289884,"(21.0, 70.0, 58.44444444444444)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:50.532105,"(21.0, 70.0, 58.44444444444444)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:52.120439,"(21.0, 70.0, 58.44444444444444)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:53.572613,"(21.0, 70.0, 58.44444444444444)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
09-01-2023 14:37:54.989437,"(21.0, 70.0, 58.44444444444444)","(81.0, 220.0, 175.71428571428572)","(5.5, 8.2, 7.449999999999999)","(4.6, 99999, 99990)","(6.0, 12.5, 6.323076923076924)","(71.0, 220.0, 175.71428571428572)","(5.0, 99999, 99990)","(10.0, 20.0, 15.760000000000002)","(6.0, 13.0, 8.68)","(4.4, 99999, 99990)"
