,Teamplay Miss,Thats Hectic,Shaq Owes,Jingalong Lotte,Showtime Lydia,Ebby Von
16-12-2022 10:52:23.596104,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:24.763612,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:25.848574,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:26.793901,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:27.914573,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:29.088055,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:30.342569,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:31.518311,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:32.635962,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:33.753783,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:34.972873,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:36.272889,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:37.422231,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:38.499561,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:39.549004,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:40.604767,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:41.701908,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:42.806327,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:43.864288,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:44.912881,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:45.867538,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:47.002894,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:48.197421,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:49.285901,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:50.391263,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:51.476891,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:52.561554,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:53.604619,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:54.596385,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:55.677957,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:56.814529,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:57.744956,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:58.692437,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:52:59.663849,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:00.644866,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:01.545850,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:02.600512,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:03.669342,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:04.735439,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:05.823378,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:06.845572,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:07.786415,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:08.738018,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:09.692513,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:10.725334,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:11.846052,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:12.919208,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:13.824008,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:14.792024,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:15.847502,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:16.834637,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:17.891205,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:18.984246,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:20.066532,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:20.963745,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:21.893155,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:22.903226,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:23.884879,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:24.894894,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:25.964185,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:27.025341,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:28.019828,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:28.996536,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:30.007003,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:30.963615,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:31.955192,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:32.987565,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:34.061747,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:35.135370,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:36.087311,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:37.103934,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:38.097709,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:39.050500,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:40.039850,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.6151612903225807)"
16-12-2022 10:53:41.109010,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:42.167788,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:43.212844,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:44.201414,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:45.170856,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:46.153905,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:47.336210,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:48.484795,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:49.610283,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:50.727217,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:51.830226,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:52.988698,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:54.134139,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:55.181245,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8221739130434784)"
16-12-2022 10:53:56.288874,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8586363636363634)"
16-12-2022 10:53:57.448684,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8586363636363634)"
16-12-2022 10:53:58.609079,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8586363636363634)"
16-12-2022 10:53:59.902416,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8586363636363634)"
16-12-2022 10:54:01.083694,"(4.2, 6.0, 5.402777777777778)","(18.0, 95.0, 57.5)","(12.0, 36.0, 27.607142857142858)","(18.0, 50.0, 32.25)","(2.9, 4.3, 3.493333333333333)","(2.0, 3.25, 2.8586363636363634)"
