,Black Horizon,One More Time,Lethal Violet,Apache Vera,Zabil,Lornas Flying
14-12-2022 14:12:31.094281,"(3.6, 6.0, 4.5625)","(4.0, 6.8, 5.8)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 37.77777777777778)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:32.053584,"(3.6, 6.0, 4.75)","(4.0, 6.8, 5.8)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 37.77777777777778)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:33.002165,"(3.6, 6.0, 4.625)","(4.0, 6.8, 5.8)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 37.77777777777778)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:33.917540,"(3.6, 6.0, 4.625)","(4.0, 6.8, 5.663636363636363)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 37.77777777777778)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:34.862321,"(3.6, 6.0, 4.5625)","(4.0, 6.8, 6.064705882352941)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:35.969440,"(3.6, 6.0, 4.75)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:37.014222,"(3.6, 6.0, 4.625)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:38.084604,"(3.6, 6.0, 4.625)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 17.125)","(4.2, 8.2, 6.311111111111111)"
14-12-2022 14:12:39.105821,"(3.6, 6.0, 4.625)","(4.0, 6.8, 5.522222222222222)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.2, 6.222222222222222)"
14-12-2022 14:12:40.122716,"(3.6, 6.0, 4.4375)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:41.112192,"(3.6, 6.0, 4.638888888888889)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:42.141031,"(3.6, 6.0, 4.638888888888889)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:43.179743,"(3.6, 6.0, 4.5)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:44.181710,"(3.6, 6.0, 4.5)","(4.0, 6.8, 5.633333333333333)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:45.114791,"(3.6, 6.0, 4.4375)","(4.0, 6.8, 5.633333333333333)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:46.136124,"(3.6, 6.0, 4.4375)","(4.0, 6.8, 5.55)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:47.154449,"(3.6, 6.0, 4.638888888888889)","(4.0, 6.8, 5.55)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:48.154714,"(3.6, 6.0, 4.5)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:49.161870,"(3.6, 6.0, 4.5)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:50.103760,"(3.6, 6.0, 4.5)","(4.0, 6.8, 5.522222222222222)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:51.128204,"(3.6, 6.0, 4.4375)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:52.193522,"(3.6, 6.0, 4.4375)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 18.75)","(4.2, 8.0, 6.222222222222222)"
14-12-2022 14:12:53.250125,"(3.6, 6.0, 4.638888888888889)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 14.0)","(4.2, 8.0, 7.68)"
14-12-2022 14:12:54.212109,"(3.6, 6.2, 3.9576923076923074)","(4.0, 7.0, 4.942857142857142)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 16.22222222222222)","(4.2, 8.4, 7.68)"
14-12-2022 14:12:55.189650,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.857142857142857)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 16.22222222222222)","(4.2, 8.4, 7.68)"
14-12-2022 14:12:56.167099,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.857142857142857)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 19.0)","(4.2, 8.4, 6.133333333333333)"
14-12-2022 14:12:57.200997,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 4.857142857142857)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:12:58.122202,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.036363636363636)","(2.6, 3.25, 3.006666666666667)","(18.0, 60.0, 33.333333333333336)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:12:59.225540,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.0285714285714285)","(2.6, 3.25, 3.120909090909091)","(18.0, 55.0, 35.55555555555556)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:13:00.345169,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.0285714285714285)","(2.6, 3.25, 3.120909090909091)","(18.0, 55.0, 35.55555555555556)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:13:01.414646,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.0285714285714285)","(2.6, 3.25, 3.120909090909091)","(18.0, 55.0, 35.55555555555556)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:13:02.462099,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.0285714285714285)","(2.6, 3.25, 3.120909090909091)","(18.0, 55.0, 35.55555555555556)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:13:03.429323,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.2)","(2.6, 3.25, 3.120909090909091)","(18.0, 55.0, 35.55555555555556)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:13:04.487432,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.2)","(2.6, 3.25, 3.120909090909091)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.133333333333333)"
14-12-2022 14:13:05.669065,"(3.6, 6.2, 4.293333333333333)","(4.0, 7.0, 5.2)","(2.6, 3.25, 3.120909090909091)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.8, 6.044444444444444)"
14-12-2022 14:13:06.767289,"(3.6, 6.0, 5.076923076923077)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.0825)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:07.806374,"(3.6, 6.0, 5.076923076923077)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.0825)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:08.873198,"(3.6, 6.0, 5.076923076923077)","(4.0, 6.8, 5.4875)","(2.6, 3.25, 3.0825)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:09.956392,"(3.6, 6.0, 5.076923076923077)","(4.0, 6.8, 5.4875)","(2.6, 3.25, 3.0825)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:11.073327,"(3.6, 6.0, 5.076923076923077)","(4.0, 6.8, 5.688888888888888)","(2.6, 3.25, 3.0825)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:12.097243,"(3.6, 6.0, 5.076923076923077)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.0825)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:13.047346,"(3.6, 6.0, 5.076923076923077)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.0825)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 19.0)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:14.092179,"(3.6, 6.0, 4.931818181818182)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.044736842105263)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 18.615384615384613)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:15.195590,"(3.6, 6.0, 4.5625)","(4.0, 6.8, 5.175)","(2.6, 3.25, 3.044736842105263)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 18.615384615384613)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:16.340087,"(3.6, 6.0, 4.5625)","(4.0, 6.8, 5.175)","(2.6, 3.25, 3.044736842105263)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.6, 6.044444444444444)"
14-12-2022 14:13:17.420579,"(3.6, 6.0, 4.5625)","(4.0, 6.8, 5.411111111111111)","(2.6, 3.25, 3.044736842105263)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.6, 5.955555555555556)"
14-12-2022 14:13:18.390476,"(3.6, 5.9, 4.525)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.044736842105263)","(18.0, 55.0, 31.666666666666664)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:19.355771,"(3.6, 5.9, 4.705555555555556)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.044736842105263)","(18.0, 65.0, 40.0)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:20.428029,"(3.6, 5.9, 4.705555555555556)","(4.0, 6.8, 5.3)","(2.6, 3.25, 3.044736842105263)","(18.0, 65.0, 40.0)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:21.504271,"(3.6, 5.9, 4.5875)","(4.0, 6.8, 5.1125)","(2.6, 3.25, 3.044736842105263)","(18.0, 65.0, 40.0)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:22.641435,"(3.6, 5.9, 4.5875)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.044736842105263)","(18.0, 65.0, 40.0)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:23.721320,"(3.6, 5.9, 4.36875)","(4.0, 6.8, 5.425)","(2.6, 3.25, 2.8736363636363635)","(18.0, 65.0, 35.0)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:24.822299,"(3.6, 5.9, 4.566666666666666)","(4.0, 6.8, 5.425)","(2.6, 3.25, 2.8736363636363635)","(18.0, 65.0, 40.0)","(10.0, 24.0, 16.588235294117645)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:25.868075,"(3.6, 5.9, 4.566666666666666)","(4.0, 7.0, 4.942857142857142)","(2.6, 3.25, 3.0575)","(18.0, 65.0, 40.0)","(10.0, 24.0, 17.605263157894736)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:26.938452,"(3.6, 5.9, 4.566666666666666)","(4.0, 7.0, 4.942857142857142)","(2.6, 3.25, 3.0575)","(18.0, 65.0, 40.0)","(10.0, 24.0, 17.605263157894736)","(4.2, 7.4, 5.955555555555556)"
14-12-2022 14:13:27.886743,"(3.6, 5.9, 4.43125)","(4.0, 7.0, 5.114285714285714)","(2.6, 3.25, 2.8)","(18.0, 65.0, 40.0)","(10.0, 24.0, 17.605263157894736)","(4.2, 7.4, 5.866666666666667)"
14-12-2022 14:13:28.865977,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.55)","(2.6, 3.25, 2.8)","(18.0, 65.0, 35.0)","(10.0, 24.0, 17.605263157894736)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:29.954537,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.55)","(2.6, 3.25, 3.0625)","(18.0, 65.0, 35.0)","(10.0, 24.0, 14.25)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:30.985417,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.55)","(2.6, 3.25, 3.0625)","(18.0, 65.0, 35.0)","(10.0, 24.0, 14.25)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:32.031087,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.55)","(2.6, 3.25, 3.0625)","(18.0, 65.0, 35.0)","(10.0, 24.0, 15.346153846153847)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:33.095556,"(3.6, 5.8, 4.45625)","(4.0, 6.8, 5.7444444444444445)","(2.6, 3.25, 3.0625)","(18.0, 65.0, 35.0)","(10.0, 24.0, 15.346153846153847)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:34.015628,"(3.6, 5.8, 4.45625)","(4.0, 6.8, 5.675)","(2.6, 3.25, 3.0625)","(18.0, 65.0, 35.0)","(10.0, 24.0, 15.346153846153847)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:35.120227,"(3.6, 5.8, 4.45625)","(4.0, 6.8, 5.9818181818181815)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 18.315789473684212)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:36.303386,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 19.09090909090909)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:37.368721,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.425)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:38.359193,"(3.6, 5.8, 4.33125)","(4.0, 6.8, 5.1125)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:39.370020,"(3.6, 5.8, 4.522222222222222)","(4.0, 6.8, 5.355555555555556)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.2, 5.866666666666667)"
14-12-2022 14:13:40.429958,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.2375)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.2, 5.777777777777778)"
14-12-2022 14:13:41.566714,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 6.014285714285714)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:42.664795,"(3.6, 5.8, 4.39375)","(4.0, 6.8, 5.4875)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:43.749793,"(3.6, 5.8, 4.33125)","(4.0, 6.8, 5.4875)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:44.765695,"(3.6, 5.8, 4.522222222222222)","(4.0, 6.8, 5.688888888888888)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:45.771802,"(3.6, 5.8, 4.996428571428572)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:46.823332,"(3.6, 5.8, 4.996428571428572)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.0725)","(18.0, 65.0, 35.0)","(10.0, 24.0, 20.666666666666664)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:47.870440,"(3.6, 5.8, 4.996428571428572)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.1460975609756097)","(18.0, 65.0, 35.0)","(10.0, 24.0, 22.0)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:48.938708,"(3.6, 5.8, 5.33125)","(4.0, 6.8, 5.6125)","(2.6, 3.25, 3.1460975609756097)","(18.0, 65.0, 43.0)","(10.0, 24.0, 22.0)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:49.998662,"(3.6, 5.8, 5.33125)","(4.0, 6.8, 5.4875)","(2.6, 3.25, 3.1460975609756097)","(18.0, 65.0, 43.0)","(10.0, 24.0, 22.0)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:51.050520,"(3.6, 5.8, 5.33125)","(4.0, 6.8, 5.925)","(2.6, 3.25, 3.052857142857143)","(18.0, 65.0, 43.0)","(10.0, 24.0, 22.0)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:52.109936,"(3.6, 5.8, 4.904166666666667)","(4.0, 6.8, 6.030769230769231)","(2.6, 3.25, 3.1494999999999997)","(18.0, 65.0, 43.0)","(10.0, 24.0, 22.0)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:53.294296,"(3.6, 5.8, 4.904166666666667)","(4.0, 6.8, 5.9363636363636365)","(2.6, 3.25, 3.1494999999999997)","(18.0, 65.0, 41.0)","(10.0, 24.0, 22.0)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:54.356667,"(3.6, 5.8, 4.904166666666667)","(4.0, 6.8, 6.241176470588235)","(2.6, 3.25, 3.1494999999999997)","(18.0, 65.0, 42.599999999999994)","(10.0, 24.0, 22.0)","(4.2, 7.0, 5.777777777777778)"
14-12-2022 14:13:55.443880,"(3.6, 5.8, 4.904166666666667)","(4.0, 6.8, 6.241176470588235)","(2.6, 3.25, 3.1494999999999997)","(18.0, 65.0, 42.599999999999994)","(10.0, 24.0, 21.0)","(4.2, 7.0, 8.04)"
14-12-2022 14:13:56.505062,"(3.6, 6.2, 4.425806451612903)","(4.0, 7.0, 5.74)","(2.6, 3.25, 2.9714285714285715)","(18.0, 65.0, 42.599999999999994)","(10.0, 24.0, 21.0)","(4.2, 8.4, 8.04)"
14-12-2022 14:13:57.564452,"(3.6, 6.2, 4.341379310344828)","(4.0, 7.0, 5.74)","(2.6, 3.25, 3.1555)","(18.0, 65.0, 42.599999999999994)","(10.0, 24.0, 21.0)","(4.2, 8.4, 8.04)"
14-12-2022 14:13:58.671032,"(3.6, 6.0, 5.0625)","(4.0, 6.8, 6.241176470588235)","(2.6, 3.25, 3.1555)","(18.0, 60.0, 38.23529411764706)","(10.0, 24.0, 21.0)","(4.2, 8.4, 6.960000000000001)"
14-12-2022 14:13:59.692908,"(3.6, 6.0, 5.0625)","(4.0, 6.8, 6.241176470588235)","(2.6, 3.25, 3.1555)","(18.0, 60.0, 38.23529411764706)","(10.0, 24.0, 21.0)","(4.2, 8.4, 6.960000000000001)"
14-12-2022 14:14:00.710296,"(3.6, 5.9, 5.118181818181818)","(4.0, 6.8, 6.241176470588235)","(2.6, 3.25, 3.1555)","(18.0, 60.0, 38.23529411764706)","(10.0, 24.0, 21.0)","(4.2, 8.4, 6.960000000000001)"
14-12-2022 14:14:01.708387,"(3.6, 5.9, 5.118181818181818)","(4.0, 6.8, 6.241176470588235)","(2.6, 3.25, 3.1555)","(18.0, 60.0, 46.785714285714285)","(10.0, 24.0, 27.714285714285715)","(4.2, 8.4, 6.096)"
