,Only You,Joshua Keeping,Teskey,Mickey Wow,Corless Crazy,Pacific Gold,Winlock Pete,Lee Keeping
09-01-2023 15:29:10.597773,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:12.096932,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:13.430292,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:14.766313,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:16.187954,"(13.0, 38.0, 23.0)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.6671428571428573)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:17.424681,"(13.0, 38.0, 23.3)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:18.585203,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:19.789856,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:20.998806,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:22.237015,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:23.409592,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:24.756436,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:25.960981,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:27.235279,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:28.670982,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:29.890410,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:31.267821,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:32.433097,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:33.662116,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:34.902109,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:36.109815,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:37.383427,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:38.632811,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:39.834495,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:41.089098,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:42.310773,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:43.488771,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:44.681712,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:45.866212,"(13.0, 38.0, 23.6)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:47.129918,"(13.0, 38.0, 22.333333333333336)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:48.324828,"(13.0, 38.0, 22.333333333333336)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:49.498830,"(13.0, 38.0, 22.333333333333336)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:50.631777,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:51.763134,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:52.841940,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:53.941155,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:55.024766,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:56.151769,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:57.224095,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:58.293624,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:29:59.348071,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:00.382435,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:01.445893,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:02.568772,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:03.638841,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:04.656308,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:05.680975,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:06.748872,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:07.830655,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:08.934412,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:10.087672,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:11.261829,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:12.401791,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:13.473172,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:14.521974,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:15.617738,"(13.0, 38.0, 22.666666666666664)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:16.676241,"(13.0, 32.0, 27.875)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:17.813747,"(13.0, 32.0, 27.875)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:18.951817,"(13.0, 32.0, 27.875)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:20.125173,"(13.0, 32.0, 27.875)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
09-01-2023 15:30:21.274538,"(13.0, 32.0, 27.875)","(7.0, 12.0, 9.962962962962962)","(4.0, 7.0, 4.977777777777778)","(7.0, 13.0, 11.133333333333333)","(2.45, 3.55, 2.944)","(8.0, 14.0, 12.133333333333333)","(17.0, 44.0, 29.0)","(10.0, 18.5, 15.882352941176471)"
