,Campbell Best,Whateley,Yellow Bow,Straytothepoolroom,Enemy Lines,Galvarino,Dothedealdylan,Manhattan Lass,Power To Bolt,The Ringmaster
10-01-2023 20:37:10.222405,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:11.438592,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:12.667532,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:13.957007,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:15.247552,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.79375)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:16.590161,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 33.473684210526315)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.833333333333332)"
10-01-2023 20:37:17.936042,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 36.0, 38.27272727272727)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:19.140754,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 46.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:20.367157,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.6)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:21.529842,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:22.702896,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:24.025969,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:25.360489,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:26.596533,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 7.9714285714285715)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:27.812523,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:29.075225,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:30.246852,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:31.495844,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:32.709907,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:34.018270,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:35.355052,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:36.672029,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:37.914430,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:39.097096,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:40.245930,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:41.508494,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:42.823033,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:44.221523,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:45.502703,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:46.727887,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:47.897811,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:49.051552,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:50.230081,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:51.451331,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:52.818429,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:54.124359,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:55.298274,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:56.458747,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:57.668239,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:58.799078,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:37:59.986016,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:01.159370,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:02.498403,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:03.713261,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:05.002506,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:06.318715,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:07.631098,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:08.930357,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:10.239300,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:11.490304,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:12.722094,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:13.994018,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:15.554086,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:16.825393,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:18.267712,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:19.577740,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
10-01-2023 20:38:20.809632,"(10.0, 24.0, 17.759999999999998)","(3.6, 7.0, 4.8)","(61.0, 220.0, 69.14285714285714)","(14.0, 44.0, 40.63157894736842)","(3.3, 4.7, 3.533333333333333)","(4.8, 7.2, 6.359999999999999)","(5.5, 9.0, 6.733333333333333)","(21.0, 85.0, 30.75)","(21.0, 65.0, 32.66666666666667)","(15.0, 29.0, 19.1)"
