,Action Now,Bellas Blessed,Rubys Angel,Consider Me Gone,Seldom Quits,Farmor Alfas,Despicable Josh,Stick Hunter
06-01-2023 14:57:24.242580,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:25.469758,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:26.650768,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:27.784669,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:28.927808,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:30.137805,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 176.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:31.331005,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:32.516664,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:33.780736,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:35.124970,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:36.313552,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:37.421058,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:38.573104,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:39.770132,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 171.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.77777777777778)","(31.0, 220.0, 124.5)","(21.0, 100.0, 61.5)"
06-01-2023 14:57:40.906240,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:41.994848,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:43.167268,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:44.275093,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:45.270897,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:46.337126,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:47.283333,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:48.302686,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:49.319223,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:50.389613,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:51.384767,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:52.443365,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:53.461286,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:54.492276,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:55.540583,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:56.614826,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:57.647369,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:58.700982,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:57:59.815540,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:00.897159,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:01.923387,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:02.956471,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:04.042612,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:05.095983,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:06.150026,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:07.295260,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:08.396245,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 30.1)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:09.520621,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 162.8235294117647)","(3.9, 5.9, 5.581111111111111)","(15.0, 34.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:10.673446,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:11.716811,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:12.812321,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:13.872530,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:14.894852,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:15.933322,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:16.897915,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:17.922618,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:18.922671,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 132.57142857142858)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:19.983195,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 133.85714285714286)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:21.579881,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 106.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:22.723225,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 106.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:23.910543,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 106.0)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:25.141703,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:26.203987,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:27.248035,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:28.427134,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:29.603061,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:30.609978,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:31.637166,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
06-01-2023 14:58:32.665796,"(2.45, 3.8, 2.605714285714286)","(4.2, 7.8, 5.666666666666667)","(4.2, 6.8, 4.7749999999999995)","(31.0, 310.0, 163.88235294117646)","(3.9, 5.9, 5.581111111111111)","(15.0, 36.0, 31.7)","(31.0, 220.0, 118.88235294117646)","(21.0, 100.0, 44.72727272727273)"
