,Torque To The Max,The Crom,Risky Buziness,Furiosa,Perfect Feeling,Fly Cheval,La Pistola,Eagles Response,Mister Woodport,Bee Gees Best
10-01-2023 14:18:48.697159,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:18:50.367459,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:18:51.796831,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 15.3)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:18:53.291093,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 17.26923076923077)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:18:54.732945,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.5, 16.392857142857142)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:18:56.125015,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 18.0, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:18:57.573742,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:18:58.997649,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.214285714285714)","(2.15, 2.48, 2.29)"
10-01-2023 14:19:00.437493,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.61764705882353)","(2.15, 2.48, 2.1039800995024875)"
10-01-2023 14:19:01.943315,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.61764705882353)","(2.15, 2.3, 2.1039800995024875)"
10-01-2023 14:19:03.522151,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.61764705882353)","(2.15, 2.3, 2.1039800995024875)"
10-01-2023 14:19:04.990737,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 14.4)","(4.2, 5.9, 5.61764705882353)","(2.15, 2.3, 2.212)"
10-01-2023 14:19:06.551017,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 13.75)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:08.278071,"(12.0, 24.0, 16.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 17.0, 13.5)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:09.948327,"(12.0, 24.0, 16.4)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.5, 14.333333333333334)","(4.2, 5.9, 5.3375)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:11.535254,"(12.0, 30.0, 22.5)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:13.089626,"(12.0, 28.0, 20.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:14.784606,"(12.0, 28.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:16.349013,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:17.839176,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:19.445915,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 16.423076923076923)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:21.134715,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:22.596119,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 98.0)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.15, 2.24, 2.212)"
10-01-2023 14:19:24.256775,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.1, 2.24, 2.212)"
10-01-2023 14:19:25.860430,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 16.0, 14.333333333333334)","(4.2, 5.9, 5.0)","(2.1, 2.24, 2.212)"
10-01-2023 14:19:27.481162,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 16.0, 12.0)","(4.2, 5.9, 5.12)","(2.1, 2.24, 2.212)"
10-01-2023 14:19:29.093566,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 5.9, 5.16)","(2.1, 2.24, 2.212)"
10-01-2023 14:19:30.641670,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 5.16)","(2.1, 2.24, 2.212)"
10-01-2023 14:19:32.186414,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 5.16)","(2.1, 2.24, 2.2352000000000003)"
10-01-2023 14:19:33.701578,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 5.16)","(2.1, 2.24, 2.2352000000000003)"
10-01-2023 14:19:35.162988,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.24, 2.2444444444444445)"
10-01-2023 14:19:36.602709,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2444444444444445)"
10-01-2023 14:19:38.168974,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2444444444444445)"
10-01-2023 14:19:39.592067,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2444444444444445)"
10-01-2023 14:19:41.404888,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 14.7)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 15.0)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2432)"
10-01-2023 14:19:42.982697,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2432)"
10-01-2023 14:19:44.557899,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2432)"
10-01-2023 14:19:46.160309,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2432)"
10-01-2023 14:19:47.916714,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.0)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.26, 2.2432)"
10-01-2023 14:19:49.469750,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 14.0, 12.25)","(4.2, 6.0, 5.025)","(2.1, 2.26, 2.2432)"
10-01-2023 14:19:51.214006,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.566666666666666)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:19:52.946393,"(12.0, 27.0, 20.333333333333332)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.566666666666666)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:19:54.702264,"(12.0, 27.0, 18.8)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:19:56.467580,"(12.0, 26.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:19:58.228819,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:00.217680,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:01.918384,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:03.586393,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:05.215192,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:06.901340,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:08.690387,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 12.25)","(4.2, 6.0, 5.4)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:10.592855,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 13.5, 14.4375)","(4.2, 6.0, 4.949999999999999)","(2.1, 2.24, 2.2142857142857144)"
10-01-2023 14:20:12.233437,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.3999999999999995)","(2.1, 2.24, 2.1933333333333334)"
10-01-2023 14:20:13.896940,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.3999999999999995)","(2.1, 2.22, 2.1933333333333334)"
10-01-2023 14:20:15.496830,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.3999999999999995)","(2.1, 2.22, 2.1933333333333334)"
10-01-2023 14:20:17.136648,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.333333333333332)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.3999999999999995)","(2.1, 2.22, 2.1933333333333334)"
10-01-2023 14:20:18.797290,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.5, 15.909090909090908)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.025)","(2.1, 2.22, 2.1933333333333334)"
10-01-2023 14:20:20.446880,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.0, 15.909090909090908)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.025)","(2.1, 2.22, 2.1933333333333334)"
10-01-2023 14:20:22.053607,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 17.0, 15.5)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.5125)","(2.1, 2.22, 2.186666666666667)"
10-01-2023 14:20:23.703298,"(12.0, 25.0, 19.666666666666668)","(19.0, 32.0, 27.0)","(11.0, 16.5, 15.5)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.1)","(2.1, 2.22, 2.186666666666667)"
10-01-2023 14:20:25.366429,"(12.0, 24.0, 15.2)","(19.0, 32.0, 27.0)","(11.0, 16.5, 15.5)","(10.0, 17.5, 14.5)","(19.0, 34.0, 24.666666666666668)","(12.0, 20.0, 16.25)","(31.0, 110.0, 82.5)","(10.0, 16.5, 14.4375)","(4.2, 6.0, 5.55)","(2.1, 2.22, 2.186666666666667)"
