,Gudgeon Pin,Good Charlotte,Get A Shout,Roma Bella,Prabaker,Pepperberry,Manawata,Dr Archer
07-12-2022 19:10:27.474741,"(2.0, 2.6, 2.1522222222222225)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:28.694070,"(2.0, 2.6, 2.1394285714285717)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:29.891225,"(2.0, 2.6, 2.1394285714285717)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:31.003950,"(2.0, 2.6, 2.1394285714285717)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:32.158084,"(2.0, 2.6, 2.1394285714285717)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:33.248775,"(2.0, 2.6, 2.1394285714285717)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:34.291210,"(2.0, 2.6, 2.1394285714285717)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:35.430441,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:36.543376,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:37.608135,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:38.603836,"(2.0, 2.6, 2.247727272727273)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
