,Wild Charlie,Todds Express,Commander Beven,Dixie Diner,Sick Bubblegum,Victoria Belle,Joyful Juggler,Bowser Boy
12-01-2023 18:45:03.496735,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:04.740062,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:05.924337,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:07.208680,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:08.464284,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:09.640370,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:10.859090,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:12.107513,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:13.350980,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:14.526191,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:15.785948,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:16.978392,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:18.192489,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:19.457795,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:20.666578,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:21.867791,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:23.180013,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:24.585652,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:25.971279,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:27.304162,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:28.608093,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:29.836939,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:31.065487,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:32.313252,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:33.577752,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:34.745453,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:35.926674,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:37.071076,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:38.367675,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:39.551103,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:40.730096,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:41.903712,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:43.027102,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 37.5)","(8.0, 20.0, 15.44)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 32.8125)","(8.0, 15.5, 13.3)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:44.261043,"(17.0, 65.0, 36.5625)","(9.0, 17.0, 9.666666666666666)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:45.472360,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:46.589207,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:47.653839,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:48.796385,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:49.977781,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:51.025606,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:52.112780,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:53.268805,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:54.339059,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:55.335510,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:56.445508,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:57.642820,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:58.717433,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:45:59.792429,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:00.968169,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:02.134813,"(17.0, 65.0, 39.0)","(9.0, 17.0, 11.875)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:03.341116,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:04.420860,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:05.563196,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:06.808318,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:07.988944,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:09.144366,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:10.344989,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:11.539968,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:12.717101,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.8, 6.720000000000001)"
12-01-2023 18:46:13.835041,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.8, 8.233333333333333)"
12-01-2023 18:46:14.984847,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.6, 8.233333333333333)"
12-01-2023 18:46:16.058186,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.6, 8.233333333333333)"
12-01-2023 18:46:17.177797,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.6, 8.233333333333333)"
12-01-2023 18:46:18.283729,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:19.283841,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:20.318413,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 42.27272727272727)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 30.9375)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:21.421689,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 60.0, 45.0)","(8.0, 20.0, 14.299999999999999)","(1.65, 2.1, 1.7785714285714285)","(18.0, 55.0, 32.8125)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:22.523599,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 16.04)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:23.579394,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 21.0, 16.04)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:24.644126,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 21.0, 16.04)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:25.691018,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 21.0, 16.04)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:26.742957,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 21.0, 16.04)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:27.953141,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 21.0, 17.15)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
12-01-2023 18:46:29.063333,"(17.0, 65.0, 39.0)","(9.0, 18.0, 12.25)","(21.0, 65.0, 39.85714285714286)","(8.0, 20.0, 17.15)","(1.65, 2.1, 1.7785714285714285)","(18.0, 60.0, 28.363636363636363)","(8.0, 15.5, 11.65)","(5.5, 9.6, 7.6)"
