,Tiggerlong Flyer,Six Speed Manual,Shadow Riot,Kanji Yield,Aston Lira,High Tribe Rico,Black Compass,Selynya Obi
14-12-2022 19:38:22.279463,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:23.469131,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:24.591390,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:25.721585,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:26.881242,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:28.046808,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:29.253855,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:30.557053,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:31.756631,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:33.021356,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:34.413466,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:35.692429,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:36.876726,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:37.974217,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:39.192050,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:40.423897,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:41.483488,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:42.687430,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:43.930369,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:44.993017,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:46.132150,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:47.274300,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:48.411230,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:49.542716,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4945454545454546)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.495)","(5.0, 9.8, 5.276923076923078)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:50.636351,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4663157894736845)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.3455172413793104)","(5.0, 9.8, 7.127272727272728)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:51.785796,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4663157894736845)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.3455172413793104)","(5.0, 9.8, 7.127272727272728)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:52.931899,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4663157894736845)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.3455172413793104)","(5.0, 9.8, 7.127272727272728)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:54.102574,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4663157894736845)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.3455172413793104)","(5.0, 9.8, 7.127272727272728)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:55.312636,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4663157894736845)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.3455172413793104)","(5.0, 9.8, 7.127272727272728)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
14-12-2022 19:38:56.636492,"(11.0, 30.0, 28.538461538461537)","(18.0, 60.0, 42.083333333333336)","(2.0, 2.74, 2.4663157894736845)","(26.0, 95.0, 57.5)","(3.1, 5.1, 3.3455172413793104)","(5.0, 9.8, 7.127272727272728)","(11.0, 24.0, 18.92857142857143)","(26.0, 110.0, 67.0)"
