,Robell Ruby,Skylahs Misfit,Bugatti Hydro,My Reputation,Bokarm Nero,Tipple Valley,Kooringa Magic,Amber Jack
08-12-2022 13:24:52.502973,"(3.1, 5.9, 4.2375)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.246666666666667)","(2.7, 4.5, 2.9355555555555557)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:53.547262,"(3.1, 5.9, 4.2375)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.5, 3.5057142857142853)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:54.609736,"(3.1, 5.9, 3.2272727272727275)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 43.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.5, 3.63)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:55.701869,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 60.0, 45.833333333333336)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.5, 3.1239999999999997)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:56.691161,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 42.5)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.5, 3.1239999999999997)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:57.715097,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 40.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.5, 3.6811764705882353)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:58.808109,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 40.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.5, 3.9080000000000004)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:24:59.960274,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 40.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.4, 4.331549295774648)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:01.049007,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 40.0)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:02.195082,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 35.714285714285715)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:03.379754,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 60.0, 45.833333333333336)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:04.597124,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 60.0, 49.64285714285714)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:05.763927,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.64285714285714)","(71.0, 570.0, 317.5)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:06.884867,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.64285714285714)","(71.0, 570.0, 310.0)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:07.986129,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 41.55555555555556)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.64285714285714)","(71.0, 660.0, 310.0)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:09.108003,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 28.727272727272727)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.64285714285714)","(71.0, 660.0, 310.0)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:10.186265,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 28.727272727272727)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.64285714285714)","(71.0, 660.0, 310.0)","(2.9, 5.0, 3.88)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:11.254668,"(3.1, 5.9, 4.0625)","(21.0, 60.0, 28.727272727272727)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.64285714285714)","(71.0, 660.0, 317.5)","(2.9, 5.0, 4.958823529411765)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:12.219170,"(3.1, 5.9, 5.165000000000001)","(21.0, 60.0, 36.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.3)","(2.7, 4.4, 3.2)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:13.378426,"(3.1, 5.9, 5.165000000000001)","(21.0, 60.0, 36.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:14.483353,"(3.1, 5.9, 5.165000000000001)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:15.627648,"(3.1, 5.9, 5.165000000000001)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(71.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:16.755898,"(3.2, 5.9, 5.165000000000001)","(21.0, 60.0, 29.81818181818182)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:17.849642,"(3.2, 5.9, 5.165000000000001)","(21.0, 55.0, 45.875)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:18.998000,"(3.2, 5.9, 5.165000000000001)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:20.169371,"(3.2, 5.9, 5.165000000000001)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:21.268572,"(3.2, 5.9, 5.165000000000001)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:22.306505,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:23.449647,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:24.614055,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:25.631463,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 8.733333333333334)"
08-12-2022 13:25:26.706344,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.4, 4.171428571428572)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:27.789295,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.4, 3.722857142857143)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:28.916790,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 45.875)","(101.0, 640.0, 367.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.4, 3.5828571428571427)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:30.040446,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 49.714285714285715)","(101.0, 640.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.6506666666666665)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:31.088827,"(3.2, 5.9, 5.094520547945206)","(21.0, 55.0, 49.714285714285715)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.6506666666666665)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:32.135762,"(3.2, 5.9, 5.094520547945206)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.7623529411764705)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:33.309426,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.7623529411764705)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:34.330037,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.7623529411764705)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:35.386620,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.7623529411764705)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:36.499081,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:37.697044,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:38.797884,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:39.849974,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:40.991906,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:42.101363,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:43.229732,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:44.344029,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:45.404975,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 54.0)","(101.0, 650.0, 372.5)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:46.474606,"(3.2, 5.6, 4.880821917808219)","(21.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:47.602517,"(3.2, 5.6, 4.880821917808219)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:48.752452,"(3.2, 5.6, 4.880821917808219)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:49.811860,"(3.2, 5.6, 4.880821917808219)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 317.5)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0533333333333332)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:50.969949,"(3.2, 5.6, 4.880821917808219)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 570.0, 375.3333333333333)","(2.9, 5.0, 3.611428571428571)","(2.7, 4.6, 3.781176470588235)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:52.290300,"(3.2, 5.6, 3.213636363636364)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 660.0, 375.3333333333333)","(2.9, 5.0, 3.611428571428571)","(2.7, 4.6, 3.781176470588235)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:53.491375,"(3.2, 5.8, 3.2227272727272727)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 660.0, 375.3333333333333)","(2.9, 5.0, 3.611428571428571)","(2.7, 4.6, 4.064615384615385)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:54.602408,"(3.2, 5.8, 3.2227272727272727)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 660.0, 375.3333333333333)","(2.9, 5.0, 3.611428571428571)","(2.7, 4.6, 4.064615384615385)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:55.782943,"(3.2, 5.8, 3.2227272727272727)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 660.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 4.064615384615385)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:56.828972,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.6, 4.064615384615385)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:57.907155,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.6, 4.064615384615385)","(5.5, 10.5, 9.65625)"
08-12-2022 13:25:58.925233,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.6, 3.0888888888888886)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:00.059887,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.6, 3.0888888888888886)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:01.118474,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.6, 3.0888888888888886)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:02.314077,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 4.306666666666667)","(2.7, 4.6, 3.0888888888888886)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:03.567980,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.0888888888888886)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:04.648708,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.2399999999999998)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:05.801873,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.2399999999999998)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:07.028664,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.2399999999999998)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:08.237634,"(3.2, 5.8, 3.3804347826086953)","(20.0, 60.0, 49.625)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.2399999999999998)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:09.340803,"(3.2, 5.8, 3.3804347826086953)","(20.0, 55.0, 28.454545454545453)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.2399999999999998)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:10.551845,"(3.2, 5.8, 3.3804347826086953)","(20.0, 55.0, 28.454545454545453)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.2399999999999998)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:11.660024,"(3.2, 5.8, 3.3804347826086953)","(20.0, 55.0, 28.454545454545453)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.2399999999999998)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:12.865700,"(3.2, 5.8, 3.3804347826086953)","(20.0, 55.0, 28.454545454545453)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.48)","(5.5, 10.5, 9.65625)"
08-12-2022 13:26:14.029209,"(3.2, 5.8, 3.3804347826086953)","(20.0, 50.0, 42.125)","(101.0, 650.0, 206.0)","(21.0, 55.0, 49.166666666666664)","(81.0, 580.0, 325.0)","(2.9, 5.0, 3.298181818181818)","(2.7, 4.6, 3.4466666666666668)","(5.5, 10.5, 9.65625)"
