,Villainess,Overhyped,Silver Valley,Good Charlotte,Barney Sun,My Shout Zoe,Nick The Quick,Dr Topaz
11-01-2023 20:17:55.366342,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.548214285714286)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:56.607199,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:57.861354,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:17:59.184409,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:00.754204,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:02.270162,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.424444444444444)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:03.598046,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.1, 2.3939999999999997)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:04.926857,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.3939999999999997)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:06.171105,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.3939999999999997)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:07.319864,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:08.448632,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:09.525906,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 4.353846153846154)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:10.745059,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.4, 5.622222222222223)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:11.952995,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:13.126907,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:14.325298,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 13.666666666666668)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
11-01-2023 20:18:15.499352,"(31.0, 290.0, 160.0)","(3.8, 8.8, 6.571428571428572)","(13.0, 26.0, 21.0)","(20.0, 60.0, 35.83333333333333)","(3.7, 6.2, 5.622222222222223)","(9.0, 19.5, 10.583333333333334)","(2.3, 3.15, 2.37375)","(12.0, 29.0, 23.0)"
