,Dr Greenthumb,On The Edge,Grillo,Zs So Good,Round Robin,Mr Jekyll
12-01-2023 09:32:19.570219,"(2.6, 3.3, 3.2937499999999997)","(17.0, 26.0, 20.545454545454547)","(21.0, 34.0, 26.285714285714285)","(1.9, 2.2, 2.1966666666666668)","(5.5, 6.8, 6.777922077922078)","(51.0, 99999, 99990)"
12-01-2023 09:32:20.619464,"(2.6, 3.3, 3.2937499999999997)","(17.0, 22.0, 20.22222222222222)","(21.0, 34.0, 26.285714285714285)","(1.9, 2.22, 2.2085714285714286)","(5.5, 6.8, 6.977931034482759)","(51.0, 99999, 99990)"
12-01-2023 09:32:21.647116,"(2.6, 3.3, 3.2937499999999997)","(17.0, 22.0, 20.333333333333332)","(21.0, 34.0, 26.285714285714285)","(1.9, 2.22, 2.212727272727273)","(5.5, 7.0, 6.822222222222222)","(51.0, 99999, 99990)"
12-01-2023 09:32:22.530349,"(2.6, 3.3, 3.2937499999999997)","(17.0, 22.0, 19.692307692307693)","(21.0, 34.0, 26.285714285714285)","(1.9, 2.22, 2.212727272727273)","(5.5, 7.0, 6.822222222222222)","(51.0, 99999, 99990)"
12-01-2023 09:32:23.528366,"(2.6, 3.3, 3.2857142857142856)","(17.0, 22.0, 19.857142857142858)","(21.0, 34.0, 29.5)","(1.9, 2.2, 2.1933333333333334)","(5.5, 7.0, 6.822222222222222)","(51.0, 99999, 99990)"
12-01-2023 09:32:24.591058,"(2.6, 3.3, 3.2857142857142856)","(17.0, 22.0, 19.857142857142858)","(21.0, 36.0, 28.5)","(1.9, 2.2, 2.1933333333333334)","(5.5, 7.0, 6.822222222222222)","(51.0, 99999, 99990)"
12-01-2023 09:32:25.480826,"(2.6, 3.3, 3.2909090909090906)","(16.0, 22.0, 21.142857142857142)","(21.0, 36.0, 28.8)","(1.9, 2.2, 2.186666666666667)","(5.5, 7.0, 6.822222222222222)","(51.0, 99999, 99990)"
12-01-2023 09:32:26.449509,"(2.6, 3.3, 3.2937499999999997)","(16.0, 22.0, 21.25)","(21.0, 36.0, 25.2)","(1.9, 2.2, 2.1933333333333334)","(5.5, 7.0, 6.965217391304348)","(51.0, 99999, 99990)"
12-01-2023 09:32:27.462554,"(2.6, 3.3, 3.2909090909090906)","(16.0, 22.0, 21.142857142857142)","(21.0, 36.0, 29.0)","(1.9, 2.22, 2.206666666666667)","(5.5, 7.0, 6.965217391304348)","(51.0, 99999, 99990)"
12-01-2023 09:32:28.428097,"(2.6, 3.3, 3.2909090909090906)","(16.0, 22.0, 21.142857142857142)","(21.0, 34.0, 29.0)","(1.9, 2.22, 2.206666666666667)","(5.5, 7.0, 6.965217391304348)","(51.0, 99999, 99990)"
12-01-2023 09:32:29.402435,"(2.6, 3.3, 3.2909090909090906)","(16.0, 22.0, 20.5)","(21.0, 34.0, 31.75)","(1.9, 2.2, 2.196)","(5.5, 7.0, 6.965217391304348)","(51.0, 99999, 99990)"
12-01-2023 09:32:30.427052,"(2.6, 3.3, 3.2909090909090906)","(16.0, 22.0, 20.285714285714285)","(21.0, 34.0, 31.75)","(1.9, 2.22, 2.205)","(5.5, 7.0, 6.965217391304348)","(51.0, 99999, 99990)"
12-01-2023 09:32:31.450883,"(2.6, 3.25, 3.2454545454545456)","(16.0, 22.0, 20.285714285714285)","(21.0, 34.0, 31.75)","(1.9, 2.2, 2.196521739130435)","(5.5, 7.0, 6.969230769230769)","(51.0, 99999, 99990)"
12-01-2023 09:32:32.359245,"(2.6, 3.25, 3.2454545454545456)","(16.0, 22.0, 20.285714285714285)","(21.0, 34.0, 31.75)","(1.9, 2.2, 2.196521739130435)","(5.5, 7.0, 6.969230769230769)","(51.0, 99999, 99990)"
12-01-2023 09:32:33.395964,"(2.6, 3.25, 3.2909090909090906)","(16.0, 22.0, 20.285714285714285)","(21.0, 34.0, 31.75)","(1.9, 2.22, 2.196)","(5.5, 7.0, 6.969230769230769)","(51.0, 99999, 99990)"
12-01-2023 09:32:34.490619,"(2.6, 3.3, 3.2909090909090906)","(16.0, 22.0, 20.285714285714285)","(21.0, 34.0, 29.5)","(1.9, 2.2, 2.1933333333333334)","(5.5, 7.0, 6.969230769230769)","(51.0, 99999, 99990)"
12-01-2023 09:32:35.501794,"(2.6, 3.3, 3.28)","(16.0, 22.0, 20.285714285714285)","(21.0, 34.0, 29.0)","(1.9, 2.2, 2.1933333333333334)","(5.5, 7.0, 6.969230769230769)","(51.0, 99999, 99990)"
12-01-2023 09:32:36.439638,"(2.6, 3.3, 3.268965517241379)","(16.0, 25.0, 24.0)","(21.0, 34.0, 29.0)","(1.9, 2.2, 2.1933333333333334)","(5.5, 7.0, 6.969230769230769)","(51.0, 99999, 99990)"
12-01-2023 09:32:37.424711,"(2.6, 3.3, 3.264516129032258)","(16.0, 26.0, 23.2)","(21.0, 34.0, 29.0)","(1.9, 2.2, 2.183529411764706)","(5.5, 7.0, 6.969230769230769)","(51.0, 99999, 99990)"
12-01-2023 09:32:38.531868,"(2.6, 3.3, 3.2454545454545456)","(16.0, 25.0, 24.0)","(21.0, 36.0, 24.923076923076923)","(1.9, 2.2, 2.1409756097560977)","(5.5, 7.0, 6.995833333333334)","(51.0, 99999, 99990)"
12-01-2023 09:32:39.647120,"(2.6, 3.3, 3.2454545454545456)","(16.0, 25.0, 24.0)","(21.0, 34.0, 29.0)","(1.9, 2.18, 2.1409756097560977)","(5.5, 7.0, 6.995833333333334)","(51.0, 99999, 99990)"
12-01-2023 09:32:40.705876,"(2.6, 3.3, 3.292)","(16.0, 25.0, 24.0)","(21.0, 32.0, 29.0)","(1.9, 2.16, 2.141818181818182)","(5.5, 7.2, 7.022222222222222)","(51.0, 99999, 99990)"
12-01-2023 09:32:41.736045,"(2.6, 3.35, 3.3403225806451613)","(16.0, 25.0, 24.0)","(21.0, 30.0, 27.666666666666668)","(1.9, 2.14, 2.1350000000000002)","(5.5, 7.2, 7.141818181818182)","(51.0, 99999, 99990)"
12-01-2023 09:32:42.779407,"(2.6, 3.35, 3.340909090909091)","(16.0, 25.0, 24.0)","(21.0, 30.0, 27.666666666666668)","(1.9, 2.14, 2.1336363636363638)","(5.5, 7.2, 7.141818181818182)","(51.0, 99999, 99990)"
12-01-2023 09:32:43.709605,"(2.6, 3.35, 3.338)","(16.0, 25.0, 24.0)","(21.0, 29.0, 27.0)","(1.9, 2.14, 2.1252631578947367)","(5.5, 7.2, 7.141818181818182)","(51.0, 99999, 99990)"
12-01-2023 09:32:44.622477,"(2.6, 3.35, 3.331818181818182)","(16.0, 25.0, 24.0)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.12, 2.1124324324324326)","(5.5, 7.2, 7.143859649122807)","(51.0, 99999, 99990)"
12-01-2023 09:32:45.602853,"(2.6, 3.25, 3.2378048780487805)","(16.0, 26.0, 23.75)","(21.0, 30.0, 25.333333333333332)","(1.9, 2.12, 2.1175)","(5.5, 7.2, 7.16)","(51.0, 99999, 99990)"
12-01-2023 09:32:46.689435,"(2.6, 3.25, 3.236111111111111)","(15.0, 26.0, 24.545454545454547)","(21.0, 30.0, 25.333333333333332)","(1.9, 2.16, 2.1201960784313725)","(5.5, 7.2, 7.16)","(51.0, 99999, 99990)"
12-01-2023 09:32:47.771514,"(2.6, 3.25, 3.21875)","(15.0, 26.0, 24.545454545454547)","(21.0, 29.0, 27.0)","(1.9, 2.16, 2.1258823529411766)","(5.5, 7.2, 7.184313725490196)","(51.0, 99999, 99990)"
12-01-2023 09:32:48.701548,"(2.6, 3.25, 3.23)","(15.0, 26.0, 24.545454545454547)","(21.0, 29.0, 25.0)","(1.9, 2.16, 2.128347826086957)","(5.5, 7.2, 7.1)","(51.0, 99999, 99990)"
12-01-2023 09:32:49.626697,"(2.6, 3.3, 3.26)","(15.0, 26.0, 24.333333333333332)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.135466666666667)","(5.5, 7.2, 7.133333333333334)","(51.0, 99999, 99990)"
12-01-2023 09:32:50.606536,"(2.7, 3.35, 3.2980769230769234)","(15.0, 26.0, 24.333333333333332)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.136768558951965)","(5.5, 7.2, 7.155555555555556)","(51.0, 99999, 99990)"
12-01-2023 09:32:51.509262,"(2.7, 3.35, 3.305)","(15.0, 26.0, 24.333333333333332)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.144260355029586)","(5.5, 7.2, 7.155555555555556)","(51.0, 99999, 99990)"
12-01-2023 09:32:52.552034,"(2.7, 3.25, 3.2425)","(13.0, 26.0, 24.333333333333332)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.1451162790697675)","(5.5, 7.2, 7.154716981132076)","(51.0, 99999, 99990)"
12-01-2023 09:32:53.654835,"(2.7, 3.35, 3.3214285714285716)","(13.0, 26.0, 24.333333333333332)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.1446706586826347)","(5.5, 7.2, 6.885714285714285)","(51.0, 99999, 99990)"
12-01-2023 09:32:54.689611,"(2.7, 3.35, 3.326923076923077)","(13.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.1442944785276077)","(5.5, 7.0, 6.988811188811189)","(51.0, 99999, 99990)"
12-01-2023 09:32:55.634036,"(2.7, 3.35, 3.335714285714286)","(17.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.1442944785276077)","(5.5, 7.0, 6.792857142857143)","(51.0, 99999, 99990)"
12-01-2023 09:32:56.665696,"(2.7, 3.35, 3.3456521739130434)","(17.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.141793103448276)","(5.5, 6.8, 6.952941176470588)","(51.0, 99999, 99990)"
12-01-2023 09:32:57.584731,"(2.7, 3.35, 3.3447368421052635)","(17.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.141793103448276)","(5.5, 7.0, 6.952941176470588)","(51.0, 99999, 99990)"
12-01-2023 09:32:58.455466,"(2.7, 3.35, 3.3433333333333333)","(17.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.141843971631206)","(5.5, 6.8, 6.72)","(51.0, 99999, 99990)"
12-01-2023 09:32:59.489446,"(2.7, 3.35, 3.3433333333333333)","(17.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.1403174603174606)","(5.5, 6.8, 6.307142857142857)","(51.0, 99999, 99990)"
12-01-2023 09:33:00.596952,"(2.7, 3.35, 3.3433333333333333)","(17.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.126027397260274)","(5.5, 6.8, 6.354838709677419)","(51.0, 99999, 99990)"
12-01-2023 09:33:01.658483,"(2.7, 3.35, 3.3444444444444446)","(17.0, 26.0, 24.545454545454547)","(21.0, 28.0, 26.333333333333332)","(1.9, 2.16, 2.13)","(5.5, 6.8, 6.408695652173913)","(51.0, 99999, 99990)"
12-01-2023 09:33:02.549284,"(2.6, 3.5, 3.4953125)","(17.0, 26.0, 25.0)","(21.0, 29.0, 25.18181818181818)","(1.85, 2.14, 2.13)","(5.5, 6.6, 6.408695652173913)","(41.0, 99999, 99990)"
12-01-2023 09:33:03.459963,"(2.6, 3.55, 3.5166666666666666)","(17.0, 26.0, 25.0)","(21.0, 29.0, 25.4)","(1.85, 2.14, 2.128888888888889)","(5.5, 6.6, 6.385714285714285)","(41.0, 99999, 99990)"
12-01-2023 09:33:04.464149,"(2.6, 3.6, 3.5833333333333335)","(17.0, 26.0, 24.25)","(21.0, 29.0, 26.428571428571427)","(1.85, 2.14, 2.131851851851852)","(5.5, 6.6, 6.329411764705883)","(41.0, 99999, 99990)"
12-01-2023 09:33:05.473407,"(2.7, 3.65, 3.523076923076923)","(17.0, 26.0, 23.375)","(21.0, 29.0, 26.428571428571427)","(1.85, 2.14, 2.131851851851852)","(5.5, 6.4, 6.312)","(41.0, 99999, 99990)"
12-01-2023 09:33:06.531732,"(2.7, 3.65, 3.5827586206896553)","(17.0, 26.0, 23.375)","(21.0, 29.0, 26.428571428571427)","(1.85, 2.14, 2.1270588235294117)","(5.5, 6.4, 6.329411764705883)","(41.0, 99999, 99990)"
12-01-2023 09:33:07.540603,"(2.7, 3.65, 3.5827586206896553)","(17.0, 26.0, 23.375)","(21.0, 29.0, 26.428571428571427)","(1.85, 2.16, 2.1363636363636367)","(5.5, 6.4, 6.355555555555556)","(41.0, 99999, 99990)"
12-01-2023 09:33:08.633888,"(2.7, 3.65, 3.5827586206896553)","(17.0, 26.0, 23.375)","(21.0, 29.0, 26.428571428571427)","(1.85, 2.14, 2.1270588235294117)","(5.5, 6.4, 6.355555555555556)","(41.0, 99999, 99990)"
12-01-2023 09:33:09.555141,"(2.7, 3.65, 3.5827586206896553)","(17.0, 26.0, 23.375)","(21.0, 29.0, 26.428571428571427)","(1.85, 2.16, 2.1270588235294117)","(5.5, 6.4, 6.28)","(41.0, 99999, 99990)"
12-01-2023 09:33:10.438577,"(2.7, 3.65, 3.626315789473684)","(17.0, 26.0, 23.375)","(21.0, 29.0, 25.18181818181818)","(1.85, 2.14, 2.1271428571428572)","(5.5, 6.6, 6.352941176470588)","(41.0, 99999, 99990)"
12-01-2023 09:33:11.449253,"(2.7, 3.7, 3.6142857142857143)","(17.0, 26.0, 24.5)","(21.0, 29.0, 26.0)","(1.85, 2.14, 2.0985365853658537)","(5.5, 6.6, 6.470967741935484)","(41.0, 99999, 99990)"
12-01-2023 09:33:12.455238,"(2.7, 3.7, 3.6357142857142857)","(17.0, 26.0, 24.5)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.102222222222222)","(5.5, 6.6, 6.527272727272727)","(41.0, 99999, 99990)"
12-01-2023 09:33:13.437021,"(2.7, 3.7, 3.6357142857142857)","(17.0, 26.0, 24.5)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.102222222222222)","(5.5, 6.6, 6.527272727272727)","(41.0, 99999, 99990)"
12-01-2023 09:33:14.394635,"(2.7, 3.7, 3.6307692307692307)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.102222222222222)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:15.327982,"(2.7, 3.7, 3.6307692307692307)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.093913043478261)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:16.269838,"(2.7, 3.7, 3.6307692307692307)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.0923076923076924)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:17.210496,"(2.7, 3.7, 3.6307692307692307)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.0805882352941176)","(5.5, 6.6, 6.4879999999999995)","(41.0, 99999, 99990)"
12-01-2023 09:33:18.301827,"(2.7, 3.7, 3.6357142857142857)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.0805882352941176)","(5.5, 6.6, 6.536)","(41.0, 99999, 99990)"
12-01-2023 09:33:19.331100,"(2.7, 3.65, 3.623684210526316)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.080156862745098)","(5.5, 6.6, 6.536)","(41.0, 99999, 99990)"
12-01-2023 09:33:20.274952,"(2.7, 3.65, 3.6136363636363633)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 26.0)","(1.85, 2.12, 2.080156862745098)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:21.197553,"(2.7, 3.65, 3.606)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 24.2)","(1.85, 2.12, 2.080156862745098)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:22.187956,"(2.7, 3.65, 3.6277777777777778)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 24.2)","(1.85, 2.1, 2.0800833333333335)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:23.197427,"(2.7, 3.65, 3.6374999999999997)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 24.2)","(1.85, 2.12, 2.080952380952381)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:24.088928,"(2.7, 3.65, 3.6374999999999997)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 24.2)","(1.85, 2.1, 2.080952380952381)","(5.5, 6.6, 6.485714285714286)","(41.0, 99999, 99990)"
12-01-2023 09:33:25.120793,"(2.7, 3.65, 3.6374999999999997)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 24.2)","(1.85, 2.1, 2.0864000000000003)","(5.5, 6.6, 6.447058823529412)","(41.0, 99999, 99990)"
12-01-2023 09:33:26.128983,"(2.7, 3.65, 3.6374999999999997)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 24.2)","(1.85, 2.1, 2.0864000000000003)","(5.5, 6.6, 6.375)","(41.0, 99999, 99990)"
12-01-2023 09:33:27.052662,"(2.7, 3.65, 3.6425925925925924)","(17.0, 26.0, 23.428571428571427)","(21.0, 29.0, 24.2)","(1.85, 2.1, 2.0864000000000003)","(5.5, 6.4, 6.454545454545454)","(41.0, 99999, 99990)"
12-01-2023 09:33:27.942879,"(2.7, 3.65, 3.6425925925925924)","(17.0, 26.0, 23.666666666666668)","(21.0, 29.0, 24.2)","(1.85, 2.1, 2.0864000000000003)","(5.5, 6.6, 6.454545454545454)","(41.0, 99999, 99990)"
12-01-2023 09:33:28.957782,"(2.7, 3.65, 3.6425925925925924)","(17.0, 25.0, 21.923076923076923)","(21.0, 29.0, 28.3)","(1.85, 2.1, 2.069811320754717)","(5.5, 6.4, 6.313513513513514)","(41.0, 99999, 99990)"
12-01-2023 09:33:29.989994,"(2.7, 3.7, 3.6142857142857143)","(17.0, 25.0, 21.923076923076923)","(21.0, 29.0, 28.22222222222222)","(1.85, 2.08, 2.0927272727272728)","(5.5, 6.4, 6.313513513513514)","(41.0, 99999, 99990)"
12-01-2023 09:33:31.017445,"(2.7, 3.7, 3.684615384615385)","(17.0, 25.0, 21.923076923076923)","(21.0, 29.0, 27.09090909090909)","(1.85, 2.1, 2.0903797468354433)","(5.5, 6.4, 6.317647058823529)","(41.0, 99999, 99990)"
12-01-2023 09:33:32.089818,"(2.7, 3.7, 3.6714285714285717)","(17.0, 25.0, 21.923076923076923)","(21.0, 29.0, 26.428571428571427)","(1.85, 2.1, 2.088860759493671)","(5.5, 6.6, 6.323076923076923)","(41.0, 99999, 99990)"
12-01-2023 09:33:33.129844,"(2.7, 3.75, 3.697058823529412)","(17.0, 25.0, 21.923076923076923)","(21.0, 29.0, 24.8)","(1.85, 2.1, 2.0847826086956522)","(5.5, 6.6, 6.2727272727272725)","(41.0, 99999, 99990)"
12-01-2023 09:33:34.165194,"(2.7, 3.75, 3.7285714285714286)","(17.0, 25.0, 21.785714285714285)","(21.0, 29.0, 24.8)","(1.85, 2.1, 2.0768115942028986)","(5.5, 6.6, 6.327272727272727)","(41.0, 99999, 99990)"
12-01-2023 09:33:35.058017,"(2.7, 3.75, 3.725)","(17.0, 25.0, 21.785714285714285)","(21.0, 29.0, 24.8)","(1.85, 2.1, 2.0768115942028986)","(5.5, 6.4, 6.327272727272727)","(41.0, 99999, 99990)"
12-01-2023 09:33:36.025954,"(2.7, 3.75, 3.7)","(15.0, 25.0, 21.785714285714285)","(21.0, 29.0, 25.57142857142857)","(1.85, 2.1, 2.0824561403508772)","(5.5, 6.4, 6.283870967741936)","(41.0, 99999, 99990)"
12-01-2023 09:33:37.103692,"(2.7, 3.75, 3.716666666666667)","(15.0, 24.0, 22.0)","(21.0, 29.0, 26.846153846153847)","(1.85, 2.1, 2.085925925925926)","(5.5, 6.4, 6.266666666666667)","(41.0, 99999, 99990)"
12-01-2023 09:33:38.147002,"(2.7, 3.75, 3.675)","(15.0, 24.0, 21.53846153846154)","(21.0, 29.0, 26.5)","(1.85, 2.1, 2.0885714285714285)","(5.5, 6.4, 6.25)","(41.0, 99999, 99990)"
12-01-2023 09:33:39.153145,"(2.8, 3.75, 3.675)","(17.0, 24.0, 21.53846153846154)","(21.0, 28.0, 26.5)","(1.85, 2.1, 2.0833476394849786)","(5.5, 6.4, 6.283870967741936)","(41.0, 99999, 99990)"
12-01-2023 09:33:40.209125,"(2.8, 3.75, 3.696153846153846)","(17.0, 24.0, 22.133333333333333)","(21.0, 28.0, 24.5)","(1.85, 2.12, 2.087666666666667)","(5.5, 6.4, 6.1692307692307695)","(41.0, 99999, 99990)"
12-01-2023 09:33:41.318722,"(2.8, 3.75, 3.659090909090909)","(17.0, 24.0, 22.133333333333333)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.101674876847291)","(5.5, 6.2, 6.1692307692307695)","(41.0, 99999, 99990)"
12-01-2023 09:33:42.300208,"(2.8, 3.75, 3.683333333333333)","(17.0, 24.0, 22.133333333333333)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.101674876847291)","(5.5, 6.2, 6.34375)","(41.0, 99999, 99990)"
12-01-2023 09:33:43.248530,"(2.8, 3.7, 3.6750000000000003)","(17.0, 24.0, 22.133333333333333)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.1006930693069306)","(5.5, 6.4, 6.3545454545454545)","(41.0, 99999, 99990)"
12-01-2023 09:33:44.169273,"(2.8, 3.7, 3.682352941176471)","(17.0, 24.0, 22.133333333333333)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.0877685950413225)","(5.5, 6.4, 6.300000000000001)","(41.0, 99999, 99990)"
12-01-2023 09:33:45.132894,"(2.8, 3.7, 3.67)","(17.0, 24.0, 21.53846153846154)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.1006930693069306)","(5.5, 6.4, 6.2625)","(41.0, 99999, 99990)"
12-01-2023 09:33:46.115270,"(2.8, 3.7, 3.6454545454545455)","(17.0, 24.0, 21.333333333333332)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.0877685950413225)","(5.5, 6.4, 6.2625)","(41.0, 99999, 99990)"
12-01-2023 09:33:47.122703,"(2.8, 3.7, 3.6333333333333333)","(17.0, 24.0, 22.0)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.1012500000000003)","(5.5, 6.4, 6.258823529411765)","(41.0, 99999, 99990)"
12-01-2023 09:33:48.149041,"(2.8, 3.7, 3.664)","(17.0, 24.0, 23.647058823529413)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.100402010050251)","(5.5, 6.4, 6.258823529411765)","(41.0, 99999, 99990)"
12-01-2023 09:33:49.207659,"(2.8, 3.65, 3.6363636363636362)","(17.0, 24.0, 23.647058823529413)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.1092307692307695)","(5.5, 6.4, 6.258823529411765)","(41.0, 99999, 99990)"
12-01-2023 09:33:50.215275,"(2.8, 3.65, 3.603333333333333)","(17.0, 24.0, 23.647058823529413)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.12, 2.114025974025974)","(5.5, 6.4, 6.258823529411765)","(41.0, 99999, 99990)"
12-01-2023 09:33:51.126141,"(2.8, 3.6, 3.526153846153846)","(17.0, 24.0, 23.647058823529413)","(21.0, 28.0, 25.333333333333332)","(1.85, 2.16, 2.1417621145374452)","(5.5, 6.4, 6.258823529411765)","(41.0, 99999, 99990)"
