,Tricky Shacoby,Sammy Buttons,Tap Out Diesel,Lady On Fire,Skyla Blue,Monday Blues,Blazin Shirl,Black Book
04-01-2023 15:43:00.054777,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:01.404125,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:02.787243,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:04.074378,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:05.593363,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:06.765644,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:08.048489,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:09.321779,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:10.458630,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:11.618256,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:12.814957,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:13.927542,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:15.202545,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:16.654406,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:18.054884,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:19.467524,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
04-01-2023 15:43:20.717394,"(18.0, 55.0, 39.791666666666664)","(15.0, 55.0, 38.541666666666664)","(2.2, 3.35, 2.3811111111111107)","(81.0, 570.0, 317.5)","(5.0, 8.4, 7.987500000000001)","(3.0, 4.2, 3.3291666666666666)","(21.0, 70.0, 45.5)","(7.5, 14.5, 13.794736842105262)"
