,Spring Bistro,Inner Tea Cup,Spring Axel,Bernie Boom,Barefoot Wah Wah,Black Monaro,Coonamble Kid,Spring Gault
06-01-2023 15:17:30.742787,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:31.849695,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:33.008295,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:34.079478,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:35.167265,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:36.311381,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:37.428274,"(3.1, 5.9, 3.74)","(9.0, 24.0, 20.45)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:38.518134,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:39.536492,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.8, 6.737500000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:40.612176,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.4, 6.5875)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:41.728646,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 8.2, 6.512499999999999)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 3.1742857142857144)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:42.752739,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 11.0, 7.5625)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 3.0475000000000003)","(31.0, 280.0, 150.8235294117647)"
06-01-2023 15:17:43.812506,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 11.0, 7.0)","(20.0, 65.0, 61.04166666666667)","(9.0, 28.0, 16.0)","(2.05, 3.35, 3.0475000000000003)","(31.0, 280.0, 158.0)"
06-01-2023 15:17:44.943879,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 110.0, 96.33333333333333)","(6.0, 10.0, 7.257142857142857)","(20.0, 65.0, 61.04166666666667)","(9.0, 28.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 280.0, 183.0)"
06-01-2023 15:17:45.953552,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.257142857142857)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:46.967784,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 120.0, 74.0)","(6.0, 9.6, 6.866666666666666)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:48.000782,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 120.0, 74.0)","(6.0, 9.6, 6.866666666666666)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:49.408586,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 120.0, 74.0)","(6.0, 9.6, 6.866666666666666)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:50.466332,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 120.0, 74.0)","(6.0, 9.6, 6.866666666666666)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:51.519494,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.0)","(31.0, 120.0, 74.0)","(6.0, 9.6, 6.866666666666666)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:52.658892,"(3.1, 5.9, 3.74)","(9.0, 24.0, 23.22105263157895)","(31.0, 120.0, 74.0)","(6.0, 9.6, 6.866666666666666)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:53.962056,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:55.144796,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:56.482538,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:57.722170,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:17:58.887504,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:00.069388,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:01.278743,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:02.514506,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:03.749765,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.6, 7.08)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:04.981142,"(3.1, 5.9, 3.74)","(9.0, 24.0, 21.6)","(31.0, 120.0, 74.0)","(6.0, 9.6, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:06.199756,"(3.1, 5.9, 3.74)","(9.0, 24.0, 21.6)","(31.0, 120.0, 74.0)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:07.341628,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 63.38461538461539)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:08.530679,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 63.38461538461539)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:09.839913,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 63.38461538461539)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:11.081571,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 63.38461538461539)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:12.327246,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 63.38461538461539)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:13.551911,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 63.38461538461539)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:14.821553,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.2, 8.44)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:16.069637,"(3.1, 5.9, 3.74)","(9.0, 24.0, 21.08)","(31.0, 120.0, 74.0)","(6.0, 9.2, 8.120000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:17.230662,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 8.8, 8.120000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:18.459439,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.0, 8.280000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:19.659274,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.0, 8.280000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:20.878941,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.0, 8.280000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:22.056664,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.0, 8.280000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:23.273956,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.0, 8.280000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:24.579615,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.0, 8.280000000000001)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:25.803142,"(3.1, 5.9, 3.74)","(9.0, 24.0, 17.25)","(31.0, 120.0, 74.0)","(6.0, 9.0, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:27.014351,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:28.330902,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:29.617731,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:30.931473,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:32.197843,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:33.476403,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:34.782986,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:36.036534,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:37.259879,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:38.450681,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:39.666113,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:41.002866,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:42.185157,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 74.0)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 61.04166666666667)","(9.0, 29.0, 13.166666666666666)","(2.05, 3.35, 2.94)","(31.0, 330.0, 183.0)"
06-01-2023 15:18:43.420675,"(3.1, 5.9, 3.74)","(9.0, 24.0, 16.9)","(31.0, 120.0, 63.38461538461539)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 53.375)","(9.0, 29.0, 20.72)","(2.05, 3.35, 3.1742857142857144)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:44.640736,"(3.1, 5.9, 3.74)","(9.0, 24.0, 20.45)","(31.0, 120.0, 51.75)","(6.0, 8.6, 6.5636363636363635)","(20.0, 65.0, 53.375)","(9.0, 28.0, 22.8)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:45.917342,"(3.1, 5.9, 3.74)","(9.0, 24.0, 20.45)","(31.0, 120.0, 52.5)","(6.0, 8.6, 6.644444444444444)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.333333333333332)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:47.174959,"(3.1, 5.9, 3.74)","(9.0, 24.0, 13.672727272727272)","(31.0, 120.0, 57.69230769230769)","(6.0, 8.2, 7.64)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.333333333333332)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:48.368762,"(3.1, 5.9, 3.74)","(9.0, 24.0, 13.672727272727272)","(31.0, 120.0, 57.69230769230769)","(6.0, 8.2, 6.6000000000000005)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.333333333333332)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:49.662472,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 57.69230769230769)","(6.0, 8.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.333333333333332)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:50.898970,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 57.69230769230769)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.333333333333332)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:52.166204,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.333333333333332)","(2.05, 3.35, 3.0475000000000003)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:53.487929,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 20.72)","(2.05, 3.35, 2.94)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:54.807465,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:56.106164,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:57.386899,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:18:58.984327,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:19:00.437186,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 8.600000000000001)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 330.0, 174.35294117647058)"
06-01-2023 15:19:02.107021,"(3.1, 5.9, 3.74)","(9.0, 24.0, 15.138461538461538)","(31.0, 120.0, 60.0)","(6.0, 9.4, 7.266666666666667)","(20.0, 65.0, 53.375)","(9.0, 28.0, 16.0)","(2.05, 3.35, 2.94)","(31.0, 330.0, 174.35294117647058)"
