,Mariahs Shadow,Wemen Bella,Sheza Manipulator Nz,Aces Daughter,Delightful Gnp Nz,Honeybun,Rosiano
07-01-2023 21:12:38.025323,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:39.028078,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:40.023289,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:41.071711,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:42.126935,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:43.223526,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:44.290466,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:45.489365,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:46.634017,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:47.796979,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:48.886899,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:49.939013,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:51.021195,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:52.071839,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:53.159621,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:54.305346,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:55.570789,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:56.715844,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:57.848985,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:12:59.007672,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:00.209378,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:01.383769,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:02.546868,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:03.702974,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:04.837118,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:05.923783,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:07.004609,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:08.020899,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:09.015849,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:10.029751,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:11.147112,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:12.254370,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:13.420421,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:14.569167,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:15.696645,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:16.830348,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:17.925406,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:19.046788,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:20.107261,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:21.111611,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.270769230769231)","(14.0, 32.0, 20.333333333333332)"
07-01-2023 21:13:22.139177,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.4, 3.305416666666667)","(14.0, 32.0, 22.25)"
07-01-2023 21:13:23.232253,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:24.350105,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:25.450291,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:26.621128,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:27.791225,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:28.901195,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:30.020361,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:31.088497,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:32.092202,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:33.080341,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:34.080931,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:35.134817,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:36.244186,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:37.412297,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:38.537836,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:39.685254,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:40.785254,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:41.907191,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:42.963247,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:44.032294,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:45.031156,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:46.051624,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:47.119235,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:48.234306,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:49.339937,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:50.488832,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:51.648592,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:52.870934,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 22.25)"
07-01-2023 21:13:54.000708,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.305416666666667)","(14.0, 30.0, 18.125)"
07-01-2023 21:13:55.099816,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:13:56.172433,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:13:57.173572,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:13:58.153022,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:13:59.240798,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:00.346095,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:01.411735,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:02.484529,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:03.583614,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:04.722224,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:05.718772,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:06.913521,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:08.113027,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:09.328568,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:10.475700,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:11.592654,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:12.652314,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
07-01-2023 21:14:13.620366,"(101.0, 220.0, 198.33333333333334)","(81.0, 220.0, 195.0)","(1.65, 99999, 99990)","(26.0, 65.0, 54.25)","(10.0, 99999, 99990)","(2.15, 3.35, 3.1942857142857144)","(14.0, 29.0, 18.125)"
