,Remember Lee,Val Ali,Sambuca Talks,Magic Tale,Bernardo Bowl,Jalapeno Jewel,Shifty And Shady,Gossamer
06-01-2023 11:40:43.319037,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:44.545398,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:45.736175,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:46.954940,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:48.162120,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:49.310324,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:50.705848,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:52.131012,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:53.454959,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:55.159014,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:56.779647,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:58.175695,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:40:59.488295,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:00.768641,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:02.002865,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:03.254425,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:04.578734,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:05.898074,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:07.254609,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:08.440509,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:09.537673,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:10.712054,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:11.968487,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:13.190626,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:14.358677,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:15.488676,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:16.697749,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:17.993532,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:19.344408,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:20.668464,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:21.963511,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:23.209473,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:24.425538,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:25.720262,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:26.885329,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:28.067256,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:29.258178,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:30.448666,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:31.676555,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:32.928470,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:34.243961,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:35.523350,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:36.778490,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
06-01-2023 11:41:38.012331,"(14.0, 32.0, 30.227272727272727)","(3.2, 4.5, 3.2272727272727275)","(5.0, 10.5, 5.366666666666667)","(16.0, 38.0, 27.318181818181817)","(2.6, 4.2, 2.68125)","(11.0, 29.0, 23.411764705882355)","(101.0, 730.0, 620.0)","(5.5, 12.5, 6.2)"
