,The Englishman,Gago,Were Da Ya Get It,West Cork,Huracanevo,Utopian Spirit,Moscow Night,Esky,Pure Hydrogen,Romeos Choice
11-01-2023 13:12:37.660672,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.11764705882353)","(6.5, 8.0, 7.736231884057971)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:38.924915,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.736231884057971)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:40.162684,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.736231884057971)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:41.395010,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.8, 5.788235294117647)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.736231884057971)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.758064516129032)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:42.609495,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.682758620689655)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.529411764705882)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:43.777782,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.6923076923076925)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:45.056165,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.256603773584906)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:46.303450,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.23448275862069)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:47.587677,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.23448275862069)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:12:48.790341,"(3.2, 3.85, 3.8102974828375284)","(26.0, 36.0, 34.81481481481482)","(5.0, 5.7, 5.684)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.724242424242424)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.23448275862069)","(31.0, 55.0, 53.75)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
