,Malinjang,Studleigh Will,Ashlee Nitro,Our Buscemi Nz,Roclea Ruler,Artistic Saint,Illbewatching,Motu Cullen Nz,Tracer Bullet
14-12-2022 18:45:21.153046,"(2.9, 4.1, 3.4277777777777776)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:22.249312,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:23.360645,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:24.500700,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:25.680455,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:26.884532,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:28.068441,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:29.248231,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:30.583720,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.514285714285714)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:31.858062,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.279999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:33.003144,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.279999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:34.133076,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.279999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:35.307829,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.279999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:36.470542,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.279999999999999)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:37.636155,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:38.880885,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:40.062709,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:41.234296,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:42.586824,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:43.831898,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:45.064381,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:46.160311,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:47.336660,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:48.534409,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:49.846111,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.5, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(17.0, 30.0, 19.0625)"
14-12-2022 18:45:51.195748,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:45:52.438338,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.571428571428571)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:45:53.827562,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.3999999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:45:55.106792,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.3999999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:45:56.298900,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.3999999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:45:57.434267,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.3999999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:45:58.513626,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.3999999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:45:59.827950,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.3999999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:01.065193,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:02.426007,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:03.590960,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:04.758397,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:05.850946,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:07.022897,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:08.152079,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:09.364191,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:10.809056,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:12.020479,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 6.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:13.214216,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:14.489890,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:15.786680,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:17.004922,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:18.208738,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:19.611027,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:20.848126,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:21.989678,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:23.049921,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:24.241227,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:25.416655,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:26.651480,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:27.794071,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:28.999087,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:30.292742,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:31.504558,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:32.964810,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.433333333333333)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:34.075900,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.433333333333333)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:35.226572,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.433333333333333)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:36.432999,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.433333333333333)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:37.544561,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6499999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:38.876785,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6499999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:40.208587,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6499999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:41.538534,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6499999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
14-12-2022 18:46:42.896123,"(2.9, 4.0, 3.7777777777777777)","(6.0, 9.4, 8.0)","(8.0, 12.0, 10.733333333333333)","(51.0, 99999, 99990)","(8.0, 13.0, 10.066666666666666)","(7.0, 10.5, 9.15)","(5.0, 8.2, 7.6499999999999995)","(8.5, 99999, 99990)","(18.0, 30.0, 19.0625)"
