,Letter To You,Shes So Amazing,Too Much Trifle,Carleton Story,Why Not Gigi,Lifes Good,Dr Carlson
10-01-2023 15:29:07.651536,"(9.0, 29.0, 25.119999999999997)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:08.698031,"(9.0, 29.0, 25.119999999999997)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:09.684420,"(9.0, 29.0, 25.119999999999997)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.9272727272727277)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:10.672912,"(9.0, 29.0, 24.2)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:11.709728,"(9.0, 29.0, 24.2)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:12.656555,"(9.0, 29.0, 26.6)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:13.637386,"(9.0, 29.0, 26.6)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:14.595241,"(9.0, 29.0, 26.6)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:15.552584,"(9.0, 29.0, 26.6)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 79.0)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:16.560893,"(9.0, 29.0, 26.6)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:17.707808,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.49375)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:18.780956,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 4.545901639344263)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:19.747099,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 4.545901639344263)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:20.817574,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5374999999999996)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:21.936393,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.625)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:22.936445,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:24.022735,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:25.080620,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:26.101943,"(9.0, 29.0, 27.870588235294118)","(13.0, 32.0, 27.9)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:27.188452,"(9.0, 29.0, 24.375)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:28.335718,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:29.381434,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:29:30.360711,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:31.395787,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:32.428248,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:33.411641,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:34.404041,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:35.403223,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 69.5)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:36.556187,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 120.0, 45.0)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:37.629383,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 45.0)","(3.3, 5.2, 3.5295454545454548)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:38.720122,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 45.0)","(3.3, 5.2, 3.975)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:39.834488,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 73.0)","(3.3, 5.2, 3.975)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:40.881718,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 73.0)","(3.3, 5.2, 3.7125)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:41.955944,"(9.0, 29.0, 25.4)","(13.0, 32.0, 29.77777777777778)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 73.0)","(3.3, 5.2, 3.7125)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:43.081974,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 73.0)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:44.200620,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 73.0)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:45.139023,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 73.0)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:46.213179,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:47.277661,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:48.288420,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:49.294519,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:50.274095,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:51.308116,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:52.364188,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:53.475561,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 4.5200000000000005)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:54.556263,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 5.933333333333334)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:55.535299,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 5.933333333333334)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 79.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:56.619377,"(9.0, 29.0, 25.4)","(13.0, 32.0, 28.666666666666668)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 100.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:57.746513,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:58.886168,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:29:59.937958,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:30:00.945589,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:30:01.905177,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:30:02.934930,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:30:03.979896,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:30:04.988863,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.786538461538462)","(3.1, 5.0, 3.5173913043478264)"
10-01-2023 15:30:05.993351,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 86.875)","(3.3, 5.2, 3.7562499999999996)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:07.015357,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 94.66666666666667)","(3.3, 5.2, 3.7562499999999996)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:08.147232,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 94.66666666666667)","(3.3, 5.2, 3.7562499999999996)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:09.260154,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 94.66666666666667)","(3.3, 5.2, 3.7562499999999996)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:10.251688,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 5.060869565217391)","(5.0, 7.8, 6.578787878787879)","(18.0, 110.0, 94.66666666666667)","(3.3, 5.2, 3.7562499999999996)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:11.337790,"(9.0, 29.0, 26.083333333333332)","(13.0, 32.0, 27.9)","(4.2, 6.8, 6.088888888888889)","(5.0, 7.8, 7.461904761904762)","(18.0, 110.0, 87.125)","(3.3, 5.2, 3.7562499999999996)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:12.407200,"(9.0, 23.0, 21.72222222222222)","(13.0, 30.0, 27.944444444444443)","(4.2, 6.6, 6.088888888888889)","(5.0, 7.6, 7.461904761904762)","(18.0, 110.0, 79.66666666666666)","(3.3, 5.2, 4.181818181818182)","(3.1, 5.0, 3.6708333333333334)"
10-01-2023 15:30:13.511228,"(9.0, 23.0, 21.72222222222222)","(13.0, 30.0, 27.944444444444443)","(4.2, 6.6, 6.276923076923077)","(5.0, 7.6, 6.666666666666666)","(18.0, 110.0, 79.66666666666666)","(3.3, 5.2, 4.266666666666667)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:14.536914,"(9.0, 23.0, 21.72222222222222)","(13.0, 30.0, 27.944444444444443)","(4.2, 6.6, 6.276923076923077)","(5.0, 7.6, 6.666666666666666)","(18.0, 110.0, 79.66666666666666)","(3.3, 5.2, 3.84375)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:15.630432,"(9.0, 30.0, 27.944444444444443)","(13.0, 30.0, 27.944444444444443)","(4.2, 6.6, 6.276923076923077)","(5.0, 7.6, 6.666666666666666)","(18.0, 110.0, 79.66666666666666)","(3.3, 5.2, 3.93125)","(3.1, 5.0, 3.730769230769231)"
10-01-2023 15:30:16.623964,"(9.0, 30.0, 27.944444444444443)","(13.0, 30.0, 27.944444444444443)","(4.2, 6.6, 6.276923076923077)","(5.0, 7.6, 6.666666666666666)","(18.0, 110.0, 64.5)","(3.3, 5.2, 5.175)","(3.1, 5.0, 4.779999999999999)"
10-01-2023 15:30:17.626148,"(9.0, 30.0, 25.880000000000003)","(13.0, 30.0, 26.4)","(4.2, 6.6, 6.1499999999999995)","(5.0, 7.2, 6.4)","(18.0, 110.0, 64.5)","(3.3, 5.3, 5.190625)","(3.1, 5.1, 4.779999999999999)"
10-01-2023 15:30:18.820467,"(9.0, 30.0, 25.92)","(13.0, 30.0, 27.8125)","(4.2, 6.6, 6.1499999999999995)","(5.0, 7.2, 6.4)","(18.0, 110.0, 64.5)","(3.3, 5.3, 5.173076923076923)","(3.1, 5.1, 4.779999999999999)"
10-01-2023 15:30:19.971729,"(9.0, 30.0, 25.880000000000003)","(13.0, 30.0, 27.8125)","(4.2, 6.6, 6.1499999999999995)","(5.0, 7.2, 6.4)","(18.0, 110.0, 64.5)","(3.3, 5.3, 5.173076923076923)","(3.1, 5.1, 4.779999999999999)"
10-01-2023 15:30:21.042527,"(9.0, 30.0, 25.880000000000003)","(13.0, 30.0, 27.8125)","(4.2, 6.6, 6.1499999999999995)","(5.0, 7.6, 5.92)","(18.0, 110.0, 64.5)","(3.3, 5.3, 4.9)","(3.1, 5.1, 4.779999999999999)"
10-01-2023 15:30:22.168295,"(9.0, 30.0, 25.92)","(13.0, 30.0, 27.8125)","(4.2, 6.6, 6.1499999999999995)","(5.0, 7.4, 5.45)","(18.0, 110.0, 64.5)","(3.3, 5.3, 4.9)","(3.1, 5.1, 4.779999999999999)"
10-01-2023 15:30:23.361852,"(9.0, 26.0, 24.177777777777777)","(13.0, 30.0, 25.75)","(4.2, 6.4, 5.84)","(5.0, 7.2, 5.6)","(18.0, 110.0, 87.25)","(3.3, 5.3, 4.233333333333333)","(3.1, 5.1, 4.789999999999999)"
