,Rushmore Red,Notorious Diesel,Melton Boy,Idema Bale,Blackpool Diva,Lenny Coaster,Usain Road,Late For Love
10-01-2023 13:55:51.800428,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:53.032874,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:54.188313,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:55.370542,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:56.557221,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:57.635199,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:58.692617,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:55:59.857074,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:01.064861,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:02.331861,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:03.467781,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:04.639213,"(2.5, 4.3, 4.009090909090909)","(2.0, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(19.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:05.899563,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:07.076806,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:08.303976,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:09.464075,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:10.656936,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:11.918479,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:13.073317,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:14.264609,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:15.513272,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:16.742244,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:17.937607,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 42.69230769230769)"
10-01-2023 13:56:18.976521,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 42.69230769230769)"
10-01-2023 13:56:20.074357,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 42.69230769230769)"
10-01-2023 13:56:21.214523,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:22.351261,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:23.473599,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:24.524748,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:25.581581,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.8)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:26.665862,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:27.757522,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:28.869083,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:30.102915,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:31.279828,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:32.335004,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:33.558551,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:34.786325,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:36.051375,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:37.199037,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:38.310531,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:39.499215,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:40.717364,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 11.5)","(15.0, 60.0, 36.66666666666667)","(10.0, 25.0, 15.0)","(21.0, 95.0, 40.38461538461539)","(20.0, 60.0, 36.388888888888886)"
10-01-2023 13:56:41.918888,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 48.42857142857143)","(8.0, 20.0, 14.333333333333334)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:43.099089,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:44.243168,"(2.6, 4.3, 4.009090909090909)","(1.95, 2.12, 1.9947368421052631)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:45.421244,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:46.563760,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:47.674819,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:48.760375,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:49.926100,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:51.042017,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:52.145110,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:53.303386,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:54.515913,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:55.731251,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:56.808152,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:58.020532,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:56:59.327348,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:57:00.575224,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:57:01.725098,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.996)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:57:02.946608,"(2.6, 4.3, 3.54)","(1.95, 2.02, 1.988)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:57:04.194934,"(2.6, 4.3, 3.5599999999999996)","(1.95, 2.0, 1.988)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:57:05.430362,"(2.6, 4.2, 3.096)","(1.95, 2.0, 1.988)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.454545454545453)"
10-01-2023 13:57:06.684088,"(2.6, 4.2, 3.096)","(1.95, 2.0, 1.988)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.81818181818182)"
10-01-2023 13:57:07.984829,"(2.6, 4.2, 3.096)","(1.95, 2.0, 1.988)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 48.849999999999994)","(20.0, 60.0, 29.81818181818182)"
10-01-2023 13:57:09.223372,"(2.6, 4.2, 3.096)","(1.95, 2.0, 1.988)","(19.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 57.13333333333333)","(20.0, 60.0, 29.81818181818182)"
10-01-2023 13:57:10.466235,"(2.6, 4.2, 3.096)","(1.9, 2.0, 1.988)","(20.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 57.13333333333333)","(20.0, 60.0, 34.0625)"
10-01-2023 13:57:11.693908,"(2.6, 4.2, 3.096)","(1.9, 2.0, 1.988)","(20.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 57.13333333333333)","(20.0, 60.0, 34.0625)"
10-01-2023 13:57:12.922526,"(2.6, 4.2, 3.096)","(1.9, 2.0, 1.988)","(20.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 57.13333333333333)","(20.0, 60.0, 34.0625)"
10-01-2023 13:57:14.130275,"(2.6, 4.2, 3.096)","(1.9, 2.0, 1.988)","(20.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 57.13333333333333)","(20.0, 60.0, 34.0625)"
10-01-2023 13:57:15.337490,"(2.6, 4.2, 3.096)","(1.9, 2.0, 1.988)","(20.0, 85.0, 59.400000000000006)","(8.0, 20.0, 11.5)","(15.0, 60.0, 37.599999999999994)","(10.0, 25.0, 15.0)","(21.0, 95.0, 57.13333333333333)","(20.0, 60.0, 34.0625)"
