,Zambora Opal,Blazing Arnie,Mr Deeds,Fabs Udon,Spring Scout,Charizard,High Action,Marriage Over
07-12-2022 20:43:29.623761,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.97)"
07-12-2022 20:43:30.892399,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:32.201244,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:33.479384,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:34.783358,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:36.125069,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:37.394079,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:38.614905,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:39.774463,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:40.923416,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:42.004974,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:43.150941,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:44.347865,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:45.551029,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:46.740698,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:47.927427,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:49.086366,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:50.404000,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:51.564059,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:52.841040,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:54.123203,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:55.550208,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:57.002229,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:43:58.287264,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:43:59.521450,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:44:00.781142,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.97)"
07-12-2022 20:44:02.060387,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.97)"
07-12-2022 20:44:03.353930,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.97)"
07-12-2022 20:44:04.633993,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 16.25)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.97)"
07-12-2022 20:44:05.946090,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 25.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.97)"
07-12-2022 20:44:07.212148,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 23.0, 17.0)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
