,Not Even Owl,Thrilling Bandit,Big Time Roman,Big Time Raider,Big Time Taniwha
06-01-2023 15:53:14.392151,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:15.338148,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:16.388931,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:17.405978,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:18.295553,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:19.217033,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:20.217209,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:21.166959,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:22.217063,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:23.169454,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:24.165223,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:25.219297,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:26.314473,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:27.289111,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:28.253531,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:29.267868,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:30.191046,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:31.439475,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:32.458591,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:33.305477,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:34.240510,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:35.346511,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:36.426430,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:37.555488,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:38.556246,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:39.655718,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:44.835261,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:45.867304,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:46.864106,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:47.901370,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:48.807966,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:49.733957,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:50.842427,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:51.831566,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:52.769137,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:53.909320,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:54.957490,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:55.910118,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:57.044162,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:58.133591,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:53:59.037397,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:00.145700,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:01.476596,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:02.833336,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:04.155499,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:05.506669,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:07.035190,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:08.274391,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:09.387543,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:10.544503,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:11.710921,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:12.791907,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:13.850503,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:14.933297,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:16.143093,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:17.239325,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:18.289583,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:19.322474,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:20.465559,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:21.606702,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:22.584124,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.5, 19.5, 18.491666666666667)"
06-01-2023 15:54:23.648840,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:24.797452,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:25.866303,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:26.870661,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:27.971045,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:29.130700,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:30.269364,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:31.378553,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:32.466097,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:33.753094,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:34.956293,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:36.060239,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:37.096332,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:38.186447,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:39.334140,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:40.412797,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:41.480401,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:42.566580,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:43.705037,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:45.063744,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:46.261537,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:47.480821,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:48.762578,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:49.948603,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:51.068809,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:52.099707,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:53.163829,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:54.228963,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:55.315389,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:56.442698,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:57.507470,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:58.553496,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:54:59.623786,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
06-01-2023 15:55:00.636798,"(4.4, 7.6, 6.3999999999999995)","(5.5, 12.5, 11.3)","(4.6, 7.2, 6.664285714285715)","(2.0, 3.2, 3.0294117647058822)","(8.0, 19.5, 18.491666666666667)"
