,My Jewel,Uno Kai,World Gone Mad,Manila Brae,Sister Sticker,Blue Redemption
09-01-2023 17:40:12.339792,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:13.346872,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:14.387207,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:15.439765,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:16.415980,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:17.365444,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:18.306946,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:19.183696,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:20.059517,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:21.001733,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:22.025547,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:23.080373,"(7.0, 15.0, 13.6)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:24.116485,"(7.0, 15.0, 14.15)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:25.125956,"(7.0, 15.0, 12.8)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:26.112214,"(7.0, 15.0, 14.15)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:27.003185,"(7.0, 15.0, 14.15)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:27.916952,"(7.0, 15.0, 14.15)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:28.896225,"(7.0, 15.0, 14.15)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:29.970934,"(7.0, 15.0, 11.2)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:31.038547,"(7.0, 15.0, 11.2)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.988571428571429)"
09-01-2023 17:40:32.136595,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:33.144695,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:34.092684,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:34.986268,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:35.951572,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:36.940775,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:37.974647,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:39.019958,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:40.120256,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:41.150433,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:42.210854,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:43.152363,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:44.122193,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:45.008664,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:46.009812,"(7.0, 13.5, 10.55)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:47.058018,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:48.104326,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:49.165189,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:50.250080,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 41.142857142857146)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:51.340906,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 50.0, 41.142857142857146)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:52.394248,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 50.0, 41.142857142857146)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:53.366016,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 50.0, 41.142857142857146)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:54.294777,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 49.375)","(3.6, 4.2, 4.095652173913043)","(19.0, 50.0, 41.142857142857146)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:55.189039,"(7.0, 15.0, 14.1)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 50.0, 41.142857142857146)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:56.142785,"(7.0, 15.0, 12.666666666666668)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:57.171483,"(7.0, 15.0, 14.1)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:58.165786,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:40:59.197900,"(7.0, 15.0, 14.125)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:00.201809,"(7.0, 15.0, 14.125)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:01.361635,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:02.487637,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.2, 4.095652173913043)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:03.505028,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.1, 3.65)","(19.0, 55.0, 37.0)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:04.517851,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.1, 3.65)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:05.535125,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 4.1, 3.307142857142857)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:06.659473,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.307142857142857)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:07.819674,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:09.183084,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:11.466236,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:12.566141,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:13.905807,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:14.978365,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.988571428571429)"
09-01-2023 17:41:16.062063,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.616)"
09-01-2023 17:41:17.168533,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.616)"
09-01-2023 17:41:18.283838,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.616)"
09-01-2023 17:41:19.450671,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.616)"
09-01-2023 17:41:20.634379,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.88)"
09-01-2023 17:41:21.744652,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.88)"
09-01-2023 17:41:22.856363,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.88)"
09-01-2023 17:41:24.184025,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.88)"
09-01-2023 17:41:25.373177,"(7.0, 15.0, 13.6)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.88)"
09-01-2023 17:41:26.616746,"(7.0, 15.0, 14.15)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.88)"
09-01-2023 17:41:27.708599,"(7.0, 15.0, 14.15)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 4.0329411764705885)"
09-01-2023 17:41:28.817046,"(7.0, 15.0, 11.2)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.64)"
09-01-2023 17:41:30.037765,"(7.0, 15.0, 13.733333333333334)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.28)"
09-01-2023 17:41:31.236712,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.855)"
09-01-2023 17:41:32.438370,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.656)"
09-01-2023 17:41:33.605317,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.28)"
09-01-2023 17:41:34.691427,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.28)"
09-01-2023 17:41:35.723395,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.6, 4.2, 3.28)"
09-01-2023 17:41:36.814264,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.28)"
09-01-2023 17:41:37.885654,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.28)"
09-01-2023 17:41:38.956656,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.28)"
09-01-2023 17:41:39.981046,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.28)"
09-01-2023 17:41:41.030847,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.95, 3.9093023255813955)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.923636363636364)"
09-01-2023 17:41:42.246459,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.6)"
09-01-2023 17:41:43.337986,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.576)"
09-01-2023 17:41:44.385644,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.6866666666666665)"
09-01-2023 17:41:45.461724,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.6866666666666665)"
09-01-2023 17:41:46.479039,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.6866666666666665)"
09-01-2023 17:41:47.520836,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.6866666666666665)"
09-01-2023 17:41:48.496203,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.923636363636364)"
09-01-2023 17:41:49.487067,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.923636363636364)"
09-01-2023 17:41:50.573734,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.706666666666667)"
09-01-2023 17:41:51.465164,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.706666666666667)"
09-01-2023 17:41:52.467597,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.8711111111111114)"
09-01-2023 17:41:53.476972,"(7.0, 15.0, 12.533333333333333)","(21.0, 90.0, 42.72727272727273)","(3.6, 3.9, 3.842553191489362)","(19.0, 55.0, 32.84615384615385)","(2.7, 3.7, 3.5)","(2.5, 4.2, 3.706666666666667)"
