,Yering Rose,Keekee,Ace Star,Elpine Warrior,Mac A Boy,Social Writer,Keayang Bieber,Lazio Lass
14-12-2022 18:51:59.017198,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:00.154414,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:01.195697,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 22.833333333333336)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:02.354133,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 23.0)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:03.526940,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 23.0)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:04.619083,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 23.0)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:05.660834,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 23.0)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:06.770267,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 23.0)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:07.782957,"(4.4, 5.7, 5.4)","(19.0, 36.0, 29.666666666666664)","(9.0, 17.0, 11.96)","(2.9, 4.1, 3.6574999999999998)","(26.0, 55.0, 34.333333333333336)","(5.5, 8.6, 7.1)","(15.0, 27.0, 23.0)","(3.6, 5.6, 4.949999999999999)"
14-12-2022 18:52:08.870378,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.4, 7.300000000000001)","(15.0, 26.0, 22.333333333333332)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:10.008031,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.4, 7.300000000000001)","(15.0, 26.0, 22.333333333333332)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:11.147718,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.4, 7.300000000000001)","(15.0, 26.0, 22.333333333333332)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:12.294253,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.4, 7.300000000000001)","(15.0, 26.0, 22.166666666666668)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:13.492676,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.4, 6.871428571428571)","(15.0, 26.0, 21.5)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:14.607907,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:15.684891,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:16.758204,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:17.860365,"(4.4, 5.6, 5.32)","(19.0, 34.0, 28.333333333333336)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6914285714285713)","(26.0, 50.0, 32.666666666666664)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.5, 4.883333333333333)"
14-12-2022 18:52:19.036014,"(4.4, 5.5, 5.24)","(19.0, 32.0, 27.0)","(9.0, 16.5, 12.55)","(2.9, 4.0, 3.6557142857142857)","(26.0, 50.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.5, 4.816666666666666)"
14-12-2022 18:52:20.054986,"(4.4, 5.5, 5.24)","(19.0, 32.0, 27.0)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:21.171618,"(4.4, 5.5, 5.24)","(19.0, 32.0, 27.0)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:22.287854,"(4.4, 5.5, 5.24)","(19.0, 32.0, 27.0)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:23.374997,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:24.538904,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:25.719966,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:26.914105,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:28.030923,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:29.213001,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:30.494689,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:31.695238,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:32.826570,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:33.968556,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:35.137697,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:36.267754,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:37.354004,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:38.541339,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:39.693106,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:40.801147,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:41.945035,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:43.064723,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:44.117944,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:45.244182,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:46.311657,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:47.314913,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:48.347377,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:49.379282,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:50.417899,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:51.512222,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:52.662142,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:53.730655,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:54.844109,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:56.077434,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:57.267085,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:58.470006,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:52:59.597394,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:00.687692,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:01.752762,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:02.753566,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:03.838186,"(4.4, 5.5, 5.24)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:05.263954,"(4.4, 5.5, 4.985714285714286)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:06.326664,"(4.4, 5.5, 4.985714285714286)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:07.550124,"(4.4, 5.5, 4.985714285714286)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:08.610217,"(4.4, 5.5, 4.985714285714286)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:09.781489,"(4.4, 5.5, 5.26)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:10.977389,"(4.4, 5.5, 5.26)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
14-12-2022 18:53:12.170475,"(4.4, 5.5, 5.26)","(19.0, 32.0, 29.53846153846154)","(9.0, 16.0, 12.3)","(2.9, 3.95, 3.6557142857142857)","(26.0, 48.0, 32.0)","(5.5, 8.2, 6.871428571428571)","(15.0, 25.0, 21.5)","(3.6, 5.4, 4.816666666666666)"
