,Queen Butterfly,Wheres My Cash,Blazing Dodge,Jolly Johnny,Aussie Bullseye,Head Bin,Riverdale Peggy
14-12-2022 13:14:50.149192,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:51.214325,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:52.308315,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:53.364619,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:54.509131,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:55.731788,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:56.877710,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:58.195427,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:14:59.377925,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:00.613298,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 5.909090909090909)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:01.805408,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:02.947773,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.025714285714286)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:04.117178,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.4862264150943396)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:05.195052,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.4743396226415095)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:06.305299,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.4743396226415095)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:07.388006,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.1100689655172413)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:08.509019,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.1100689655172413)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:09.613953,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.1100689655172413)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:10.868901,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.6, 3.428584905660377)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:12.084968,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.472121212121212)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:13.245060,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.5, 3.472121212121212)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:14.550208,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.5, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:15.862947,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 7.175)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:17.041905,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.705)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:18.211604,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:19.391893,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:20.637321,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:21.884874,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 5.083870967741936)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:23.077906,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:24.295605,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:25.643073,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:26.841442,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:28.225785,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:29.391828,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:30.526020,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.521111111111111)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:31.723843,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.3514285714285714)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:32.783324,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.3514285714285714)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:33.881521,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 3.3514285714285714)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:35.152116,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.885217391304348)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:36.329477,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.885217391304348)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:37.440161,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.885217391304348)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:38.656318,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.885217391304348)","(6.0, 11.0, 8.15)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.7153846153846155)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:39.854119,"(6.0, 13.0, 10.882352941176471)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:41.048141,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:42.306251,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:43.439038,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:44.582826,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:45.730319,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:46.867293,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:47.925042,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:49.100098,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:50.189857,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:51.209322,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:52.294795,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:53.471703,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:54.649262,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:55.778794,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:56.847599,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:57.833538,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:58.823111,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:15:59.825548,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:00.924808,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:02.001618,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:03.045924,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:04.093688,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:05.068492,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:06.041599,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:07.051437,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.595)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:08.082845,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.95)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:09.087704,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.95)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:10.098723,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.95)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
14-12-2022 13:16:11.050796,"(6.0, 13.0, 7.083333333333334)","(12.0, 36.0, 20.375)","(2.25, 3.55, 2.9703846153846154)","(6.0, 11.0, 8.521739130434783)","(7.5, 13.5, 9.95)","(3.9, 7.0, 4.525)","(20.0, 70.0, 46.81818181818182)"
