,Rons Brother,Spring Aggie,Chance,Spring Rock,Reggies Brother,Spring Maple
16-12-2022 15:27:05.999040,"(5.0, 6.0, 5.95)","(6.0, 12.5, 12.113333333333333)","(4.0, 4.5, 4.111111111111111)","(4.8, 7.2, 6.54)","(7.0, 8.0, 7.803921568627451)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:06.881547,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.5, 11.42)","(4.0, 4.5, 4.111111111111111)","(4.8, 7.2, 6.490909090909091)","(7.0, 8.0, 7.803174603174603)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:07.825053,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.5, 11.42)","(4.0, 4.5, 4.111111111111111)","(4.8, 7.2, 6.490909090909091)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:08.830887,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 10.533333333333333)","(4.0, 4.5, 4.111111111111111)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.2272727272727275)"
16-12-2022 15:27:09.746778,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.28)","(4.0, 4.5, 4.111111111111111)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.17)"
16-12-2022 15:27:10.729303,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.120000000000001)","(4.0, 4.5, 4.111111111111111)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.17)"
16-12-2022 15:27:11.689467,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.120000000000001)","(4.0, 4.5, 4.285714285714286)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.3428571428571425)"
16-12-2022 15:27:12.641025,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.120000000000001)","(4.0, 4.5, 4.285714285714286)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.3428571428571425)"
16-12-2022 15:27:13.605677,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.120000000000001)","(4.0, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.3428571428571425)"
16-12-2022 15:27:14.549631,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.5, 10.441176470588236)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.803125)","(3.4, 4.5, 4.3428571428571425)"
16-12-2022 15:27:15.407194,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.5, 10.441176470588236)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.408571428571429)","(3.4, 4.5, 4.375)"
16-12-2022 15:27:16.423454,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.5, 10.441176470588236)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.408571428571429)","(3.4, 4.5, 4.375)"
16-12-2022 15:27:17.443233,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.5, 10.441176470588236)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.385714285714285)"
16-12-2022 15:27:18.389324,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.5, 10.441176470588236)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.385714285714285)"
16-12-2022 15:27:19.397301,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.5, 11.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.385714285714285)"
16-12-2022 15:27:20.400688,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.294117647058824)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.385714285714285)"
16-12-2022 15:27:21.406935,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.294117647058824)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.385714285714285)"
16-12-2022 15:27:22.302930,"(5.0, 6.0, 5.730769230769231)","(6.0, 12.0, 11.294117647058824)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.166666666666667)"
16-12-2022 15:27:23.329558,"(5.0, 6.0, 5.730769230769231)","(6.0, 11.5, 10.970588235294118)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.0, 6.642857142857142)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.357142857142857)"
16-12-2022 15:27:24.393791,"(5.0, 6.0, 5.928571428571429)","(6.0, 11.5, 10.970588235294118)","(3.9, 4.5, 4.311627906976744)","(4.8, 7.6, 6.9)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:25.334082,"(5.0, 6.0, 5.928571428571429)","(6.0, 11.5, 10.970588235294118)","(3.9, 4.5, 4.311627906976744)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:26.282014,"(5.0, 6.0, 5.928571428571429)","(6.0, 11.5, 10.970588235294118)","(3.9, 4.5, 4.311627906976744)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:27.237323,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.5, 11.1)","(3.9, 4.5, 4.311627906976744)","(4.8, 7.4, 6.484615384615385)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:28.148301,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.5, 11.1)","(3.9, 4.5, 4.311627906976744)","(4.8, 7.4, 6.484615384615385)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.34)"
16-12-2022 15:27:29.167796,"(5.0, 6.0, 5.928571428571429)","(6.0, 12.5, 12.425925925925926)","(3.9, 4.5, 4.311627906976744)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:30.083290,"(5.0, 6.0, 5.928571428571429)","(6.0, 13.0, 12.88888888888889)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:31.088622,"(5.0, 6.0, 5.928571428571429)","(6.0, 13.0, 12.88888888888889)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:32.122753,"(5.0, 6.0, 5.928571428571429)","(6.0, 13.0, 12.636363636363637)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.233333333333333)"
16-12-2022 15:27:33.051352,"(5.0, 6.0, 5.75)","(6.0, 13.0, 12.541666666666666)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.233333333333333)"
16-12-2022 15:27:33.942337,"(5.0, 6.0, 5.75)","(6.0, 13.0, 12.839285714285714)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.3)"
16-12-2022 15:27:34.851210,"(5.0, 6.0, 5.75)","(6.0, 13.0, 12.76923076923077)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:35.746761,"(5.0, 6.0, 5.75)","(6.0, 13.0, 12.76923076923077)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.45)"
16-12-2022 15:27:36.683656,"(5.0, 6.0, 5.75)","(6.0, 15.0, 13.772727272727273)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.45)"
16-12-2022 15:27:37.699609,"(5.0, 6.0, 5.946666666666666)","(6.0, 15.0, 13.772727272727273)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.409375000000001)","(3.4, 4.5, 4.45)"
16-12-2022 15:27:38.641371,"(5.0, 6.0, 5.946666666666666)","(6.0, 15.0, 13.772727272727273)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.7)","(7.0, 8.0, 7.427272727272728)","(3.4, 4.5, 4.45)"
16-12-2022 15:27:39.539603,"(5.0, 6.0, 5.933333333333334)","(6.0, 15.0, 13.95)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.5793103448275865)","(7.0, 8.0, 7.427272727272728)","(3.4, 4.5, 4.45)"
16-12-2022 15:27:40.501127,"(5.0, 6.0, 5.933333333333334)","(6.0, 15.0, 13.95)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.5793103448275865)","(7.0, 8.0, 7.427272727272728)","(3.4, 4.5, 4.45)"
16-12-2022 15:27:41.409105,"(5.0, 6.0, 5.933333333333334)","(6.0, 15.0, 13.95)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.5793103448275865)","(7.0, 8.0, 7.427272727272728)","(3.4, 4.5, 4.3)"
16-12-2022 15:27:42.401421,"(5.0, 6.0, 5.933333333333334)","(6.0, 15.0, 13.95)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.5793103448275865)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:43.372416,"(5.0, 6.0, 5.933333333333334)","(6.0, 14.5, 13.710526315789474)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.4, 6.5793103448275865)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:44.283258,"(5.0, 6.0, 5.933333333333334)","(6.0, 14.5, 13.710526315789474)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.5, 4.414285714285715)"
16-12-2022 15:27:45.185108,"(5.0, 6.0, 5.933333333333334)","(6.0, 14.5, 13.3)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.366666666666667)"
16-12-2022 15:27:46.128889,"(5.0, 6.0, 5.933333333333334)","(6.0, 14.5, 12.785714285714286)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.3)"
16-12-2022 15:27:47.045018,"(5.0, 6.0, 5.933333333333334)","(6.0, 14.5, 13.0)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.366666666666667)"
16-12-2022 15:27:48.007316,"(5.0, 6.0, 5.885714285714286)","(6.0, 14.5, 13.0)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.366666666666667)"
16-12-2022 15:27:48.974947,"(5.0, 6.0, 5.885714285714286)","(6.0, 14.5, 13.0)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.366666666666667)"
16-12-2022 15:27:49.913676,"(5.0, 6.0, 5.885714285714286)","(6.0, 14.5, 13.0)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.366666666666667)"
16-12-2022 15:27:50.876709,"(5.0, 6.0, 5.885714285714286)","(6.0, 14.5, 13.0)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.325)"
16-12-2022 15:27:51.866465,"(5.0, 6.0, 5.885714285714286)","(6.0, 14.5, 13.0)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.375)"
16-12-2022 15:27:52.840193,"(5.0, 6.0, 5.885714285714286)","(6.0, 16.0, 12.966666666666667)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.3)"
16-12-2022 15:27:53.734871,"(5.0, 6.0, 5.6)","(6.0, 16.0, 12.833333333333334)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.371428571428572)"
16-12-2022 15:27:54.690681,"(5.0, 6.0, 5.6)","(6.0, 16.0, 12.833333333333334)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.371428571428572)"
16-12-2022 15:27:55.599424,"(5.0, 6.0, 5.85)","(6.0, 16.0, 13.108695652173914)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.371428571428572)"
16-12-2022 15:27:56.538896,"(5.0, 6.0, 4.95)","(6.0, 15.5, 13.5)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.371428571428572)"
16-12-2022 15:27:57.613701,"(5.0, 6.0, 5.51875)","(6.0, 15.5, 13.5)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.371428571428572)"
16-12-2022 15:27:58.618221,"(5.0, 6.0, 5.476190476190476)","(6.0, 15.5, 13.289473684210526)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.371428571428572)"
16-12-2022 15:27:59.533777,"(5.0, 6.0, 5.592592592592593)","(6.0, 15.5, 13.289473684210526)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.685714285714286)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.371428571428572)"
16-12-2022 15:28:00.472322,"(5.0, 6.0, 5.592592592592593)","(6.0, 15.5, 13.289473684210526)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.553846153846154)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.25)"
16-12-2022 15:28:01.468892,"(5.0, 6.0, 5.592592592592593)","(6.0, 15.5, 13.289473684210526)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.553846153846154)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.22)"
16-12-2022 15:28:02.363356,"(5.0, 6.0, 5.592592592592593)","(6.0, 15.5, 13.289473684210526)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.553846153846154)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:03.356641,"(5.0, 6.0, 5.592592592592593)","(6.0, 15.5, 13.289473684210526)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:04.302141,"(5.0, 6.0, 5.375)","(6.0, 15.5, 13.289473684210526)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:05.183979,"(5.0, 6.0, 5.411764705882353)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:06.153906,"(5.0, 6.0, 5.411764705882353)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:07.092338,"(5.0, 6.0, 5.411764705882353)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:08.097313,"(5.0, 6.0, 5.444444444444445)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:09.147203,"(5.0, 6.0, 5.5)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:10.124335,"(5.0, 6.0, 5.5)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:11.055658,"(5.0, 6.0, 5.5)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:11.979714,"(5.0, 6.0, 5.5)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.720000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:12.974609,"(5.0, 6.0, 5.5)","(6.0, 14.5, 13.928571428571429)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.96)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.285714285714286)"
16-12-2022 15:28:13.896185,"(5.0, 6.0, 5.5)","(6.0, 14.0, 13.181818181818182)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.050000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.285714285714286)"
16-12-2022 15:28:14.851844,"(5.0, 6.0, 5.5)","(6.0, 14.0, 13.0)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.050000000000001)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.285714285714286)"
16-12-2022 15:28:15.794448,"(5.0, 6.0, 5.5)","(6.0, 14.0, 13.307692307692308)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.096551724137932)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.285714285714286)"
16-12-2022 15:28:16.767584,"(5.0, 6.0, 5.5)","(6.0, 14.0, 13.307692307692308)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.096551724137932)","(7.0, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.24)"
16-12-2022 15:28:17.758066,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.055555555555555)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.800000000000001)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:18.750706,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.055555555555555)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:19.707397,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.055555555555555)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.800000000000001)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:20.676582,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.055555555555555)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.800000000000001)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:21.641345,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.800000000000001)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:22.597517,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 6.800000000000001)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:23.523326,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:24.518774,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:25.445183,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:26.399518,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:27.526721,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:28.535257,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:29.503182,"(5.0, 6.0, 5.5)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:30.517405,"(5.0, 6.0, 5.3076923076923075)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:31.406597,"(5.0, 6.0, 5.3076923076923075)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:32.405375,"(5.0, 6.0, 5.3076923076923075)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:33.401225,"(5.0, 6.0, 5.3076923076923075)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:34.383402,"(5.0, 6.0, 5.3076923076923075)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:35.415896,"(5.0, 6.0, 5.3076923076923075)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
16-12-2022 15:28:36.514418,"(5.0, 6.0, 5.3076923076923075)","(6.0, 14.5, 14.1)","(3.9, 4.5, 4.302439024390244)","(4.8, 7.2, 7.0)","(6.5, 8.0, 7.5200000000000005)","(3.4, 4.4, 4.16)"
