,Mr Kennedy,Super Freds,Blue Canasta,Headstart,Separatist,Maudeville,All I Care About,First Class Molley,Light Press
07-01-2023 13:07:50.572625,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:51.736716,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:52.917111,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:54.035758,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:55.177228,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:56.342740,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:57.507737,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.414285714285714)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:58.705283,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.721739130434782)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:07:59.838761,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:01.052255,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:02.280181,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:03.491983,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:04.670945,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:05.889047,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:07.063898,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.714814814814815)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:08.228572,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.9, 5.56)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:09.409770,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:10.595039,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:12.097774,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:13.516577,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:14.901888,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:16.267809,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(81.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:17.573286,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:18.770893,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:19.920591,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:21.101546,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:22.251305,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:23.474069,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 162.0)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:24.714103,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:25.913882,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.290909090909091)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.56)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:27.119254,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.8, 5.5769230769230775)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:28.316244,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.5769230769230775)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:29.517520,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.5769230769230775)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:30.754251,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.5769230769230775)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:31.981436,"(6.0, 8.6, 8.4)","(5.0, 8.2, 6.95)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.5769230769230775)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:33.241112,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.5769230769230775)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:34.534989,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 181.25)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.5769230769230775)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:35.911412,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.5769230769230775)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:37.306827,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.7, 5.428)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:38.512009,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.428)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:39.673667,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.414285714285715)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:40.797448,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.414285714285715)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:41.941632,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.414285714285715)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:43.039887,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.390909090909091)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:44.121732,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.390909090909091)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:45.287357,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.390909090909091)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:46.532439,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.390909090909091)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:47.805221,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7868965517241375)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.390909090909091)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:49.229218,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.7966666666666664)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.390909090909091)","(7.0, 9.8, 9.733333333333334)"
07-01-2023 13:08:50.494533,"(6.0, 8.6, 8.4)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 2.8, 2.999230769230769)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.366666666666667)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:51.784627,"(6.0, 8.6, 8.36470588235294)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.35, 2.999230769230769)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.366666666666667)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:52.886521,"(6.0, 8.6, 8.36470588235294)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.35, 2.975833333333333)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:54.003462,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.25, 3.111111111111111)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:55.184571,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.2, 3.069230769230769)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:56.353742,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.3, 3.069230769230769)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:57.591273,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.3, 2.9052631578947365)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:08:58.809177,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.3, 2.933333333333333)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:00.079561,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.2, 2.933333333333333)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:01.302160,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.2, 2.933333333333333)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:02.513096,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.2, 2.933333333333333)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:03.694349,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.2, 2.933333333333333)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:04.873506,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.2, 2.933333333333333)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:06.036536,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.2)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.2, 3.0227272727272725)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:07.158484,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.15, 2.9499999999999997)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:08.330664,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.15, 2.9499999999999997)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
07-01-2023 13:09:09.409062,"(6.0, 8.6, 8.2)","(5.0, 8.2, 7.449999999999999)","(13.0, 28.0, 24.8)","(19.0, 28.0, 23.5)","(2.6, 3.15, 2.9499999999999997)","(71.0, 220.0, 120.0)","(26.0, 120.0, 74.5)","(4.4, 5.5, 5.25)","(7.0, 9.8, 9.724137931034484)"
