,Versetto,Hongbao,Tequila Sunset,Midnight Rush,Opal Beach,Grandma Gail,Magiclane,Morphett Road
16-12-2022 15:27:03.831949,"(7.5, 10.5, 10.135802469135802)","(1.9, 1.97, 1.9655045871559633)","(11.0, 14.0, 13.816455696202532)","(4.4, 5.7, 5.6432)","(21.0, 38.0, 37.1764705882353)","(8.5, 10.5, 10.435897435897436)","(41.0, 55.0, 52.95454545454545)","(101.0, 350.0, 314.2857142857143)"
16-12-2022 15:27:05.014552,"(7.5, 10.5, 10.159420289855072)","(1.9, 1.97, 1.9655045871559633)","(11.0, 14.0, 13.816455696202532)","(4.4, 5.7, 5.652980132450331)","(21.0, 38.0, 37.1764705882353)","(8.5, 10.5, 10.445255474452555)","(41.0, 55.0, 53.125)","(101.0, 350.0, 304.0)"
16-12-2022 15:27:06.314084,"(7.5, 10.5, 10.182432432432432)","(1.9, 1.97, 1.9636075949367089)","(11.0, 14.0, 13.867647058823529)","(4.4, 5.7, 5.652980132450331)","(21.0, 38.0, 37.1764705882353)","(8.5, 10.5, 10.445255474452555)","(41.0, 55.0, 53.125)","(101.0, 340.0, 313.3333333333333)"
16-12-2022 15:27:07.378258,"(7.5, 10.5, 10.182432432432432)","(1.9, 1.97, 1.9635185185185184)","(11.0, 14.0, 13.678571428571429)","(4.4, 5.7, 5.652980132450331)","(21.0, 38.0, 36.833333333333336)","(8.5, 10.5, 10.445255474452555)","(41.0, 55.0, 53.125)","(101.0, 330.0, 313.3333333333333)"
16-12-2022 15:27:08.394754,"(7.5, 10.5, 10.229885057471265)","(1.9, 1.97, 1.9671951219512196)","(11.0, 14.0, 13.756756756756756)","(4.4, 5.7, 5.648809523809524)","(21.0, 38.0, 37.06666666666667)","(8.5, 10.5, 10.45)","(41.0, 55.0, 53.333333333333336)","(101.0, 330.0, 313.3333333333333)"
16-12-2022 15:27:09.480809,"(7.5, 10.5, 10.229885057471265)","(1.9, 1.97, 1.9671951219512196)","(11.0, 14.0, 13.804347826086957)","(4.4, 5.7, 5.655405405405405)","(21.0, 38.0, 37.06666666666667)","(8.5, 10.5, 10.45)","(41.0, 55.0, 53.333333333333336)","(101.0, 330.0, 300.0)"
16-12-2022 15:27:10.626304,"(8.0, 10.5, 10.229885057471265)","(1.8, 1.97, 1.9677914110429449)","(11.0, 14.0, 13.804347826086957)","(4.6, 5.7, 5.655405405405405)","(26.0, 38.0, 37.06666666666667)","(8.5, 10.5, 10.45)","(41.0, 55.0, 53.333333333333336)","(101.0, 330.0, 292.5)"
16-12-2022 15:27:11.717474,"(8.0, 10.5, 10.154411764705882)","(1.8, 1.97, 1.9679190751445086)","(11.0, 14.0, 13.735294117647058)","(4.6, 5.7, 5.655405405405405)","(26.0, 38.0, 36.77777777777778)","(8.5, 10.5, 10.45)","(41.0, 55.0, 53.333333333333336)","(101.0, 330.0, 300.0)"
16-12-2022 15:27:12.885105,"(8.0, 10.5, 10.150602409638553)","(1.8, 1.98, 1.9722916666666666)","(11.0, 14.0, 13.857142857142858)","(4.6, 5.7, 5.655102040816327)","(26.0, 38.0, 36.9)","(8.5, 10.5, 10.368421052631579)","(41.0, 55.0, 53.333333333333336)","(101.0, 320.0, 296.0)"
16-12-2022 15:27:14.004277,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.98, 1.979859813084112)","(11.0, 14.0, 13.666666666666666)","(4.6, 5.6, 5.57887323943662)","(26.0, 38.0, 36.9)","(8.5, 10.5, 10.331550802139038)","(41.0, 55.0, 53.6)","(101.0, 320.0, 293.3333333333333)"
16-12-2022 15:27:15.109784,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.98, 1.979864864864865)","(11.0, 14.0, 13.666666666666666)","(4.6, 5.6, 5.5285714285714285)","(26.0, 38.0, 36.9)","(8.5, 10.5, 10.314705882352941)","(41.0, 55.0, 54.285714285714285)","(101.0, 320.0, 293.3333333333333)"
16-12-2022 15:27:16.322453,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.98, 1.979864864864865)","(11.0, 14.0, 13.663461538461538)","(4.6, 5.6, 5.530526315789474)","(26.0, 38.0, 36.9)","(8.5, 10.5, 10.323170731707316)","(41.0, 55.0, 53.214285714285715)","(101.0, 320.0, 297.14285714285717)"
16-12-2022 15:27:17.477232,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9829493087557604)","(11.0, 14.0, 13.578313253012048)","(4.6, 5.6, 5.530526315789474)","(26.0, 38.0, 36.42857142857143)","(8.5, 10.5, 10.323170731707316)","(41.0, 55.0, 52.8125)","(101.0, 320.0, 300.0)"
16-12-2022 15:27:18.556880,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9825358851674642)","(11.0, 14.0, 13.627659574468085)","(4.6, 5.6, 5.530526315789474)","(26.0, 38.0, 36.42857142857143)","(8.5, 10.5, 10.31547619047619)","(41.0, 55.0, 52.8125)","(101.0, 320.0, 300.0)"
16-12-2022 15:27:19.635381,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9825274725274724)","(11.0, 14.0, 13.627659574468085)","(4.6, 5.6, 5.533333333333333)","(26.0, 38.0, 36.42857142857143)","(8.5, 10.5, 10.044117647058824)","(41.0, 55.0, 52.8125)","(101.0, 320.0, 300.0)"
16-12-2022 15:27:20.755199,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9848936170212765)","(11.0, 14.0, 13.551282051282051)","(4.6, 5.6, 5.528695652173913)","(26.0, 38.0, 36.42857142857143)","(8.5, 10.5, 10.119791666666666)","(41.0, 55.0, 53.0)","(101.0, 320.0, 300.0)"
16-12-2022 15:27:21.905217,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9829411764705882)","(11.0, 14.0, 13.551282051282051)","(4.6, 5.6, 5.528695652173913)","(26.0, 38.0, 36.42857142857143)","(8.5, 10.5, 10.149038461538462)","(41.0, 55.0, 52.30769230769231)","(101.0, 320.0, 300.0)"
16-12-2022 15:27:23.039161,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9846376811594202)","(11.0, 14.0, 13.4609375)","(4.6, 5.6, 5.536434108527132)","(21.0, 38.0, 36.42857142857143)","(8.5, 10.5, 10.185344827586206)","(41.0, 55.0, 51.666666666666664)","(101.0, 320.0, 297.5)"
16-12-2022 15:27:24.218261,"(8.0, 10.5, 10.168539325842696)","(1.85, 1.99, 1.984263565891473)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.536641221374046)","(21.0, 38.0, 36.8)","(8.5, 10.5, 10.290960451977401)","(41.0, 55.0, 51.59090909090909)","(101.0, 320.0, 296.0)"
16-12-2022 15:27:25.322079,"(8.0, 10.5, 10.168539325842696)","(1.85, 1.99, 1.9892857142857143)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.536641221374046)","(21.0, 38.0, 36.8)","(8.5, 10.5, 10.290960451977401)","(41.0, 55.0, 55.476190476190474)","(101.0, 320.0, 301.6666666666667)"
16-12-2022 15:27:26.451564,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9846099290780141)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.536641221374046)","(21.0, 38.0, 36.8)","(8.5, 10.5, 10.290960451977401)","(41.0, 60.0, 55.96153846153846)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:27.636593,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.9846099290780141)","(11.0, 13.5, 13.394366197183098)","(4.6, 5.6, 5.536641221374046)","(21.0, 38.0, 36.8)","(8.5, 10.5, 10.290960451977401)","(41.0, 60.0, 56.0)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:28.745843,"(8.0, 10.5, 10.168539325842696)","(1.8, 1.99, 1.981111111111111)","(11.0, 13.5, 13.394366197183098)","(4.6, 5.6, 5.5375)","(21.0, 38.0, 36.8)","(8.5, 10.5, 10.290960451977401)","(41.0, 60.0, 56.0)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:29.833510,"(8.0, 10.5, 10.154639175257731)","(1.8, 1.98, 1.97065625)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.535483870967742)","(21.0, 38.0, 36.8)","(8.5, 10.5, 10.094262295081966)","(41.0, 60.0, 56.0)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:30.991622,"(8.0, 10.5, 10.154639175257731)","(1.8, 1.98, 1.9702605863192182)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.532773109243697)","(21.0, 38.0, 36.8)","(8.5, 10.5, 10.091269841269842)","(41.0, 60.0, 56.111111111111114)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:32.195277,"(8.0, 10.5, 10.154639175257731)","(1.8, 1.98, 1.9702605863192182)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.532773109243697)","(26.0, 38.0, 36.8)","(8.5, 10.5, 10.091269841269842)","(41.0, 60.0, 56.111111111111114)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:33.322666,"(8.0, 10.5, 10.154639175257731)","(1.8, 1.98, 1.9702605863192182)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.535483870967742)","(26.0, 38.0, 36.8)","(8.5, 10.5, 10.091269841269842)","(41.0, 60.0, 56.111111111111114)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:34.399519,"(8.0, 10.5, 10.192660550458715)","(1.8, 1.98, 1.9702409638554217)","(11.0, 13.5, 13.459016393442623)","(4.6, 5.6, 5.534426229508196)","(26.0, 38.0, 36.8)","(8.5, 10.5, 10.091269841269842)","(41.0, 60.0, 56.111111111111114)","(101.0, 360.0, 297.0)"
16-12-2022 15:27:35.485335,"(8.0, 10.5, 10.192660550458715)","(1.8, 1.98, 1.9741747572815533)","(11.0, 13.5, 13.394366197183098)","(4.6, 5.6, 5.533884297520661)","(26.0, 38.0, 36.8)","(8.5, 10.5, 9.52)","(41.0, 60.0, 56.21951219512195)","(101.0, 360.0, 304.0)"
16-12-2022 15:27:36.607656,"(8.0, 11.0, 10.580808080808081)","(1.8, 1.99, 1.9853846153846153)","(11.0, 14.0, 13.660714285714286)","(4.6, 5.6, 5.581333333333333)","(26.0, 38.0, 37.333333333333336)","(8.5, 9.8, 9.52)","(41.0, 60.0, 56.21951219512195)","(101.0, 360.0, 304.0)"
16-12-2022 15:27:37.776129,"(8.0, 11.0, 10.592592592592593)","(1.8, 1.99, 1.980877192982456)","(11.0, 14.0, 13.673913043478262)","(4.6, 5.7, 5.5875)","(26.0, 38.0, 37.77777777777778)","(8.5, 9.6, 9.52)","(41.0, 60.0, 56.630434782608695)","(101.0, 360.0, 304.0)"
16-12-2022 15:27:38.956976,"(8.0, 10.5, 10.392857142857142)","(1.8, 2.0, 1.9801194267515922)","(11.0, 14.0, 13.69047619047619)","(4.6, 5.7, 5.5875)","(26.0, 38.0, 37.833333333333336)","(8.5, 9.6, 9.476190476190476)","(41.0, 60.0, 57.11538461538461)","(101.0, 340.0, 300.0)"
16-12-2022 15:27:39.981171,"(8.0, 10.5, 10.403061224489797)","(1.8, 2.0, 1.9802631578947367)","(11.0, 14.0, 13.759615384615385)","(4.6, 5.6, 5.5588235294117645)","(26.0, 40.0, 37.53846153846154)","(8.5, 9.8, 9.478048780487805)","(41.0, 60.0, 57.11538461538461)","(101.0, 340.0, 300.0)"
16-12-2022 15:27:41.074435,"(8.0, 10.5, 10.403061224489797)","(1.8, 2.0, 1.980085903943772)","(11.0, 14.0, 13.759615384615385)","(4.6, 5.6, 5.5588235294117645)","(26.0, 38.0, 37.38461538461539)","(8.5, 9.8, 9.510344827586207)","(41.0, 60.0, 56.92982456140351)","(101.0, 340.0, 300.0)"
16-12-2022 15:27:42.225912,"(8.0, 10.5, 10.438144329896907)","(1.8, 1.99, 1.9846964856230032)","(11.0, 14.5, 13.75)","(4.6, 5.7, 5.612903225806451)","(26.0, 38.0, 37.25)","(8.5, 9.6, 9.505263157894737)","(41.0, 60.0, 57.03703703703704)","(101.0, 340.0, 302.5)"
16-12-2022 15:27:43.294890,"(8.0, 10.5, 10.438144329896907)","(1.8, 1.99, 1.9867790262172285)","(11.0, 14.5, 13.763157894736842)","(4.6, 5.7, 5.615094339622641)","(26.0, 38.0, 37.25)","(8.5, 9.6, 9.432258064516128)","(41.0, 60.0, 57.03703703703704)","(101.0, 370.0, 298.0)"
16-12-2022 15:27:44.333770,"(8.0, 10.5, 10.438144329896907)","(1.8, 2.0, 1.9812683284457477)","(11.0, 14.5, 13.763157894736842)","(4.6, 5.7, 5.615094339622641)","(26.0, 38.0, 37.25)","(8.5, 9.6, 9.316666666666666)","(41.0, 60.0, 57.03703703703704)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:45.378087,"(8.0, 10.5, 10.438144329896907)","(1.8, 2.0, 1.9812063258550938)","(11.0, 14.5, 13.761194029850746)","(4.6, 5.7, 5.614545454545454)","(26.0, 38.0, 37.25)","(8.5, 9.6, 9.352727272727272)","(41.0, 60.0, 57.03703703703704)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:46.504681,"(8.0, 10.5, 10.438144329896907)","(1.8, 2.0, 1.9811855670103093)","(11.0, 14.0, 13.796610169491526)","(4.6, 5.7, 5.604081632653061)","(26.0, 38.0, 37.25)","(8.5, 9.6, 9.35929203539823)","(41.0, 60.0, 57.03703703703704)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:47.649162,"(8.0, 10.5, 10.442857142857143)","(1.8, 2.0, 1.9811855670103093)","(11.0, 14.0, 13.796610169491526)","(4.6, 5.7, 5.604081632653061)","(26.0, 38.0, 37.25)","(8.5, 9.6, 9.442105263157895)","(41.0, 60.0, 57.03703703703704)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:48.761721,"(8.0, 10.5, 10.442857142857143)","(1.8, 2.0, 1.981171702284451)","(11.0, 14.0, 13.796610169491526)","(4.6, 5.7, 5.604081632653061)","(26.0, 38.0, 37.25)","(8.5, 9.6, 9.43265306122449)","(41.0, 60.0, 57.03703703703704)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:49.845040,"(8.0, 10.5, 10.442857142857143)","(1.8, 2.0, 1.9910350877192982)","(11.0, 14.0, 13.796610169491526)","(4.6, 5.7, 5.604081632653061)","(26.0, 38.0, 36.76923076923077)","(8.5, 9.6, 9.368253968253967)","(41.0, 60.0, 57.03703703703704)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:50.924935,"(8.0, 10.5, 10.442857142857143)","(1.8, 2.0, 1.990448598130841)","(11.0, 14.0, 13.796610169491526)","(4.6, 5.7, 5.603092783505155)","(26.0, 38.0, 36.476190476190474)","(8.5, 9.6, 9.360655737704917)","(41.0, 60.0, 57.03703703703704)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:52.063489,"(8.0, 10.5, 10.442857142857143)","(1.8, 2.0, 1.9902592451391536)","(11.0, 14.0, 13.98611111111111)","(4.6, 5.7, 5.59433962264151)","(26.0, 38.0, 36.4)","(8.5, 9.6, 9.5)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:53.255275,"(8.0, 10.5, 10.447115384615385)","(1.8, 2.0, 1.9902662490211434)","(11.0, 14.0, 13.988372093023255)","(4.6, 5.7, 5.59433962264151)","(26.0, 38.0, 36.4)","(8.5, 9.6, 9.521428571428572)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:54.430044,"(8.0, 10.5, 10.44811320754717)","(1.8, 2.0, 1.9812801204819277)","(11.0, 14.0, 13.988372093023255)","(4.6, 5.6, 5.573770491803279)","(26.0, 38.0, 36.4)","(8.5, 9.6, 9.521428571428572)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 307.5)"
16-12-2022 15:27:55.500782,"(8.0, 10.5, 10.489247311827958)","(1.8, 1.99, 1.9852131147540983)","(11.0, 14.0, 13.988636363636363)","(4.6, 5.7, 5.592063492063492)","(26.0, 38.0, 36.72)","(8.5, 9.6, 8.995321637426901)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 307.5)"
16-12-2022 15:27:56.578897,"(8.0, 11.0, 10.640449438202246)","(1.8, 1.99, 1.9894642857142857)","(11.0, 14.5, 13.818518518518518)","(4.6, 5.7, 5.609333333333333)","(26.0, 38.0, 36.72)","(8.5, 9.0, 9.164444444444445)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 316.25)"
16-12-2022 15:27:57.787737,"(8.0, 11.0, 10.619565217391305)","(1.8, 2.0, 1.990586898901931)","(11.0, 14.0, 13.905405405405405)","(4.6, 5.7, 5.582962962962963)","(26.0, 38.0, 36.89655172413793)","(8.5, 9.4, 9.084507042253522)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 298.75)"
16-12-2022 15:27:58.973260,"(8.0, 11.0, 10.614583333333334)","(1.8, 2.0, 1.9905475285171104)","(11.0, 14.0, 13.865853658536585)","(4.6, 5.7, 5.581751824817518)","(26.0, 38.0, 36.89655172413793)","(8.5, 9.4, 9.048780487804878)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 307.5)"
16-12-2022 15:28:00.072467,"(8.0, 11.0, 10.626436781609195)","(1.8, 2.0, 1.9831829849651632)","(11.0, 14.0, 13.905405405405405)","(4.6, 5.7, 5.588888888888889)","(26.0, 38.0, 36.89655172413793)","(8.5, 9.4, 9.048780487804878)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 339.0)"
16-12-2022 15:28:01.090325,"(8.0, 11.0, 10.626436781609195)","(1.8, 2.0, 1.9820297805642633)","(11.0, 14.0, 13.905405405405405)","(4.6, 5.7, 5.589763779527559)","(26.0, 38.0, 36.89655172413793)","(8.5, 9.2, 9.141666666666666)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 339.0)"
16-12-2022 15:28:02.202558,"(8.0, 11.0, 10.554794520547945)","(1.8, 2.0, 1.990678861788618)","(11.0, 14.0, 13.741935483870968)","(4.6, 5.7, 5.590625)","(26.0, 38.0, 36.89655172413793)","(8.5, 9.2, 9.018666666666666)","(41.0, 60.0, 57.244897959183675)","(101.0, 360.0, 324.0)"
16-12-2022 15:28:03.361640,"(8.0, 10.5, 10.342948717948717)","(1.8, 2.0, 1.9913241575700047)","(11.0, 14.0, 13.806122448979592)","(4.6, 5.7, 5.6502673796791445)","(26.0, 38.0, 37.083333333333336)","(8.5, 9.2, 8.906024096385542)","(41.0, 60.0, 57.391304347826086)","(101.0, 360.0, 330.0)"
16-12-2022 15:28:04.482758,"(8.0, 10.5, 10.38345864661654)","(1.8, 2.0, 1.9917353787152445)","(11.0, 14.0, 13.806122448979592)","(4.6, 5.8, 5.659119496855346)","(26.0, 38.0, 37.04)","(8.5, 9.2, 8.937724550898203)","(41.0, 60.0, 57.391304347826086)","(101.0, 360.0, 330.0)"
16-12-2022 15:28:05.501581,"(8.0, 10.5, 10.44055944055944)","(1.8, 2.0, 1.9917353787152445)","(11.0, 14.0, 13.659574468085106)","(4.6, 5.8, 5.688)","(26.0, 38.0, 37.04)","(8.5, 9.0, 8.920265780730897)","(41.0, 60.0, 57.391304347826086)","(101.0, 360.0, 330.0)"
16-12-2022 15:28:06.554176,"(8.0, 10.5, 10.448170731707316)","(1.8, 2.0, 1.9917353787152445)","(11.0, 14.0, 13.659574468085106)","(4.6, 5.8, 5.688)","(26.0, 38.0, 37.04)","(8.5, 9.0, 8.920265780730897)","(41.0, 60.0, 57.391304347826086)","(101.0, 360.0, 330.0)"
16-12-2022 15:28:07.769633,"(8.0, 10.5, 10.443708609271523)","(1.8, 2.0, 1.9917353787152445)","(11.0, 14.0, 13.69811320754717)","(4.6, 5.8, 5.7035294117647055)","(26.0, 38.0, 37.07692307692308)","(8.5, 9.0, 8.7672131147541)","(41.0, 60.0, 57.4468085106383)","(101.0, 360.0, 337.5)"
16-12-2022 15:28:09.024204,"(8.0, 10.5, 10.46078431372549)","(1.8, 2.0, 1.9918564005668398)","(11.0, 14.0, 13.780821917808218)","(4.6, 5.8, 5.736690647482014)","(26.0, 38.0, 37.07692307692308)","(8.5, 8.8, 8.7672131147541)","(41.0, 60.0, 57.4468085106383)","(101.0, 360.0, 322.5)"
16-12-2022 15:28:10.095336,"(8.0, 11.0, 10.629807692307692)","(1.8, 2.0, 1.9908216529724505)","(11.0, 14.0, 13.813953488372093)","(4.6, 5.8, 5.7368421052631575)","(26.0, 38.0, 37.17948717948718)","(8.5, 9.0, 8.8)","(41.0, 60.0, 57.6)","(101.0, 360.0, 322.5)"
16-12-2022 15:28:11.153662,"(8.0, 11.0, 10.629807692307692)","(1.8, 2.0, 1.9907076167076168)","(11.0, 14.0, 13.833333333333334)","(4.6, 5.8, 5.7368421052631575)","(26.0, 38.0, 37.17948717948718)","(8.5, 9.0, 8.785892116182572)","(41.0, 60.0, 57.6)","(101.0, 360.0, 322.5)"
16-12-2022 15:28:12.265967,"(8.0, 11.0, 10.598901098901099)","(1.8, 2.0, 1.9909130225852956)","(11.0, 14.0, 13.833333333333334)","(4.6, 5.8, 5.745454545454545)","(26.0, 38.0, 37.17948717948718)","(8.0, 8.8, 8.685589519650655)","(41.0, 60.0, 57.6)","(101.0, 360.0, 322.5)"
16-12-2022 15:28:13.457289,"(8.0, 11.0, 10.598901098901099)","(1.8, 2.0, 1.9909130225852956)","(11.0, 14.0, 13.833333333333334)","(4.6, 5.8, 5.745454545454545)","(26.0, 38.0, 37.17948717948718)","(8.0, 8.8, 8.701041666666667)","(41.0, 60.0, 57.6)","(101.0, 360.0, 335.0)"
16-12-2022 15:28:14.639908,"(8.0, 11.0, 10.547058823529412)","(1.8, 2.0, 1.9909130225852956)","(11.0, 14.0, 13.833333333333334)","(4.6, 5.8, 5.745454545454545)","(26.0, 38.0, 37.31428571428572)","(8.0, 8.8, 8.702564102564104)","(41.0, 60.0, 57.95454545454545)","(101.0, 360.0, 327.14285714285717)"
16-12-2022 15:28:15.757449,"(8.0, 11.0, 10.547058823529412)","(1.8, 2.0, 1.9836065573770492)","(11.0, 14.0, 13.833333333333334)","(4.6, 5.8, 5.749700598802395)","(26.0, 38.0, 37.31428571428572)","(8.0, 8.8, 8.702564102564104)","(41.0, 60.0, 57.95454545454545)","(101.0, 370.0, 322.5)"
16-12-2022 15:28:16.889083,"(8.0, 11.0, 10.633333333333333)","(1.8, 2.0, 1.9820010587612493)","(11.0, 14.0, 13.833333333333334)","(4.6, 5.8, 5.753846153846154)","(26.0, 38.0, 37.31428571428572)","(8.0, 8.8, 8.832307692307692)","(41.0, 60.0, 58.1578947368421)","(101.0, 360.0, 353.3333333333333)"
16-12-2022 15:28:17.986618,"(8.0, 11.0, 10.65566037735849)","(1.8, 1.99, 1.983945720250522)","(11.0, 14.0, 13.813953488372093)","(4.8, 5.8, 5.762331838565022)","(26.0, 38.0, 37.58620689655172)","(7.5, 9.0, 8.879738562091504)","(41.0, 60.0, 58.1578947368421)","(101.0, 370.0, 352.5)"
16-12-2022 15:28:19.161043,"(8.0, 11.0, 10.65566037735849)","(1.8, 1.99, 1.9836416184971097)","(11.0, 14.0, 13.813953488372093)","(4.8, 5.8, 5.8163179916317995)","(26.0, 38.0, 37.642857142857146)","(7.5, 9.0, 8.751162790697675)","(41.0, 60.0, 58.1578947368421)","(101.0, 360.0, 352.5)"
16-12-2022 15:28:20.310002,"(8.0, 11.0, 10.76923076923077)","(1.8, 1.98, 1.9762083333333333)","(11.0, 14.0, 13.813953488372093)","(4.8, 5.9, 5.840645161290323)","(26.0, 38.0, 37.333333333333336)","(7.5, 8.8, 8.845833333333333)","(41.0, 60.0, 58.1578947368421)","(101.0, 360.0, 352.5)"
16-12-2022 15:28:21.406035,"(8.0, 11.0, 10.87603305785124)","(1.8, 1.97, 1.9615740740740741)","(11.0, 14.0, 13.813953488372093)","(4.8, 5.9, 5.840645161290323)","(26.0, 38.0, 37.8)","(7.5, 9.0, 8.93061224489796)","(41.0, 60.0, 58.714285714285715)","(101.0, 360.0, 353.3333333333333)"
