,Water Into Wine,Fire Glo Too,Young Hostess,Thats Incranibull,Max Mercury,Hard Squeeze,Maid Of Iron,Dodgy One,Peppino
11-01-2023 16:14:39.331445,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.5, 5.408695652173913)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.6451361867704275)","(3.3, 3.8, 3.749481865284974)","(7.0, 8.0, 7.9978891820580476)","(14.0, 16.5, 16.307692307692307)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:40.630099,"(21.0, 32.0, 28.11111111111111)","(4.6, 5.5, 5.408695652173913)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.8, 4.696666666666667)","(3.3, 3.8, 3.749481865284974)","(7.0, 8.0, 7.9978891820580476)","(14.0, 16.5, 16.36111111111111)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:41.962350,"(21.0, 32.0, 27.88235294117647)","(4.6, 5.5, 5.408695652173913)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696666666666667)","(3.3, 3.8, 3.7459134615384615)","(7.0, 8.0, 7.9978891820580476)","(14.0, 16.5, 15.904761904761905)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:43.248001,"(21.0, 32.0, 27.88235294117647)","(4.6, 5.5, 5.426315789473684)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696666666666667)","(3.3, 3.75, 3.7459134615384615)","(7.0, 8.0, 7.9978891820580476)","(14.0, 16.0, 15.916666666666666)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:44.410897,"(21.0, 32.0, 27.88235294117647)","(4.6, 5.5, 5.426315789473684)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696666666666667)","(3.3, 3.75, 3.749739583333333)","(7.0, 8.0, 7.9978891820580476)","(14.0, 16.0, 16.26923076923077)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:45.572242,"(21.0, 32.0, 27.88235294117647)","(4.6, 5.5, 5.433333333333334)","(10.0, 15.5, 14.796875)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696666666666667)","(3.3, 3.75, 3.749481865284974)","(7.0, 8.0, 7.99893899204244)","(14.0, 16.5, 16.214285714285715)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:46.778393,"(21.0, 32.0, 27.88235294117647)","(4.6, 5.5, 5.4475)","(10.0, 15.5, 14.75)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.690625)","(3.3, 3.8, 3.749481865284974)","(7.0, 8.0, 8.013513513513514)","(14.0, 16.5, 16.214285714285715)","(51.0, 100.0, 90.0)"
11-01-2023 16:14:47.987717,"(21.0, 32.0, 28.956521739130434)","(4.6, 5.5, 5.4475)","(10.0, 15.5, 14.75)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.67945205479452)","(3.3, 3.8, 3.7522571819425443)","(7.0, 8.2, 8.012820512820513)","(14.0, 16.5, 16.26)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:49.192620,"(21.0, 32.0, 28.956521739130434)","(4.6, 5.5, 5.4475)","(10.0, 15.5, 14.75)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.67945205479452)","(3.3, 3.8, 3.7522571819425443)","(7.0, 8.2, 8.012820512820513)","(14.0, 16.5, 16.26)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:50.327562,"(21.0, 32.0, 28.956521739130434)","(4.6, 5.5, 5.458823529411765)","(10.0, 15.5, 14.75)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.67945205479452)","(3.3, 3.8, 3.750914205344585)","(7.0, 8.2, 8.013513513513514)","(14.0, 16.5, 16.26)","(51.0, 100.0, 85.0)"
11-01-2023 16:14:51.434485,"(21.0, 32.0, 28.956521739130434)","(4.6, 5.5, 5.4625)","(10.0, 15.5, 14.75)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682857142857143)","(3.3, 3.8, 3.755141388174807)","(7.0, 8.2, 8.013513513513514)","(14.0, 16.5, 16.26)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:14:52.571559,"(21.0, 30.0, 29.5)","(4.6, 5.5, 5.4625)","(10.0, 15.0, 14.791666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682857142857143)","(3.3, 3.8, 3.755141388174807)","(7.0, 8.2, 8.013513513513514)","(14.0, 16.5, 16.26)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:14:53.862560,"(21.0, 30.0, 29.5)","(4.6, 5.5, 5.4625)","(10.0, 15.0, 14.791666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.67945205479452)","(3.3, 3.8, 3.755141388174807)","(7.0, 8.2, 8.012820512820513)","(14.0, 16.5, 16.26)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:14:55.118884,"(21.0, 30.0, 29.5)","(4.6, 5.5, 5.4625)","(10.0, 15.0, 14.791666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.67945205479452)","(3.3, 3.8, 3.755089058524173)","(7.0, 8.2, 8.012820512820513)","(14.0, 16.5, 16.26)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:14:56.352334,"(21.0, 32.0, 28.31578947368421)","(4.6, 5.4, 5.3428571428571425)","(10.0, 15.0, 14.791666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682857142857143)","(3.3, 3.8, 3.755089058524173)","(7.0, 8.2, 8.013513513513514)","(14.0, 16.5, 16.26)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:14:57.464540,"(21.0, 32.0, 28.31578947368421)","(4.6, 5.4, 5.3428571428571425)","(10.0, 15.0, 14.791666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682857142857143)","(3.3, 3.8, 3.755089058524173)","(7.0, 8.2, 8.013513513513514)","(14.0, 16.5, 16.26)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:14:58.626523,"(21.0, 32.0, 28.31578947368421)","(4.6, 5.4, 5.3428571428571425)","(10.0, 15.0, 14.871428571428572)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.682857142857143)","(3.3, 3.8, 3.755089058524173)","(7.0, 8.2, 8.013513513513514)","(14.0, 16.5, 16.451219512195124)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:14:59.796022,"(21.0, 32.0, 28.31578947368421)","(4.6, 5.4, 5.3428571428571425)","(10.0, 15.0, 14.742857142857144)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696666666666667)","(3.3, 3.8, 3.7522972972972974)","(7.0, 8.2, 8.143249427917619)","(14.0, 16.5, 15.933333333333334)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:15:01.010353,"(21.0, 32.0, 28.31578947368421)","(4.6, 5.5, 5.35)","(10.0, 15.0, 14.742857142857144)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696666666666667)","(3.3, 3.8, 3.7526153846153845)","(7.0, 8.2, 8.129310344827585)","(14.0, 16.0, 15.944444444444445)","(51.0, 100.0, 91.66666666666666)"
11-01-2023 16:15:02.245067,"(21.0, 32.0, 28.842105263157894)","(4.6, 5.4, 5.3352941176470585)","(10.0, 15.0, 14.80327868852459)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.697222222222222)","(3.3, 3.8, 3.7526153846153845)","(7.0, 8.2, 8.087218045112781)","(14.0, 16.0, 16.43103448275862)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:03.412674,"(21.0, 32.0, 28.842105263157894)","(4.6, 5.4, 5.3352941176470585)","(10.0, 15.0, 14.80327868852459)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.697222222222222)","(3.3, 3.8, 3.7526153846153845)","(7.0, 8.2, 8.087218045112781)","(14.0, 16.5, 15.948275862068966)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:04.580060,"(21.0, 32.0, 28.76923076923077)","(4.6, 5.4, 5.3352941176470585)","(10.0, 15.0, 14.80327868852459)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.697222222222222)","(3.3, 3.8, 3.7526153846153845)","(7.0, 8.2, 8.087218045112781)","(14.0, 16.0, 15.948275862068966)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:05.799133,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.4, 5.3164556962025316)","(10.0, 15.0, 14.666666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.697222222222222)","(3.3, 3.8, 3.7526153846153845)","(7.0, 8.2, 8.081918819188191)","(14.0, 16.0, 15.772727272727273)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:07.058472,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.4, 5.29367088607595)","(10.0, 15.0, 14.666666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.697368421052632)","(3.3, 3.8, 3.7526153846153845)","(7.0, 8.2, 8.081918819188191)","(14.0, 16.0, 15.772727272727273)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:08.305913,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.4, 5.29367088607595)","(10.0, 15.0, 14.666666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.697368421052632)","(3.3, 3.8, 3.7520581113801454)","(7.0, 8.2, 8.081918819188191)","(14.0, 16.0, 15.772727272727273)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:09.559109,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.4, 5.281481481481482)","(10.0, 15.0, 14.666666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.697368421052632)","(3.3, 3.8, 3.7520581113801454)","(7.0, 8.2, 8.081918819188191)","(14.0, 16.0, 15.732142857142858)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:10.679832,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.3, 5.281481481481482)","(10.0, 15.0, 14.666666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696428571428571)","(3.3, 3.8, 3.7520581113801454)","(7.0, 8.2, 8.055721393034826)","(14.0, 16.0, 15.732142857142858)","(51.0, 100.0, 88.75)"
11-01-2023 16:15:11.872665,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.3, 5.281481481481482)","(10.0, 15.0, 14.666666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696428571428571)","(3.3, 3.8, 3.7520581113801454)","(7.0, 8.2, 8.087111111111112)","(14.0, 16.0, 15.613636363636363)","(51.0, 100.0, 98.0)"
11-01-2023 16:15:12.942830,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.3, 5.281481481481482)","(10.0, 15.0, 14.666666666666666)","(31.0, 42.0, 40.0)","(4.0, 4.7, 4.696428571428571)","(3.3, 3.8, 3.7520581113801454)","(7.0, 8.2, 8.087111111111112)","(14.0, 16.0, 15.930232558139535)","(51.0, 150.0, 94.16666666666667)"
11-01-2023 16:15:14.074903,"(21.0, 32.0, 28.666666666666668)","(4.6, 5.3, 5.281481481481482)","(10.0, 15.0, 14.777777777777779)","(31.0, 42.0, 40.13333333333333)","(4.0, 4.7, 4.696428571428571)","(3.3, 3.8, 3.7520581113801454)","(7.0, 8.2, 8.084545454545454)","(14.0, 16.0, 15.470070422535212)","(51.0, 140.0, 94.16666666666667)"
11-01-2023 16:15:15.247436,"(21.0, 32.0, 29.22222222222222)","(4.6, 5.4, 5.26875)","(10.0, 15.0, 14.777777777777779)","(31.0, 42.0, 40.13333333333333)","(4.0, 4.7, 4.696428571428571)","(3.3, 3.8, 3.7519417475728156)","(7.0, 8.2, 8.084545454545454)","(14.0, 15.5, 15.469534050179211)","(51.0, 140.0, 94.16666666666667)"
11-01-2023 16:15:16.395338,"(21.0, 32.0, 30.0)","(4.6, 5.4, 5.26875)","(10.0, 15.0, 14.777777777777779)","(31.0, 42.0, 40.13333333333333)","(4.0, 4.7, 4.696428571428571)","(3.3, 3.8, 3.7519417475728156)","(7.0, 8.2, 8.084545454545454)","(14.0, 15.5, 15.471223021582734)","(51.0, 140.0, 100.0)"
11-01-2023 16:15:17.556917,"(21.0, 32.0, 29.647058823529413)","(4.6, 5.4, 5.264705882352941)","(10.0, 15.0, 14.777777777777779)","(31.0, 42.0, 40.6)","(4.0, 4.7, 4.715677966101695)","(3.3, 3.8, 3.7519417475728156)","(7.0, 8.2, 8.084545454545454)","(14.0, 15.5, 15.945848375451263)","(51.0, 130.0, 100.0)"
11-01-2023 16:15:18.760559,"(21.0, 32.0, 29.647058823529413)","(4.6, 5.3, 5.264705882352941)","(10.0, 15.0, 14.777777777777779)","(31.0, 42.0, 40.6)","(4.0, 4.8, 4.6426877470355725)","(3.3, 3.8, 3.7647686832740215)","(7.0, 8.2, 8.084545454545454)","(14.0, 16.0, 15.945848375451263)","(51.0, 130.0, 96.66666666666667)"
