,Rock Around,Tabra,Lady Pebbles,Cash Em In Shannon,Marni White,Shannons Shadow,Our Roys Dream,My Kinda Justus,Sir Macador Nz,Montana Nights
10-01-2023 16:54:13.415721,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:14.778518,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:16.090657,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:17.375060,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:18.691863,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:20.000367,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:21.313227,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:22.542105,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:23.775123,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:24.974137,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:26.276336,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:27.618532,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.6978947368421053)","(10.0, 28.0, 18.153846153846153)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:28.930568,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.82, 2.205)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:30.265479,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.76, 2.013333333333333)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:31.635459,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.74, 2.013333333333333)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:33.002517,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.74, 2.013333333333333)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:34.352319,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.74, 2.013333333333333)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.6, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:35.640650,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.74, 2.185)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:36.995508,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.72, 2.0)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:38.292451,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.7, 2.0)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:39.732845,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.7, 2.0)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:40.943797,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.7, 2.165)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:42.157727,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.68, 1.9866666666666666)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:43.332117,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.66, 1.9866666666666666)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:44.751632,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.66, 2.145)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:46.092441,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.64, 2.145)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:47.481280,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.64, 2.125)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:49.283600,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.6, 2.033333333333333)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:50.788425,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.8, 1.8383333333333332)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:52.613921,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.78, 2.205)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:54.196235,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.76, 2.013333333333333)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:55.826660,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.74, 2.185)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:57.364330,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.72, 2.165)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:54:58.856667,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.68, 2.165)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:00.186195,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.68, 1.9866666666666666)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:01.500100,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.66, 1.661774193548387)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:02.709844,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.38, 1.661774193548387)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:04.007842,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.38, 1.661774193548387)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:05.259607,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.34, 1.9949999999999999)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:06.825773,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.34, 1.9749999999999999)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:08.106308,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.3, 1.9749999999999999)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:09.375476,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.3, 1.9749999999999999)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:10.611468,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.28, 1.8599999999999999)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:11.850062,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 79.16666666666667)","(1.65, 2.38, 1.661774193548387)","(10.0, 28.0, 19.272727272727273)","(17.0, 55.0, 33.18181818181818)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:13.245786,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 125.0)","(1.65, 2.36, 1.8866666666666665)","(10.0, 28.0, 16.0)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:14.574976,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 125.0)","(1.65, 2.36, 2.0)","(10.0, 28.0, 18.1)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:15.915927,"(21.0, 70.0, 60.5)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 1.8866666666666665)","(10.0, 28.0, 18.1)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:17.323762,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 1.8866666666666665)","(10.0, 28.0, 18.1)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:18.637924,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 1.8866666666666665)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:19.830217,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.230909090909091)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 185.0)"
10-01-2023 16:55:21.052047,"(21.0, 70.0, 55.6)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.230909090909091)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
10-01-2023 16:55:22.327986,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.230909090909091)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
10-01-2023 16:55:23.510532,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.230909090909091)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
10-01-2023 16:55:24.684300,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.230909090909091)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
10-01-2023 16:55:25.802364,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.230909090909091)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
10-01-2023 16:55:26.903527,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.202222222222222)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.6)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
10-01-2023 16:55:28.164046,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.36, 2.089090909090909)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.2, 5.9)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
10-01-2023 16:55:29.318997,"(21.0, 70.0, 56.66666666666667)","(11.0, 22.0, 17.04)","(51.0, 200.0, 118.18181818181819)","(1.65, 2.34, 2.171111111111111)","(10.0, 28.0, 13.857142857142858)","(17.0, 55.0, 20.714285714285715)","(17.0, 50.0, 36.0)","(4.8, 7.0, 5.9)","(8.5, 99999, 99990)","(71.0, 230.0, 158.0)"
