,Sozins Queen,Sir Clive,Champagne,Rowdys Monster,Daves Deal,Taieri Taylee,Homebush Cricket,Free For All
05-01-2023 14:36:11.427301,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:12.577474,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:13.798513,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:15.108803,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:16.248061,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:17.426245,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:18.621914,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:19.760729,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:20.901692,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:22.077490,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:23.282465,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:24.496809,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:25.751825,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:27.055058,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:28.347355,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:29.764796,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:30.994995,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:32.278784,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:33.548121,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:34.816199,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:35.986572,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:37.225412,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:38.457311,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:39.600934,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.491935483870968)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:40.853670,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 6.5625)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:42.124837,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:43.359972,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:44.630630,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:45.907528,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:47.017859,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:48.118876,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:49.135612,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:50.338989,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:51.477327,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:52.604905,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:53.763381,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:54.891005,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:56.044530,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:57.152666,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:58.315693,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.276923076923077)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:36:59.439007,"(7.5, 16.0, 14.714285714285715)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.6, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:00.619894,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:01.762673,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:02.849369,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:03.964799,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:05.118818,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:06.220530,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:07.281960,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.0, 5.708333333333334)","(3.9, 6.6, 5.6)","(6.0, 9.4, 8.621052631578948)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:08.382299,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:09.476233,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:10.556305,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:11.580724,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:13.038971,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:14.304912,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:15.839512,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:17.234507,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:18.738505,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:20.178931,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:21.468859,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:22.640955,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:23.687435,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:24.754830,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:25.839705,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:26.870571,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
05-01-2023 14:37:27.858338,"(7.5, 16.5, 15.142857142857142)","(21.0, 220.0, 114.11764705882354)","(4.0, 7.6, 6.058333333333334)","(3.9, 7.2, 6.141176470588235)","(6.0, 9.8, 8.936842105263159)","(4.6, 8.4, 7.138461538461539)","(5.0, 13.0, 11.266666666666666)","(21.0, 220.0, 108.88888888888889)"
