,Doolittle Days,As She Says,Shesherz,Major Paint,Hurricane Dream,Bokhari,Downtown Manhattan,Village Smirker
07-12-2022 20:14:10.499499,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:11.918898,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:13.285234,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:14.750868,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:16.064355,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:17.378905,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:18.589910,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:19.803989,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:21.013425,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:22.233804,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:23.464736,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:24.708717,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:25.910922,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:27.132078,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:28.392613,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.046666666666667)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:29.681964,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.482222222222222)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 16.5)"
07-12-2022 20:14:30.948379,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.482222222222222)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:32.217556,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:33.449019,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:34.681317,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:36.021580,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:37.213977,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:38.398660,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:39.656716,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:40.877277,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:42.226695,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:43.424702,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:44.598319,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:45.731702,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:46.959905,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:48.183309,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:49.408803,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:50.735114,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:52.019245,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:53.213218,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:54.288785,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:55.409407,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:56.548224,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0275)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:57.862920,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0324999999999998)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:14:59.076978,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0324999999999998)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:00.288860,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0324999999999998)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:01.496729,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0324999999999998)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:02.674482,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0324999999999998)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:03.895393,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:05.034293,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:06.169492,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:07.364896,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:08.542871,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:09.818873,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:11.075345,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:12.393368,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:13.659587,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.46)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.142857142857142)","(2.25, 3.25, 3.0375)","(6.0, 9.6, 8.733333333333333)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:14.935494,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.7, 3.0812500000000003)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.25, 2.6666666666666665)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:16.253003,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.65, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.2, 2.6666666666666665)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:17.448393,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.2, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:18.600739,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:19.727504,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:20.937272,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:22.207819,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:23.422504,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:24.766143,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:26.074073,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:27.396051,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:28.976441,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:30.396334,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:31.629835,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:32.759669,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:34.071921,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:35.324764,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:36.615507,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
07-12-2022 20:15:37.934526,"(8.0, 11.5, 10.67142857142857)","(2.7, 3.6, 3.209090909090909)","(61.0, 170.0, 100.0)","(12.0, 20.0, 18.6)","(2.25, 3.15, 2.9625)","(6.0, 9.6, 7.65)","(81.0, 320.0, 205.0)","(11.0, 18.5, 14.166666666666666)"
