,Miss Corey,Codas Honor,Practically There,Shes All Courage,Castle Of Caylee,Divine Fashion,Unexpectedly,Christines Cosmo
08-01-2023 09:19:11.438276,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:12.309516,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:13.184397,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:14.060690,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:14.941345,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:15.842977,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:16.724556,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:17.591831,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:18.476636,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:19.392220,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:20.274924,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:21.159927,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:22.047982,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:22.926314,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:23.824648,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:24.701756,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:25.577613,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:26.459136,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:27.327819,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:28.203542,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:29.092296,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:29.958399,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:30.860016,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:31.749861,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:32.636903,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:33.525047,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:34.419705,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:35.297036,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:36.174682,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:37.073010,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:37.957468,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:38.845797,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:39.732722,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:40.613216,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:41.501620,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:42.404978,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:43.290338,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:44.175319,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:45.053399,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:45.940902,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:46.844931,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:47.741414,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:48.609676,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:49.480679,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:50.383525,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:51.248715,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:52.139501,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:53.009654,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:53.899952,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:54.774122,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:55.674705,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:56.558038,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:57.440652,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:58.324639,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:19:59.222968,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:00.107608,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:01.007647,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:01.890310,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:02.774703,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:03.658037,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:04.577306,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:05.458661,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:06.340912,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:07.240901,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:08.124616,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:09.014669,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:09.906535,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:10.792925,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:11.658484,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:12.541964,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:13.445985,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:14.345915,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:15.219217,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:16.108627,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
08-01-2023 09:20:16.990630,"(5.0, 230.0, 172.7875)","(2.9, 99999, 99990)","(9.0, 230.0, 172.7875)","(8.0, 230.0, 172.7875)","(31.0, 230.0, 172.7875)","(2.7, 230.0, 172.7875)","(26.0, 230.0, 172.7875)","(17.0, 230.0, 172.7875)"
