,Eliminate,Ask An Angel,Dark City,Delago Dehero,Lucy Da Grey,Aurman Zou,The Crown Prince
07-01-2023 16:25:39.956045,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.9818181818181815)","(7.5, 13.5, 11.82857142857143)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:41.035502,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.857142857142857)","(7.5, 13.5, 11.82857142857143)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:41.994746,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.2, 4.857142857142857)","(7.5, 13.5, 11.16)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:42.951838,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:43.934385,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 16.5, 15.875)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:44.978850,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.794117647058824)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:46.072950,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.972972972972974)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:47.108348,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.972972972972974)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:48.072178,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.972972972972974)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:49.045170,"(1.8, 1.96, 1.9257142857142857)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.972972972972974)","(8.0, 11.5, 9.95)","(26.0, 55.0, 36.25)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:50.056290,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.972972972972974)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:51.113216,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:52.125471,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:53.136101,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:54.137361,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:55.090871,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:56.147586,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:57.204868,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:58.114442,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.95)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:25:59.067809,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 9.088888888888889)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:00.028499,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:01.064200,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:02.231133,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:03.161925,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:04.147365,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:05.288223,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.1, 4.7875)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:06.313805,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 4.949999999999999)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:07.364676,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:08.439863,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:09.408637,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:10.399185,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:11.433895,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:12.428245,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:13.455342,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:14.473245,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:15.428040,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:16.396894,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:17.362126,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:18.327742,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:19.397083,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:20.346808,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:21.367936,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:22.409897,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:23.416604,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:24.494444,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.236363636363636)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:25.613154,"(1.8, 1.95, 1.9166666666666665)","(3.4, 5.3, 5.18)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:26.573484,"(1.8, 1.95, 1.9166666666666665)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:27.604287,"(1.8, 1.95, 1.9166666666666665)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:28.663602,"(1.8, 1.95, 1.9166666666666665)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:29.667814,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:30.683007,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:31.614596,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:32.616610,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:33.580366,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:34.543964,"(1.8, 1.95, 1.9249999999999998)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:35.636665,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:36.664495,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:37.627826,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:38.604013,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:39.599997,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:40.684512,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.596153846153847)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:41.764031,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.596153846153847)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:42.771928,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.596153846153847)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:43.771161,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 14.916666666666666)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:44.795465,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.233333333333333)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:45.714006,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.228571428571429)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:46.736575,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.25)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:47.756307,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.25)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:48.766999,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.25)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:49.770781,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.25)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:50.734029,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.25)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:51.729610,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.25)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
07-01-2023 16:26:52.777191,"(1.8, 1.95, 1.915)","(3.4, 5.3, 5.25)","(7.5, 13.5, 10.157142857142857)","(13.0, 17.0, 15.161764705882353)","(8.0, 11.5, 10.053333333333333)","(26.0, 50.0, 35.0)","(26.0, 75.0, 66.27272727272727)"
