,Sheezasinga,I Am Fearless,Remember Mary,Expect A Hero,Klinsmann,Jacked Up,Mishani Mistress,Lively Lass,Taormina Rhythm
05-01-2023 14:12:46.920431,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 7.001739130434783)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:48.153440,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 7.001739130434783)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:49.358349,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 7.001739130434783)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:50.545952,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 7.053846153846154)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:51.725678,"(3.3, 4.8, 4.746666666666666)","(6.5, 7.2, 7.053846153846154)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:52.959368,"(3.3, 4.8, 4.757894736842105)","(6.5, 7.2, 7.0329411764705885)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:54.198234,"(3.3, 4.8, 4.757894736842105)","(6.5, 7.2, 7.0329411764705885)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:55.352680,"(3.3, 4.8, 4.757894736842105)","(6.5, 7.2, 7.064761904761905)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:56.476122,"(3.3, 4.8, 4.693421052631579)","(6.5, 8.0, 7.777777777777778)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.46)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:57.565144,"(3.3, 4.8, 4.693421052631579)","(6.5, 8.0, 7.777777777777778)","(13.0, 20.0, 17.03846153846154)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.3)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:58.662748,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.777777777777778)","(13.0, 20.0, 18.25)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.3)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:12:59.816960,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.4)","(13.0, 19.5, 17.75)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:01.203476,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.6000000000000005)","(13.0, 19.0, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.6)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:02.591500,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.6000000000000005)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.6)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:03.951244,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.314285714285714)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.6)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:05.344544,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.76)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.6)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:06.705786,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.76)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.6)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:08.100062,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.76)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:09.288861,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.769230769230769)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:10.471346,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.933944954128441)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:11.597055,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.933944954128441)","(13.0, 19.5, 18.0)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:12.808627,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.571428571428571)","(13.0, 19.0, 17.75)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:13.983191,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.761904761904762)","(13.0, 19.0, 17.75)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 15.2)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:15.206164,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.761904761904762)","(13.0, 19.0, 17.75)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 14.75)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:16.473036,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.761904761904762)","(13.0, 19.0, 17.75)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 14.75)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 106.25)"
05-01-2023 14:13:17.772323,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.761904761904762)","(13.0, 19.0, 16.9)","(7.0, 10.0, 9.368421052631579)","(10.0, 16.0, 14.5)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 97.5)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:19.099940,"(3.3, 4.7, 4.686)","(6.5, 7.6, 7.5675675675675675)","(13.0, 19.0, 16.9)","(7.0, 10.0, 9.555555555555555)","(10.0, 16.0, 15.222222222222221)","(3.1, 3.6, 3.285)","(7.0, 10.0, 9.68)","(51.0, 110.0, 97.5)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:20.258972,"(3.3, 4.7, 4.686)","(6.5, 7.6, 7.5675675675675675)","(13.0, 19.0, 16.9)","(7.0, 11.5, 10.923076923076923)","(10.0, 16.0, 14.25)","(3.1, 3.6, 3.31)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:21.401878,"(3.3, 4.7, 4.686)","(6.5, 7.6, 7.5675675675675675)","(13.0, 19.0, 16.9)","(7.0, 11.5, 10.785714285714286)","(10.0, 16.0, 14.25)","(3.1, 3.55, 3.31)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:22.594937,"(3.3, 4.7, 4.686)","(6.5, 7.6, 7.5675675675675675)","(13.0, 19.0, 17.0)","(7.0, 11.5, 10.785714285714286)","(10.0, 16.0, 14.2)","(3.1, 3.55, 3.31)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:23.849817,"(3.3, 4.7, 4.686)","(6.5, 8.0, 7.756756756756756)","(13.0, 18.5, 17.0)","(7.0, 11.5, 10.785714285714286)","(10.0, 16.0, 14.2)","(3.1, 3.55, 3.31)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:25.047014,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.756756756756756)","(13.0, 18.5, 17.0)","(7.0, 11.5, 10.785714285714286)","(10.0, 16.0, 14.2)","(3.1, 3.55, 3.31)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:26.394144,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.756756756756756)","(13.0, 18.5, 17.0)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 14.2)","(3.1, 3.55, 3.457894736842105)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:27.679688,"(3.3, 4.7, 4.686)","(6.5, 7.8, 7.756756756756756)","(13.0, 18.5, 17.0)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 14.2)","(3.1, 3.55, 3.457894736842105)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:28.971445,"(3.3, 5.2, 4.911764705882353)","(6.5, 7.8, 7.756756756756756)","(13.0, 18.5, 17.0)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 14.2)","(3.1, 3.55, 3.445)","(7.0, 10.0, 9.68)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:30.396669,"(3.3, 5.1, 4.85)","(6.5, 7.6, 7.5675675675675675)","(13.0, 18.5, 16.666666666666668)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 14.5)","(3.1, 3.55, 3.445)","(7.0, 10.0, 9.68)","(51.0, 110.0, 85.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:31.812552,"(3.3, 5.0, 4.866666666666666)","(6.5, 7.6, 7.574999999999999)","(13.0, 18.0, 16.666666666666668)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 13.75)","(3.1, 3.55, 3.445)","(7.0, 10.0, 9.6)","(51.0, 110.0, 97.14285714285714)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:33.163463,"(3.3, 5.0, 4.866666666666666)","(6.5, 7.6, 7.574999999999999)","(13.0, 18.0, 17.0)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 13.75)","(3.1, 3.55, 3.4130434782608696)","(7.0, 10.0, 9.6)","(51.0, 110.0, 97.14285714285714)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:34.567825,"(3.3, 5.0, 4.866666666666666)","(6.5, 7.6, 7.574999999999999)","(13.0, 18.0, 16.75)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 13.75)","(3.1, 3.55, 3.4130434782608696)","(7.0, 10.0, 9.48)","(51.0, 110.0, 97.14285714285714)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:35.843156,"(3.3, 5.0, 4.866666666666666)","(6.5, 7.6, 7.769230769230769)","(13.0, 17.5, 16.5)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 13.75)","(3.1, 3.55, 3.4130434782608696)","(7.0, 9.8, 9.48)","(51.0, 110.0, 97.14285714285714)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:37.116476,"(3.3, 5.0, 4.866666666666666)","(6.5, 7.8, 7.769230769230769)","(13.0, 17.5, 16.5)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 13.75)","(3.1, 3.55, 3.4130434782608696)","(7.0, 9.8, 9.48)","(51.0, 110.0, 97.14285714285714)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:38.319539,"(3.3, 5.0, 4.866666666666666)","(6.5, 7.8, 7.766666666666667)","(13.0, 17.0, 15.928571428571429)","(7.0, 11.5, 10.595238095238095)","(10.0, 16.0, 13.75)","(3.1, 3.55, 3.4130434782608696)","(7.0, 9.8, 9.48)","(51.0, 110.0, 94.28571428571428)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:39.565824,"(3.3, 5.0, 4.866666666666666)","(6.5, 7.8, 7.530769230769231)","(13.0, 17.5, 16.38888888888889)","(7.0, 11.5, 10.666666666666666)","(10.0, 16.0, 13.5)","(3.1, 3.55, 3.361111111111111)","(7.0, 9.8, 9.244444444444445)","(51.0, 110.0, 94.28571428571428)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:40.862243,"(3.3, 5.0, 4.699999999999999)","(6.5, 7.6, 7.3)","(13.0, 17.5, 17.0)","(7.0, 11.0, 10.733333333333333)","(10.0, 16.0, 14.0)","(3.1, 3.5, 3.375)","(7.0, 9.6, 9.257142857142858)","(51.0, 110.0, 85.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:42.032540,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.4, 7.2)","(13.0, 17.5, 17.0)","(7.0, 11.0, 10.733333333333333)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.257142857142858)","(51.0, 110.0, 85.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:43.261676,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.4, 7.266666666666667)","(13.0, 18.0, 17.0)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.257142857142858)","(51.0, 110.0, 85.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:44.622421,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.082758620689655)","(13.0, 18.0, 17.0)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.257142857142858)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:46.034411,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.8, 7.2620689655172415)","(13.0, 18.0, 17.0)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 90.0)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:47.314174,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.8, 7.2620689655172415)","(13.0, 18.0, 17.0)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.6)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:48.731370,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.8, 7.2620689655172415)","(13.0, 18.0, 17.0)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.6)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:50.084001,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.8, 7.15)","(13.0, 18.0, 17.6)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:51.697042,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.8, 7.15)","(13.0, 18.0, 17.6)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:53.100164,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.8, 7.15)","(13.0, 18.0, 17.6)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:54.441250,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.8, 7.3428571428571425)","(13.0, 18.0, 16.75)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.5, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:55.919519,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.266666666666667)","(13.0, 17.5, 16.75)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.0, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:57.346211,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.4, 7.163636363636363)","(13.0, 17.5, 16.75)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.0, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:13:58.730982,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.163636363636363)","(13.0, 17.5, 16.75)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.0, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:14:00.004312,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.257142857142857)","(13.0, 17.5, 17.666666666666668)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.0, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:14:01.229107,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.257142857142857)","(13.0, 18.0, 17.666666666666668)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.0, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 76.66666666666667)","(71.0, 170.0, 113.33333333333333)"
05-01-2023 14:14:02.492543,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.257142857142857)","(13.0, 18.0, 17.666666666666668)","(7.0, 11.0, 10.379310344827585)","(10.0, 15.0, 14.0)","(3.1, 3.45, 3.3666666666666667)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 85.0)","(71.0, 170.0, 127.5)"
05-01-2023 14:14:03.804894,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.333333333333333)","(13.0, 18.0, 17.666666666666668)","(7.0, 11.0, 10.526315789473685)","(10.0, 15.0, 14.0)","(3.1, 3.45, 3.3433333333333333)","(7.0, 9.6, 9.066666666666666)","(51.0, 110.0, 85.0)","(71.0, 170.0, 127.5)"
05-01-2023 14:14:05.133297,"(3.3, 5.0, 4.833333333333333)","(6.5, 7.6, 7.333333333333333)","(13.0, 18.0, 16.214285714285715)","(7.0, 11.0, 9.527272727272727)","(10.0, 15.0, 13.833333333333334)","(3.1, 3.45, 3.335714285714286)","(7.0, 9.6, 8.933333333333334)","(51.0, 110.0, 85.0)","(71.0, 170.0, 127.5)"
05-01-2023 14:14:06.460020,"(3.3, 5.2, 5.1045454545454545)","(6.5, 7.6, 7.333333333333333)","(13.0, 17.5, 16.214285714285715)","(7.0, 11.0, 9.285245901639344)","(10.0, 14.5, 14.456521739130435)","(3.1, 3.45, 3.335714285714286)","(7.0, 9.6, 9.415384615384616)","(51.0, 110.0, 99.0909090909091)","(71.0, 170.0, 146.66666666666666)"
05-01-2023 14:14:07.827821,"(3.3, 5.2, 5.1045454545454545)","(6.5, 7.4, 7.023255813953488)","(13.0, 17.5, 16.214285714285715)","(7.0, 10.5, 8.84)","(10.0, 14.5, 14.166666666666666)","(3.1, 3.45, 3.4000000000000004)","(7.0, 9.6, 9.333333333333332)","(51.0, 110.0, 100.0)","(71.0, 170.0, 146.66666666666666)"
05-01-2023 14:14:09.212701,"(3.3, 5.2, 5.083333333333333)","(6.5, 7.4, 7.023255813953488)","(13.0, 17.5, 16.75)","(7.0, 9.8, 8.84)","(10.0, 14.5, 14.333333333333334)","(3.1, 3.45, 3.325)","(7.0, 9.6, 9.333333333333332)","(51.0, 110.0, 100.0)","(71.0, 170.0, 146.66666666666666)"
05-01-2023 14:14:10.685697,"(3.3, 5.2, 5.083333333333333)","(6.5, 7.4, 7.023255813953488)","(13.0, 19.0, 17.875)","(7.0, 9.8, 8.84)","(10.0, 16.0, 14.333333333333334)","(3.1, 3.45, 3.325)","(7.0, 9.6, 9.333333333333332)","(51.0, 110.0, 100.0)","(71.0, 170.0, 146.66666666666666)"
