,Tiger By The Tail,Joelene,Cheer The Major Nz,Stars Of Gold,Beat The Bank,Fireplay
10,"[datetime.datetime(2022, 11, 28, 17, 47, 56, 234512), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 56, 234512), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 47, 56, 234512), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 56, 234512), 26.0, 42.0]","[datetime.datetime(2022, 11, 28, 17, 47, 56, 234512), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 56, 234512), 101.0, 290.0]"
11,"[datetime.datetime(2022, 11, 28, 17, 47, 57, 391660), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 57, 391660), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 47, 57, 391660), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 57, 391660), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 47, 57, 391660), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 47, 57, 391660), 101.0, 290.0]"
12,"[datetime.datetime(2022, 11, 28, 17, 47, 58, 566535), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 58, 566535), 13.0, 19.0]","[datetime.datetime(2022, 11, 28, 17, 47, 58, 566535), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 58, 566535), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 47, 58, 566535), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 47, 58, 566535), 101.0, 380.0]"
13,"[datetime.datetime(2022, 11, 28, 17, 47, 59, 725847), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 59, 725847), 13.0, 19.0]","[datetime.datetime(2022, 11, 28, 17, 47, 59, 725847), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 47, 59, 725847), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 47, 59, 725847), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 47, 59, 725847), 101.0, 360.0]"
14,"[datetime.datetime(2022, 11, 28, 17, 48, 0, 868856), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 0, 868856), 13.0, 19.0]","[datetime.datetime(2022, 11, 28, 17, 48, 0, 868856), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 0, 868856), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 0, 868856), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 0, 868856), 101.0, 360.0]"
15,"[datetime.datetime(2022, 11, 28, 17, 48, 2, 32843), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 2, 32843), 13.0, 19.0]","[datetime.datetime(2022, 11, 28, 17, 48, 2, 32843), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 2, 32843), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 2, 32843), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 2, 32843), 101.0, 350.0]"
16,"[datetime.datetime(2022, 11, 28, 17, 48, 3, 190304), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 3, 190304), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 3, 190304), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 3, 190304), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 3, 190304), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 3, 190304), 101.0, 340.0]"
17,"[datetime.datetime(2022, 11, 28, 17, 48, 4, 362878), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 4, 362878), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 4, 362878), 3.6, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 4, 362878), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 4, 362878), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 4, 362878), 101.0, 330.0]"
18,"[datetime.datetime(2022, 11, 28, 17, 48, 5, 523972), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 5, 523972), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 5, 523972), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 5, 523972), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 5, 523972), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 5, 523972), 101.0, 290.0]"
19,"[datetime.datetime(2022, 11, 28, 17, 48, 6, 684247), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 6, 684247), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 6, 684247), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 6, 684247), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 6, 684247), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 6, 684247), 101.0, 290.0]"
20,"[datetime.datetime(2022, 11, 28, 17, 48, 7, 821866), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 7, 821866), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 7, 821866), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 7, 821866), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 7, 821866), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 7, 821866), 101.0, 290.0]"
21,"[datetime.datetime(2022, 11, 28, 17, 48, 8, 970415), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 8, 970415), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 8, 970415), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 8, 970415), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 8, 970415), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 8, 970415), 101.0, 290.0]"
22,"[datetime.datetime(2022, 11, 28, 17, 48, 10, 125488), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 10, 125488), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 10, 125488), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 10, 125488), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 10, 125488), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 10, 125488), 101.0, 290.0]"
23,"[datetime.datetime(2022, 11, 28, 17, 48, 11, 293672), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 11, 293672), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 11, 293672), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 11, 293672), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 11, 293672), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 11, 293672), 101.0, 290.0]"
24,"[datetime.datetime(2022, 11, 28, 17, 48, 12, 448307), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 12, 448307), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 12, 448307), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 12, 448307), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 12, 448307), 6.0, 8.4]","[datetime.datetime(2022, 11, 28, 17, 48, 12, 448307), 101.0, 290.0]"
25,"[datetime.datetime(2022, 11, 28, 17, 48, 13, 596060), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 13, 596060), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 13, 596060), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 13, 596060), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 13, 596060), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 13, 596060), 101.0, 290.0]"
26,"[datetime.datetime(2022, 11, 28, 17, 48, 14, 744100), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 14, 744100), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 14, 744100), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 14, 744100), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 14, 744100), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 14, 744100), 101.0, 290.0]"
27,"[datetime.datetime(2022, 11, 28, 17, 48, 15, 899186), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 15, 899186), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 15, 899186), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 15, 899186), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 15, 899186), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 15, 899186), 101.0, 290.0]"
28,"[datetime.datetime(2022, 11, 28, 17, 48, 17, 111290), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 17, 111290), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 17, 111290), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 17, 111290), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 17, 111290), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 17, 48, 17, 111290), 101.0, 290.0]"
29,"[datetime.datetime(2022, 11, 28, 17, 48, 18, 303577), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 18, 303577), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 18, 303577), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 18, 303577), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 18, 303577), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 17, 48, 18, 303577), 101.0, 290.0]"
30,"[datetime.datetime(2022, 11, 28, 17, 48, 19, 460110), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 19, 460110), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 19, 460110), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 19, 460110), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 19, 460110), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 17, 48, 19, 460110), 101.0, 290.0]"
31,"[datetime.datetime(2022, 11, 28, 17, 48, 20, 611161), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 20, 611161), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 20, 611161), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 20, 611161), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 20, 611161), 6.0, 8.0]","[datetime.datetime(2022, 11, 28, 17, 48, 20, 611161), 101.0, 280.0]"
32,"[datetime.datetime(2022, 11, 28, 17, 48, 21, 769334), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 21, 769334), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 21, 769334), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 21, 769334), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 21, 769334), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 21, 769334), 101.0, 280.0]"
33,"[datetime.datetime(2022, 11, 28, 17, 48, 22, 919507), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 22, 919507), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 22, 919507), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 22, 919507), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 22, 919507), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 22, 919507), 101.0, 270.0]"
34,"[datetime.datetime(2022, 11, 28, 17, 48, 24, 84321), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 24, 84321), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 24, 84321), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 24, 84321), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 24, 84321), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 24, 84321), 101.0, 270.0]"
35,"[datetime.datetime(2022, 11, 28, 17, 48, 25, 260018), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 25, 260018), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 25, 260018), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 25, 260018), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 25, 260018), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 25, 260018), 101.0, 270.0]"
36,"[datetime.datetime(2022, 11, 28, 17, 48, 26, 400182), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 26, 400182), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 26, 400182), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 26, 400182), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 26, 400182), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 26, 400182), 101.0, 270.0]"
37,"[datetime.datetime(2022, 11, 28, 17, 48, 27, 557060), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 27, 557060), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 27, 557060), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 27, 557060), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 27, 557060), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 27, 557060), 101.0, 270.0]"
38,"[datetime.datetime(2022, 11, 28, 17, 48, 28, 723143), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 28, 723143), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 28, 723143), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 28, 723143), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 48, 28, 723143), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 28, 723143), 101.0, 270.0]"
39,"[datetime.datetime(2022, 11, 28, 17, 48, 29, 863756), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 29, 863756), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 29, 863756), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 29, 863756), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 29, 863756), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 29, 863756), 101.0, 270.0]"
40,"[datetime.datetime(2022, 11, 28, 17, 48, 31, 13972), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 31, 13972), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 31, 13972), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 31, 13972), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 31, 13972), 6.0, 8.2]","[datetime.datetime(2022, 11, 28, 17, 48, 31, 13972), 101.0, 270.0]"
41,"[datetime.datetime(2022, 11, 28, 17, 48, 32, 184505), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 32, 184505), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 32, 184505), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 32, 184505), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 32, 184505), 6.0, 8.6]","[datetime.datetime(2022, 11, 28, 17, 48, 32, 184505), 101.0, 270.0]"
42,"[datetime.datetime(2022, 11, 28, 17, 48, 33, 339606), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 33, 339606), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 33, 339606), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 33, 339606), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 33, 339606), 6.0, 9.2]","[datetime.datetime(2022, 11, 28, 17, 48, 33, 339606), 101.0, 270.0]"
43,"[datetime.datetime(2022, 11, 28, 17, 48, 34, 500806), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 34, 500806), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 34, 500806), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 34, 500806), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 34, 500806), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 48, 34, 500806), 101.0, 270.0]"
44,"[datetime.datetime(2022, 11, 28, 17, 48, 35, 667258), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 35, 667258), 13.0, 18.0]","[datetime.datetime(2022, 11, 28, 17, 48, 35, 667258), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 35, 667258), 26.0, 40.0]","[datetime.datetime(2022, 11, 28, 17, 48, 35, 667258), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 48, 35, 667258), 101.0, 270.0]"
45,"[datetime.datetime(2022, 11, 28, 17, 48, 36, 814654), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 36, 814654), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 36, 814654), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 36, 814654), 26.0, 36.0]","[datetime.datetime(2022, 11, 28, 17, 48, 36, 814654), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 48, 36, 814654), 101.0, 260.0]"
46,"[datetime.datetime(2022, 11, 28, 17, 48, 37, 961052), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 37, 961052), 13.0, 18.5]","[datetime.datetime(2022, 11, 28, 17, 48, 37, 961052), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 37, 961052), 26.0, 34.0]","[datetime.datetime(2022, 11, 28, 17, 48, 37, 961052), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 48, 37, 961052), 101.0, 260.0]"
47,"[datetime.datetime(2022, 11, 28, 17, 48, 39, 126240), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 39, 126240), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 48, 39, 126240), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 39, 126240), 26.0, 34.0]","[datetime.datetime(2022, 11, 28, 17, 48, 39, 126240), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 48, 39, 126240), 101.0, 230.0]"
48,"[datetime.datetime(2022, 11, 28, 17, 48, 40, 295122), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 40, 295122), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 48, 40, 295122), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 40, 295122), 26.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 48, 40, 295122), 6.0, 8.8]","[datetime.datetime(2022, 11, 28, 17, 48, 40, 295122), 101.0, 230.0]"
49,"[datetime.datetime(2022, 11, 28, 17, 48, 41, 436493), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 41, 436493), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 48, 41, 436493), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 41, 436493), 26.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 48, 41, 436493), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 48, 41, 436493), 101.0, 230.0]"
50,"[datetime.datetime(2022, 11, 28, 17, 48, 42, 584409), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 42, 584409), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 48, 42, 584409), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 42, 584409), 26.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 48, 42, 584409), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 48, 42, 584409), 101.0, 230.0]"
51,"[datetime.datetime(2022, 11, 28, 17, 48, 43, 744286), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 43, 744286), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 48, 43, 744286), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 43, 744286), 26.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 48, 43, 744286), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 48, 43, 744286), 101.0, 230.0]"
52,"[datetime.datetime(2022, 11, 28, 17, 48, 44, 902118), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 44, 902118), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 48, 44, 902118), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 44, 902118), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 48, 44, 902118), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 48, 44, 902118), 101.0, 220.0]"
53,"[datetime.datetime(2022, 11, 28, 17, 48, 46, 66095), 1.5, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 46, 66095), 13.0, 19.5]","[datetime.datetime(2022, 11, 28, 17, 48, 46, 66095), 3.7, 99999]","[datetime.datetime(2022, 11, 28, 17, 48, 46, 66095), 21.0, 32.0]","[datetime.datetime(2022, 11, 28, 17, 48, 46, 66095), 6.0, 9.0]","[datetime.datetime(2022, 11, 28, 17, 48, 46, 66095), 101.0, 220.0]"
