,Burn The Boats,Hush Puppy,Master Of Menace,Ready Enable,Royal George,The Wolverine,Thrax,Rufus Winright,Think Doro,Duchess Bree,Game Star,Is That You Ethel
07-01-2023 14:09:30.973787,"(10.0, 11.5, 11.389261744966444)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.209677419354838)","(71.0, 95.0, 91.25)","(31.0, 40.0, 38.83870967741935)","(7.0, 8.6, 8.476923076923077)","(101.0, 300.0, 273.3333333333333)","(2.9, 3.15, 3.1083333333333334)","(10.0, 13.0, 12.853260869565217)","(101.0, 320.0, 277.14285714285717)","(15.0, 17.0, 16.404761904761905)","(4.0, 4.9, 4.852760736196319)"
07-01-2023 14:09:32.580710,"(10.0, 11.5, 11.395569620253164)","(101.0, 550.0, 427.5)","(9.0, 11.5, 11.209677419354838)","(71.0, 95.0, 91.25)","(31.0, 40.0, 38.83870967741935)","(7.0, 8.6, 8.476923076923077)","(101.0, 300.0, 273.3333333333333)","(2.9, 3.15, 3.1083333333333334)","(10.0, 13.0, 12.853260869565217)","(101.0, 320.0, 277.14285714285717)","(15.0, 16.5, 16.404761904761905)","(4.0, 4.9, 4.852760736196319)"
07-01-2023 14:09:34.318387,"(10.0, 11.5, 11.395569620253164)","(101.0, 550.0, 542.0)","(9.0, 11.5, 11.220238095238095)","(71.0, 95.0, 91.84210526315789)","(31.0, 40.0, 38.78260869565217)","(7.0, 8.6, 8.539285714285715)","(101.0, 300.0, 274.19354838709677)","(2.8, 3.15, 3.1315104166666665)","(10.0, 13.0, 12.95138888888889)","(101.0, 320.0, 277.14285714285717)","(15.0, 16.5, 16.467105263157894)","(4.0, 4.9, 4.9625)"
07-01-2023 14:09:35.933079,"(10.0, 12.0, 11.794285714285714)","(101.0, 550.0, 542.0)","(9.0, 11.5, 11.225454545454545)","(71.0, 95.0, 92.14285714285714)","(31.0, 40.0, 38.96296296296296)","(7.0, 8.6, 8.535714285714285)","(101.0, 300.0, 271.42857142857144)","(2.9, 3.15, 3.181439393939394)","(10.0, 13.5, 12.9421768707483)","(101.0, 320.0, 309.09090909090907)","(15.0, 16.5, 16.458333333333332)","(4.0, 5.0, 4.983333333333333)"
07-01-2023 14:09:37.534308,"(10.0, 12.0, 11.802197802197803)","(101.0, 550.0, 542.0)","(9.0, 11.5, 11.225454545454545)","(71.0, 95.0, 92.14285714285714)","(31.0, 40.0, 38.96296296296296)","(7.0, 8.6, 8.544303797468354)","(101.0, 300.0, 271.42857142857144)","(2.9, 3.2, 3.152840909090909)","(10.0, 13.5, 12.9421768707483)","(101.0, 320.0, 309.09090909090907)","(15.0, 16.5, 16.448275862068964)","(4.0, 5.0, 4.983333333333333)"
07-01-2023 14:09:39.064083,"(10.0, 12.0, 11.48397435897436)","(101.0, 550.0, 541.25)","(9.0, 11.5, 11.218283582089553)","(71.0, 95.0, 92.04545454545455)","(31.0, 40.0, 38.7027027027027)","(7.0, 8.6, 8.528)","(101.0, 300.0, 271.42857142857144)","(2.9, 3.2, 3.152551020408163)","(10.0, 13.5, 12.9421768707483)","(101.0, 320.0, 311.53846153846155)","(15.0, 16.5, 16.448275862068964)","(4.0, 5.0, 4.983333333333333)"
07-01-2023 14:09:40.637581,"(10.0, 11.5, 11.802197802197803)","(101.0, 550.0, 541.25)","(9.0, 11.5, 11.20754716981132)","(71.0, 95.0, 92.14285714285714)","(31.0, 40.0, 38.7027027027027)","(7.0, 8.6, 8.522105263157895)","(101.0, 300.0, 271.42857142857144)","(2.9, 3.2, 3.1544117647058822)","(10.0, 13.5, 12.926573426573427)","(101.0, 330.0, 309.09090909090907)","(15.0, 16.5, 16.636363636363637)","(4.0, 5.0, 4.8900990099009904)"
07-01-2023 14:09:42.323698,"(10.0, 12.0, 11.802197802197803)","(101.0, 550.0, 541.25)","(9.0, 11.5, 11.20754716981132)","(71.0, 95.0, 92.14285714285714)","(31.0, 40.0, 38.64705882352941)","(7.0, 8.6, 8.516)","(101.0, 300.0, 271.42857142857144)","(2.7, 3.2, 3.182251908396947)","(10.0, 13.5, 12.956953642384105)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.6)","(4.2, 4.9, 4.8900990099009904)"
07-01-2023 14:09:43.856896,"(10.0, 12.0, 11.8)","(101.0, 550.0, 523.75)","(9.0, 11.5, 11.20754716981132)","(71.0, 95.0, 92.14285714285714)","(31.0, 40.0, 38.41379310344828)","(7.0, 8.6, 8.4822695035461)","(101.0, 300.0, 271.42857142857144)","(2.7, 3.2, 3.182251908396947)","(10.0, 13.5, 12.956953642384105)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.444444444444443)","(4.2, 4.9, 4.8819819819819825)"
07-01-2023 14:09:45.356918,"(10.0, 12.0, 11.78698224852071)","(101.0, 540.0, 538.3333333333334)","(9.0, 11.5, 11.190082644628099)","(71.0, 95.0, 91.25)","(31.0, 40.0, 38.41379310344828)","(7.0, 8.6, 8.474242424242425)","(101.0, 300.0, 271.42857142857144)","(2.7, 3.2, 3.199777777777778)","(10.0, 13.5, 12.918439716312056)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.904761904761905)","(4.0, 4.9, 4.877011494252874)"
07-01-2023 14:09:46.903163,"(10.0, 12.0, 11.86697247706422)","(101.0, 540.0, 541.1111111111111)","(9.0, 11.5, 11.190082644628099)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.41379310344828)","(7.0, 8.6, 8.471532846715329)","(101.0, 300.0, 271.42857142857144)","(2.7, 3.2, 3.174)","(10.0, 13.5, 12.918439716312056)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.869565217391305)","(4.0, 4.9, 4.879166666666667)"
07-01-2023 14:09:48.457287,"(10.0, 12.0, 11.86697247706422)","(101.0, 550.0, 541.1111111111111)","(9.0, 11.5, 11.190082644628099)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.41379310344828)","(7.0, 8.6, 8.471532846715329)","(101.0, 300.0, 271.42857142857144)","(2.7, 3.2, 3.174)","(10.0, 13.5, 12.918439716312056)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.869565217391305)","(4.0, 4.9, 4.879166666666667)"
07-01-2023 14:09:50.141788,"(10.0, 12.0, 11.86697247706422)","(101.0, 550.0, 541.1111111111111)","(9.0, 11.5, 11.0)","(71.0, 95.0, 91.17647058823529)","(31.0, 40.0, 38.41379310344828)","(7.0, 8.6, 8.475159235668789)","(101.0, 300.0, 271.42857142857144)","(2.7, 3.2, 3.1727642276422765)","(10.0, 13.5, 12.918439716312056)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.853658536585368)","(4.0, 4.9, 4.8808823529411764)"
07-01-2023 14:09:51.766629,"(10.0, 12.0, 11.88425925925926)","(101.0, 550.0, 541.1111111111111)","(9.0, 11.0, 10.911214953271028)","(71.0, 95.0, 91.47058823529412)","(31.0, 40.0, 38.46666666666667)","(7.0, 8.6, 8.42962962962963)","(101.0, 300.0, 274.19354838709677)","(2.7, 3.25, 3.1907407407407407)","(10.0, 13.5, 12.8841059602649)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.541666666666668)","(4.0, 4.9, 4.882758620689655)"
07-01-2023 14:09:53.377547,"(10.0, 12.0, 11.88425925925926)","(101.0, 550.0, 541.1111111111111)","(9.0, 11.0, 10.903061224489797)","(71.0, 95.0, 91.47058823529412)","(31.0, 40.0, 38.46666666666667)","(7.0, 8.6, 8.43265306122449)","(101.0, 300.0, 269.2307692307692)","(2.7, 3.2, 3.2033333333333336)","(10.0, 13.5, 12.840425531914894)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.676470588235293)","(4.0, 4.9, 4.8786885245901646)"
07-01-2023 14:09:54.885186,"(10.0, 12.0, 11.88425925925926)","(101.0, 550.0, 541.1111111111111)","(9.0, 11.0, 10.759615384615385)","(71.0, 95.0, 90.89285714285714)","(31.0, 40.0, 38.46666666666667)","(7.0, 8.6, 8.43265306122449)","(101.0, 300.0, 268.57142857142856)","(2.7, 3.25, 3.2073394495412844)","(10.0, 13.5, 12.840425531914894)","(101.0, 330.0, 309.09090909090907)","(15.0, 17.0, 16.607142857142858)","(4.0, 4.9, 4.8786885245901646)"
07-01-2023 14:09:56.445218,"(10.0, 12.0, 11.791666666666666)","(101.0, 550.0, 540.0)","(9.0, 11.0, 10.759615384615385)","(71.0, 95.0, 90.89285714285714)","(31.0, 40.0, 38.35)","(7.0, 8.6, 8.412345679012345)","(101.0, 300.0, 268.57142857142856)","(2.7, 3.25, 3.197979797979798)","(10.0, 13.5, 12.840425531914894)","(101.0, 330.0, 308.4375)","(15.0, 17.0, 16.607142857142858)","(4.0, 4.9, 4.8808510638297875)"
07-01-2023 14:09:58.041185,"(10.0, 12.0, 11.7734375)","(101.0, 550.0, 540.0)","(9.0, 11.0, 10.736842105263158)","(71.0, 95.0, 90.76923076923077)","(31.0, 40.0, 38.35)","(7.0, 8.6, 8.402597402597403)","(101.0, 300.0, 268.57142857142856)","(2.7, 3.25, 3.196907216494845)","(10.0, 13.5, 12.840425531914894)","(101.0, 330.0, 308.4375)","(14.0, 17.0, 16.607142857142858)","(4.0, 4.9, 4.875675675675676)"
07-01-2023 14:09:59.571373,"(10.0, 12.0, 11.791666666666666)","(101.0, 550.0, 540.0)","(9.0, 11.0, 10.736842105263158)","(71.0, 95.0, 90.76923076923077)","(31.0, 40.0, 38.30769230769231)","(7.0, 8.6, 8.405882352941177)","(101.0, 300.0, 266.15384615384613)","(2.7, 3.25, 3.1950495049504952)","(10.0, 13.5, 12.840425531914894)","(101.0, 330.0, 308.4375)","(14.0, 17.0, 16.607142857142858)","(4.0, 4.9, 4.862222222222222)"
07-01-2023 14:10:01.021094,"(10.0, 12.0, 11.791666666666666)","(101.0, 550.0, 535.0)","(9.0, 11.0, 10.816326530612244)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.419178082191781)","(101.0, 300.0, 296.0)","(2.7, 3.2, 3.1936440677966105)","(10.0, 13.5, 12.88345864661654)","(101.0, 330.0, 329.09090909090907)","(14.0, 17.0, 16.657894736842106)","(4.0, 4.9, 4.808571428571429)"
07-01-2023 14:10:02.607242,"(10.0, 12.0, 11.801587301587302)","(101.0, 550.0, 544.4444444444445)","(9.0, 11.0, 10.822916666666666)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.477419354838709)","(101.0, 350.0, 296.0)","(2.7, 3.2, 3.1915730337078654)","(10.0, 13.5, 12.88345864661654)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.083333333333332)","(4.0, 4.9, 4.808571428571429)"
07-01-2023 14:10:04.134911,"(10.0, 12.0, 11.806451612903226)","(101.0, 540.0, 535.0)","(9.0, 11.0, 10.434782608695652)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.48135593220339)","(101.0, 350.0, 296.0)","(2.7, 3.2, 3.1940476190476192)","(10.0, 13.5, 12.88345864661654)","(101.0, 380.0, 329.09090909090907)","(14.0, 16.5, 16.066666666666666)","(4.0, 4.9, 4.808571428571429)"
07-01-2023 14:10:05.755991,"(10.0, 12.0, 11.823529411764707)","(101.0, 540.0, 535.0)","(9.0, 10.5, 10.43632075471698)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.48135593220339)","(101.0, 350.0, 296.0)","(2.7, 3.2, 3.194318181818182)","(10.0, 13.5, 12.912213740458014)","(101.0, 380.0, 329.09090909090907)","(14.0, 16.5, 16.066666666666666)","(4.0, 4.9, 4.808571428571429)"
07-01-2023 14:10:07.299342,"(10.0, 12.0, 11.823529411764707)","(101.0, 540.0, 535.0)","(9.0, 10.5, 10.43632075471698)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.48135593220339)","(101.0, 350.0, 296.0)","(2.7, 3.2, 3.194318181818182)","(10.0, 13.5, 12.912213740458014)","(101.0, 380.0, 329.09090909090907)","(14.0, 16.5, 16.066666666666666)","(4.0, 4.9, 4.808571428571429)"
07-01-2023 14:10:08.917256,"(10.0, 12.0, 11.823529411764707)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.449029126213592)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.469565217391304)","(101.0, 350.0, 296.0)","(2.7, 3.2, 3.196987951807229)","(10.0, 13.5, 12.88888888888889)","(101.0, 380.0, 329.09090909090907)","(14.0, 16.5, 16.166666666666668)","(4.0, 4.9, 4.887719298245615)"
07-01-2023 14:10:10.531093,"(10.0, 12.0, 11.755102040816327)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.449029126213592)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.453658536585365)","(101.0, 350.0, 296.0)","(2.7, 3.2, 3.196987951807229)","(10.0, 13.5, 12.88888888888889)","(101.0, 380.0, 329.09090909090907)","(14.0, 16.5, 16.166666666666668)","(4.0, 4.9, 4.887719298245615)"
07-01-2023 14:10:12.119580,"(10.0, 12.0, 11.74468085106383)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.449029126213592)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.447826086956521)","(101.0, 350.0, 296.0)","(2.7, 3.2, 3.191860465116279)","(10.0, 13.5, 12.88888888888889)","(101.0, 380.0, 329.09090909090907)","(14.0, 16.5, 16.166666666666668)","(4.0, 4.9, 4.887719298245615)"
07-01-2023 14:10:13.750960,"(10.0, 12.0, 11.7)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.449029126213592)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.447826086956521)","(101.0, 350.0, 296.0)","(2.7, 3.25, 3.193820224719101)","(10.0, 13.5, 12.88888888888889)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.775862068965516)","(4.0, 4.9, 4.8865384615384615)"
07-01-2023 14:10:15.282539,"(10.0, 12.0, 11.7)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.448275862068966)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.453658536585365)","(101.0, 350.0, 296.0)","(2.7, 3.25, 3.193820224719101)","(10.0, 13.5, 12.874045801526718)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.736842105263158)","(4.0, 4.9, 4.879047619047619)"
07-01-2023 14:10:16.886332,"(10.0, 12.0, 11.62)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.391489361702128)","(71.0, 95.0, 91.05263157894737)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.535483870967742)","(101.0, 350.0, 296.0)","(2.7, 3.25, 3.19311377245509)","(10.0, 13.5, 13.011904761904763)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.754716981132077)","(4.0, 4.9, 4.990721649484536)"
07-01-2023 14:10:18.539598,"(10.0, 12.0, 11.62)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.38961038961039)","(71.0, 95.0, 91.05263157894737)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.528571428571428)","(101.0, 350.0, 296.0)","(2.7, 3.25, 3.213888888888889)","(10.0, 13.5, 12.822314049586776)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.754716981132077)","(4.0, 5.1, 5.008196721311475)"
07-01-2023 14:10:20.267162,"(10.0, 12.0, 11.62)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.38961038961039)","(71.0, 95.0, 91.05263157894737)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.528571428571428)","(101.0, 350.0, 296.0)","(2.7, 3.25, 3.2113636363636364)","(10.0, 13.5, 13.0)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 17.217391304347824)","(4.0, 5.1, 5.008196721311475)"
07-01-2023 14:10:21.893705,"(10.0, 12.0, 11.62)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.333333333333334)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.532631578947369)","(101.0, 350.0, 296.0)","(2.7, 3.25, 3.198091603053435)","(10.0, 13.5, 13.0)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.5, 16.916666666666668)","(4.0, 5.1, 5.0008)"
07-01-2023 14:10:23.534911,"(10.0, 12.0, 11.62)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.300884955752213)","(71.0, 95.0, 91.05263157894737)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.532631578947369)","(101.0, 350.0, 296.0)","(2.7, 3.25, 3.2863905325443787)","(10.0, 13.5, 12.996932515337424)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.9375)","(4.0, 5.1, 5.008196721311475)"
07-01-2023 14:10:25.119924,"(10.0, 12.0, 11.62)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.296943231441048)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.54)","(101.0, 350.0, 296.0)","(2.7, 3.3, 3.2870481927710844)","(10.0, 13.5, 12.996932515337424)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.75581395348837)","(4.0, 5.1, 5.0)"
07-01-2023 14:10:26.734784,"(10.0, 12.0, 11.590909090909092)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.316279069767441)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.522857142857143)","(101.0, 350.0, 296.0)","(2.7, 3.3, 3.2893034825870644)","(10.0, 13.5, 12.9640522875817)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.75581395348837)","(4.0, 5.1, 5.0)"
07-01-2023 14:10:28.355657,"(10.0, 12.0, 11.590909090909092)","(101.0, 540.0, 533.0769230769231)","(9.0, 10.5, 10.316279069767441)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.514666666666667)","(101.0, 350.0, 296.0)","(2.7, 3.3, 3.2905128205128205)","(10.0, 13.5, 13.011904761904763)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.75581395348837)","(4.0, 5.1, 4.947945205479452)"
07-01-2023 14:10:30.025465,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 530.0)","(9.0, 10.5, 10.316279069767441)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.514666666666667)","(101.0, 350.0, 296.0)","(2.7, 3.3, 3.291578947368421)","(10.0, 13.5, 13.011904761904763)","(101.0, 380.0, 329.09090909090907)","(14.0, 17.0, 16.75581395348837)","(4.0, 5.1, 4.96)"
07-01-2023 14:10:31.789950,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 520.0)","(9.0, 10.5, 10.294372294372295)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.522857142857143)","(101.0, 350.0, 296.0)","(2.7, 3.3, 3.2920454545454545)","(10.0, 13.5, 13.011904761904763)","(101.0, 380.0, 324.0)","(14.0, 17.0, 16.378048780487806)","(4.0, 5.0, 4.96)"
07-01-2023 14:10:33.493582,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 520.0)","(9.0, 10.5, 10.294372294372295)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.516923076923076)","(101.0, 350.0, 296.0)","(2.7, 3.3, 3.2920454545454545)","(10.0, 13.5, 12.9640522875817)","(101.0, 380.0, 324.0)","(14.0, 16.5, 16.378048780487806)","(4.0, 5.0, 4.96)"
07-01-2023 14:10:35.138289,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.294372294372295)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.469724770642202)","(101.0, 350.0, 296.0)","(2.7, 3.3, 3.317361111111111)","(10.0, 13.5, 12.9640522875817)","(101.0, 380.0, 324.0)","(14.0, 16.5, 16.378048780487806)","(4.0, 5.0, 4.96)"
07-01-2023 14:10:36.831134,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.324468085106384)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.468518518518518)","(101.0, 350.0, 296.0)","(2.7, 3.35, 3.3171328671328673)","(10.0, 13.5, 12.9640522875817)","(101.0, 380.0, 324.0)","(14.0, 16.5, 16.115384615384617)","(4.0, 5.0, 4.959090909090909)"
07-01-2023 14:10:38.522525,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.374233128834355)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.468518518518518)","(101.0, 350.0, 296.0)","(2.7, 3.35, 3.3132812499999997)","(10.0, 13.0, 12.986301369863014)","(101.0, 380.0, 324.0)","(14.0, 16.5, 15.973684210526315)","(4.0, 5.0, 4.959090909090909)"
07-01-2023 14:10:40.165646,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.368098159509202)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.7)","(7.0, 8.6, 8.373913043478261)","(101.0, 350.0, 324.0)","(2.7, 3.35, 3.3132812499999997)","(10.0, 13.0, 12.986301369863014)","(101.0, 380.0, 324.0)","(14.0, 16.5, 16.25)","(4.0, 5.0, 4.970731707317073)"
07-01-2023 14:10:41.885270,"(10.0, 12.0, 11.566666666666666)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.147540983606557)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.55555555555556)","(7.0, 8.4, 8.379104477611941)","(101.0, 340.0, 296.0)","(2.7, 3.35, 3.3976047904191615)","(10.0, 13.0, 12.986301369863014)","(101.0, 380.0, 310.0)","(14.0, 16.5, 16.214285714285715)","(4.0, 5.0, 4.932173913043478)"
07-01-2023 14:10:43.464080,"(10.0, 12.0, 11.546511627906977)","(101.0, 550.0, 522.7272727272727)","(9.0, 10.5, 10.147540983606557)","(71.0, 95.0, 91.0)","(31.0, 40.0, 38.55555555555556)","(7.0, 8.4, 8.387500000000001)","(101.0, 350.0, 296.0)","(2.7, 3.4, 3.3947826086956523)","(10.0, 13.0, 12.986301369863014)","(101.0, 380.0, 310.0)","(14.0, 16.5, 16.214285714285715)","(4.0, 5.0, 4.845652173913043)"
