,Jilliby Tina,Spike The Punch,Tackleberry,Showtime Bobby,Flash Fever,Secret Shades,Memory Lane,Juliette Keats
16-12-2022 12:36:03.592399,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:04.744159,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:05.830394,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:06.910545,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:08.010730,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:09.019738,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:10.099462,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:11.205992,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:12.362988,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:13.560867,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:14.679867,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:15.782440,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:16.887012,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.588888888888889)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
