,Joan Jet,Big Time Pacman,Chi Lin,Uncle Albert,Redeem A Rapper,Mow Cow
14-12-2022 12:13:26.573273,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:27.665729,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:28.728236,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:29.862188,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:30.866646,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 43.75)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:31.815480,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 75.0, 43.75)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:32.820349,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 75.0, 43.75)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:33.874588,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:34.886626,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:35.979959,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:37.045801,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:38.022838,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:39.111626,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 43.75)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:40.167528,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 75.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:41.169818,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:42.362167,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:43.582267,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:45.191172,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 41.25)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:46.883357,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 70.0, 27.083333333333336)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:48.117726,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:49.410708,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:50.393554,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:51.490888,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:52.457181,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:53.364654,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:54.349185,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:55.318264,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:56.647096,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:58.067414,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:13:59.176920,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:00.325058,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:01.514869,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:02.721016,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:03.772933,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:04.830123,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:05.853521,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:06.738042,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:07.771944,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 63.33333333333333)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:08.785145,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 63.33333333333333)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:09.722698,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 63.33333333333333)","(4.2, 13.5, 11.68)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:10.768871,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.5)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:11.647929,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.5)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:12.515679,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.5)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.6875)"
14-12-2022 12:14:13.388015,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 138.6764705882353)","(14.0, 100.0, 27.5)","(4.2, 13.5, 11.25)","(3.8, 6.0, 4.645833333333334)"
14-12-2022 12:14:14.237574,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 100.0, 27.5)","(4.2, 13.5, 11.25)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:15.129557,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 100.0, 27.5)","(4.2, 13.5, 11.25)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:16.014840,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 100.0, 27.5)","(4.2, 13.5, 11.25)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:17.052811,"(21.0, 240.0, 105.84615384615385)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 100.0, 63.33333333333333)","(4.2, 13.5, 12.59)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:17.980371,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 100.0, 63.33333333333333)","(4.2, 13.5, 12.59)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:18.860864,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 100.0, 27.083333333333336)","(4.2, 13.5, 12.59)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:19.749831,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 75.875)","(4.2, 13.5, 11.25)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:20.594285,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 75.875)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:21.485513,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:22.350581,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:23.254552,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:24.154305,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:25.024305,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:25.861621,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:26.700326,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:27.562346,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:28.422199,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.25)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:29.301563,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.25)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:30.174517,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:31.017411,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:31.860226,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:32.753891,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:33.599371,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 135.46875)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:34.541235,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 110.68181818181819)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:35.672011,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 110.68181818181819)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:37.019778,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:38.135550,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:39.234243,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:40.345462,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:41.615658,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:42.857764,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.25)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:43.806773,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:44.830849,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:45.844676,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
14-12-2022 12:14:46.727063,"(21.0, 240.0, 99.85714285714286)","(1.65, 1.71, 1.677)","(18.0, 190.0, 103.25)","(14.0, 85.0, 49.25)","(4.2, 13.5, 11.275)","(3.8, 5.9, 4.645833333333334)"
