,Wandering Star,Know Gloating,Impressive Sonic,Mysterious Lady,Goldstar Justice,Barbaras Angel,Mine Hunter,Feeling Fancy
15-12-2022 14:26:27.618635,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 19.771428571428572)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.4, 5.842307692307693)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:28.666172,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 19.771428571428572)","(19.0, 170.0, 94.5)","(8.0, 15.0, 12.657142857142855)","(3.5, 7.4, 5.842307692307693)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:29.703907,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 6.433333333333333)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:30.723303,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 6.725)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:31.828315,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 6.725)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:33.013836,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 6.566666666666666)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:34.145056,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 6.566666666666666)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:35.181450,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 6.725)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:36.227565,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 6.725)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:37.228757,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 6.725)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:38.262394,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:39.292431,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:40.436926,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:41.678518,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:43.041769,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 130.0, 62.5)","(7.5, 22.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:44.645113,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 62.5)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:45.924184,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 62.5)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:47.211575,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 62.5)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:48.513895,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 62.5)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:49.930588,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 62.5)","(7.5, 22.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:51.001259,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 62.5)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:52.058501,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 62.5)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:53.130335,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 120.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:54.194511,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:55.303725,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:56.290854,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:57.387271,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:58.533107,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:26:59.587525,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:00.583629,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:01.691520,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:02.738015,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:03.738704,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.604545454545455)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:04.810757,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.4, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:05.943134,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:07.069963,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:08.287098,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:09.395562,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.0)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:10.485441,"(2.7, 4.3, 3.5825)","(5.0, 10.5, 7.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 15.0, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 19.740000000000002)"
15-12-2022 14:27:11.637624,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 21.0, 17.07272727272727)"
15-12-2022 14:27:12.763369,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:13.922298,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:15.009087,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:16.105636,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:17.192925,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:18.333021,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:19.558596,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:20.677544,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:21.711108,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:22.772652,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:23.908340,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:24.958178,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:25.963650,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:27.093309,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:28.145561,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:29.236198,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:30.291254,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:31.312082,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:32.288301,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:33.302920,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 150.0, 69.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:34.260607,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 130.0, 92.16666666666667)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:35.290272,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:36.312648,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 21.824999999999996)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:37.415882,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 130.0, 61.9)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.6, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:38.405573,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:39.450620,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:40.486263,"(2.7, 4.3, 3.5825)","(5.0, 10.0, 8.75)","(18.0, 130.0, 61.9)","(7.5, 22.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 13.428571428571429)","(3.5, 7.4, 5.713636363636363)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:41.505726,"(2.7, 4.3, 3.899310344827586)","(5.0, 10.0, 8.366666666666667)","(18.0, 130.0, 68.0909090909091)","(7.5, 24.0, 20.075)","(19.0, 170.0, 94.5)","(8.0, 14.5, 12.066666666666666)","(3.5, 7.6, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:42.577446,"(2.7, 4.3, 3.544)","(5.0, 10.0, 8.366666666666667)","(18.0, 130.0, 68.0909090909091)","(7.5, 22.0, 20.075)","(19.0, 170.0, 97.33333333333333)","(8.0, 14.5, 13.973333333333333)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:43.627882,"(2.7, 4.3, 3.544)","(5.0, 10.0, 8.366666666666667)","(18.0, 130.0, 68.0909090909091)","(7.5, 22.0, 20.075)","(19.0, 160.0, 97.33333333333333)","(8.0, 14.5, 13.973333333333333)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:44.585843,"(2.7, 4.3, 3.544)","(5.0, 10.0, 8.366666666666667)","(18.0, 130.0, 68.0909090909091)","(7.5, 22.0, 20.075)","(19.0, 160.0, 97.33333333333333)","(8.0, 14.5, 13.973333333333333)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:45.550840,"(2.7, 4.3, 3.544)","(5.0, 10.0, 8.366666666666667)","(18.0, 130.0, 68.0909090909091)","(7.5, 22.0, 20.46)","(19.0, 160.0, 97.33333333333333)","(8.0, 14.5, 13.973333333333333)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:46.547732,"(2.7, 4.3, 3.544)","(5.0, 10.0, 8.366666666666667)","(18.0, 130.0, 68.0909090909091)","(7.5, 22.0, 20.46)","(19.0, 160.0, 97.33333333333333)","(8.0, 14.5, 12.066666666666666)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
15-12-2022 14:27:47.572651,"(2.7, 4.3, 3.544)","(5.0, 10.0, 8.366666666666667)","(18.0, 130.0, 68.0909090909091)","(7.5, 22.0, 20.46)","(19.0, 160.0, 97.33333333333333)","(8.0, 14.5, 12.066666666666666)","(3.5, 7.4, 5.604545454545455)","(9.0, 19.0, 17.07272727272727)"
