,Up There Billy,Aston Carlos,Curls Victory,Woodside Zulu,Dash Home,Just Buffy,Denzell Bale
10-01-2023 11:58:31.954721,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:32.966437,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:34.079877,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:35.110600,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:36.262189,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:37.319651,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.9461538461538461)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:38.369670,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:39.395380,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:40.393707,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:41.350674,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:42.328390,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:43.262006,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:44.275187,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:45.391688,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:46.489999,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:47.534146,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:48.575485,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:49.625941,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:50.671575,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:51.652229,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:52.635094,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:53.598494,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
10-01-2023 11:58:54.590609,"(3.7, 5.9, 5.089473684210526)","(7.0, 16.5, 13.147058823529413)","(1.65, 2.5, 1.8333333333333333)","(8.0, 17.0, 11.98181818181818)","(18.0, 48.0, 32.25)","(20.0, 55.0, 36.25)","(17.0, 55.0, 38.541666666666664)"
