,Lady Miki,Mon Soleil,Best Back Bruce,Kia Ora Beauty,Caledonian Terra,Morvah,Sunshine Warrior,Hameldaeme,Well Said Harps,Lenard Ess
11-01-2023 19:49:17.601280,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:19.192883,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:20.822685,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 14.166666666666666)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:22.493124,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 15.5, 15.972222222222221)","(101.0, 190.0, 172.72727272727275)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:24.069454,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 16.0, 15.972222222222221)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:25.810212,"(2.7, 4.0, 3.4857142857142858)","(6.5, 10.5, 9.75)","(17.0, 24.0, 19.333333333333332)","(13.0, 16.0, 20.84722222222222)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.0)","(2.9, 3.95, 3.6285714285714286)","(7.0, 11.0, 9.266666666666667)","(19.0, 29.0, 21.8)"
11-01-2023 19:49:27.249153,"(2.7, 4.0, 3.55)","(6.5, 10.5, 9.428571428571429)","(17.0, 24.0, 18.0)","(13.0, 21.0, 20.84722222222222)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 39.666666666666664)","(2.9, 3.95, 3.575)","(7.0, 11.0, 8.771428571428572)","(19.0, 29.0, 20.0)"
11-01-2023 19:49:28.700814,"(2.7, 4.0, 3.55)","(6.5, 10.5, 9.428571428571429)","(17.0, 24.0, 18.0)","(13.0, 21.0, 20.84722222222222)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 55.0, 37.6)","(2.9, 3.95, 3.5088235294117647)","(7.0, 11.0, 8.771428571428572)","(19.0, 29.0, 20.0)"
11-01-2023 19:49:30.246537,"(2.7, 4.0, 3.459090909090909)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 16.625)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 37.6)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.771428571428572)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:31.753459,"(2.7, 4.0, 3.459090909090909)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 16.625)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 46.93333333333334)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.771428571428572)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:33.265188,"(2.7, 4.0, 3.459090909090909)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 16.625)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 50.66666666666667)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:34.745277,"(2.7, 4.0, 3.459090909090909)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 16.625)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 50.66666666666667)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:36.200282,"(2.7, 4.0, 3.459090909090909)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 16.625)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 50.66666666666667)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:37.679822,"(2.7, 4.0, 3.5277777777777777)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 17.5)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 46.93333333333334)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:39.127995,"(2.7, 4.0, 3.5277777777777777)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 18.136363636363637)","(101.0, 190.0, 158.57142857142856)","(19.0, 34.0, 32.25)","(26.0, 60.0, 46.93333333333334)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:40.675707,"(2.7, 4.0, 3.5277777777777777)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 18.136363636363637)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 60.0, 50.66666666666667)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:42.169587,"(2.7, 4.0, 3.5277777777777777)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 21.0, 18.833333333333332)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 60.0, 50.66666666666667)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:43.647682,"(2.7, 4.0, 3.5277777777777777)","(6.5, 10.5, 9.5625)","(17.0, 24.0, 18.0)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 60.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:45.128332,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 18.0)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:46.628732,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 18.0)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:48.203583,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 18.0)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:49.777201,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 18.0)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:51.500888,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 19.333333333333332)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:53.319948,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 18.0)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:54.854313,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 18.0)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:56.429722,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 19.333333333333332)","(13.0, 20.0, 18.055555555555557)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:58.062888,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 19.333333333333332)","(13.0, 20.0, 17.666666666666668)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:49:59.553103,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 19.333333333333332)","(13.0, 20.0, 17.666666666666668)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:50:01.092389,"(2.7, 4.0, 3.5952380952380953)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 19.333333333333332)","(13.0, 20.0, 17.666666666666668)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 50.85714285714286)","(2.9, 3.95, 3.4833333333333334)","(7.0, 11.0, 8.92)","(19.0, 29.0, 21.0)"
11-01-2023 19:50:02.521954,"(2.7, 4.0, 3.835714285714286)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 19.333333333333332)","(13.0, 20.0, 18.9)","(101.0, 190.0, 120.0)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.4)","(2.9, 3.95, 3.7916666666666665)","(7.0, 11.0, 9.45)","(19.0, 29.0, 23.6)"
11-01-2023 19:50:03.959866,"(2.7, 3.95, 3.835714285714286)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 19.333333333333332)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 60.0, 44.333333333333336)","(2.9, 3.9, 3.575)","(7.0, 10.5, 9.55)","(19.0, 28.0, 23.0)"
11-01-2023 19:50:05.399348,"(2.7, 3.95, 3.7147058823529413)","(6.5, 10.5, 9.409090909090908)","(17.0, 24.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 42.666666666666664)","(2.9, 3.9, 3.575)","(7.0, 13.0, 11.1)","(19.0, 29.0, 22.1)"
11-01-2023 19:50:07.385835,"(2.7, 3.95, 3.715625)","(6.5, 10.5, 9.409090909090908)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 41.75)","(2.9, 3.9, 3.5)","(7.0, 12.0, 9.942857142857143)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:08.943768,"(2.7, 3.95, 3.655263157894737)","(6.5, 10.5, 9.409090909090908)","(17.0, 23.0, 19.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 38.42857142857143)","(2.9, 3.9, 3.5)","(7.0, 12.0, 9.95)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:10.513048,"(2.7, 3.95, 3.6833333333333336)","(6.5, 10.5, 9.409090909090908)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 42.666666666666664)","(2.9, 3.9, 3.5)","(7.0, 11.5, 8.833333333333334)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:11.970169,"(2.7, 3.95, 3.6833333333333336)","(6.5, 10.5, 9.409090909090908)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 60.0, 52.6)","(2.9, 3.9, 3.5285714285714285)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:13.607985,"(2.7, 3.95, 3.6833333333333336)","(6.5, 10.5, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 53.4)","(2.9, 3.9, 3.5285714285714285)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:15.104300,"(2.7, 3.85, 3.65)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 51.2)","(2.9, 3.9, 3.5)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:16.693514,"(2.7, 3.85, 3.65)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 60.0, 54.2)","(2.9, 3.9, 3.5)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:18.170395,"(2.7, 3.85, 3.65)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 20.75)"
11-01-2023 19:50:19.642378,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.23076923076923)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 24.6875)"
11-01-2023 19:50:21.059564,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:22.605048,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.23076923076923)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:24.107125,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5285714285714285)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:25.456862,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5285714285714285)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:26.845503,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5285714285714285)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:28.314563,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5285714285714285)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:29.686892,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.5285714285714285)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:31.303416,"(2.7, 3.85, 3.6833333333333336)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.9, 3.0522388059701493)","(7.0, 11.0, 8.833333333333334)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:32.901872,"(2.7, 3.85, 3.7750000000000004)","(6.5, 10.0, 9.5)","(17.0, 23.0, 21.9)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.2, 3.12)","(7.0, 11.0, 10.7)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:34.475042,"(2.7, 3.85, 3.6666666666666665)","(6.5, 10.0, 9.3)","(17.0, 23.0, 21.9)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.15, 3.12)","(7.0, 13.0, 9.22)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:35.995025,"(2.7, 3.85, 3.727777777777778)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.15, 3.12)","(7.0, 12.5, 9.22)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:37.387437,"(2.7, 3.85, 3.727777777777778)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.15, 3.12)","(7.0, 12.5, 9.22)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:38.783783,"(2.7, 3.85, 3.727777777777778)","(6.5, 10.0, 9.3)","(17.0, 23.0, 20.0)","(13.0, 19.5, 17.7)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.15, 3.12)","(7.0, 12.5, 9.22)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:40.155239,"(2.7, 3.85, 3.575)","(6.5, 10.0, 9.3)","(17.0, 23.0, 21.166666666666668)","(13.0, 19.5, 18.214285714285715)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.15, 3.05)","(7.0, 12.5, 9.22)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:41.622974,"(2.7, 3.85, 3.575)","(6.5, 10.0, 9.3)","(17.0, 23.0, 21.166666666666668)","(13.0, 19.5, 20.1)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.15, 3.05)","(7.0, 12.5, 9.22)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:43.019732,"(2.7, 3.85, 3.50625)","(6.5, 10.0, 9.3)","(17.0, 23.0, 21.166666666666668)","(13.0, 21.0, 20.1)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 54.2)","(2.9, 3.15, 3.05)","(7.0, 12.5, 9.976923076923077)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:44.415252,"(2.7, 3.85, 3.50625)","(6.5, 10.0, 9.3)","(17.0, 23.0, 21.166666666666668)","(13.0, 21.0, 20.1)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 48.333333333333336)","(2.9, 3.15, 3.05)","(7.0, 12.5, 10.614285714285714)","(19.0, 29.0, 25.166666666666664)"
11-01-2023 19:50:45.818182,"(2.7, 3.85, 3.50625)","(6.5, 10.0, 9.3)","(17.0, 23.0, 21.166666666666668)","(13.0, 21.0, 20.1)","(101.0, 190.0, 137.5)","(19.0, 34.0, 32.25)","(26.0, 65.0, 48.333333333333336)","(2.9, 3.15, 3.05)","(7.0, 11.5, 10.15)","(19.0, 29.0, 25.166666666666664)"
