,Go Goose Go,Agent Eleven,Mine Master,Aston Scepter,Finniss Blossom,Argent Street
14-12-2022 13:47:34.166227,"(3.0, 5.0, 3.775)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:35.245919,"(3.0, 5.0, 3.775)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:36.244052,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:37.219436,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:38.279551,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:39.238879,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 8.8, 6.612500000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:40.299985,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.942857142857143)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:41.382067,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:42.435629,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:43.449095,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:44.351310,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:45.363669,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:46.419425,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:47.497951,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:48.547418,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:49.678660,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:50.765395,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:51.818199,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 41.875)"
14-12-2022 13:47:52.950059,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:54.160771,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:55.291019,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:56.346349,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:57.475245,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:58.635928,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:47:59.769840,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:00.785683,"(3.0, 5.0, 3.8476923076923075)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:01.725022,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:02.789299,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:03.884596,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.5600000000000005)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:04.894453,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:05.967271,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:07.019600,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:08.112948,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:09.130568,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:10.135001,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:11.183738,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:12.302622,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:13.314270,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 7.0)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:14.431896,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:15.509775,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 10.0)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:16.767649,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 7.5)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:17.708212,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 7.5)","(18.0, 60.0, 42.291666666666664)"
14-12-2022 13:48:18.741208,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 8.836363636363636)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:19.891281,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 7.800000000000001)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:20.911752,"(3.0, 5.0, 3.650909090909091)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 7.800000000000001)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:21.893962,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 7.800000000000001)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:22.863387,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 7.800000000000001)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:23.827066,"(3.0, 5.0, 4.678297872340425)","(2.2, 2.88, 2.584)","(5.0, 9.0, 6.885714285714286)","(13.0, 29.0, 18.125)","(5.5, 12.0, 8.64)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:24.850291,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:25.920842,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:27.003792,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:28.050910,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:29.210666,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:30.364058,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:31.343202,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:32.519056,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 9.507692307692308)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:33.728838,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:34.788151,"(3.0, 5.0, 4.8241860465116275)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.654545454545454)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:35.741776,"(3.0, 5.0, 4.167777777777777)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:36.702555,"(3.0, 5.0, 4.167777777777777)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:37.660208,"(3.0, 5.0, 4.167777777777777)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:38.719981,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:39.845283,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:40.848916,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:41.896298,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:42.868386,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:43.913627,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:45.191028,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.325)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:46.496546,"(3.0, 5.0, 4.613157894736842)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.48)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:47.560636,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:48.516975,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:49.682745,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:50.784442,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:51.984115,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:53.145168,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:54.304151,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:55.406926,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:56.341238,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 41.875)"
14-12-2022 13:48:57.450075,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:58.485334,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:48:59.557562,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:00.497605,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:01.422192,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:02.471186,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:03.482305,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:04.619684,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:05.774890,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.285714285714285)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:06.887273,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.52)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:07.998920,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.5898039215686275)","(5.0, 9.0, 7.727272727272727)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.52)","(18.0, 60.0, 38.5)"
14-12-2022 13:49:08.958627,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.383448275862069)","(5.0, 9.0, 7.953846153846154)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.52)","(18.0, 60.0, 48.68421052631579)"
14-12-2022 13:49:10.095907,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.3614814814814817)","(5.0, 9.0, 7.800000000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.342857142857143)","(18.0, 60.0, 48.81578947368421)"
14-12-2022 13:49:11.216731,"(3.0, 5.0, 4.6613953488372095)","(2.2, 2.88, 2.3614814814814817)","(5.0, 9.0, 7.800000000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.342857142857143)","(18.0, 60.0, 48.81578947368421)"
14-12-2022 13:49:12.401014,"(3.0, 5.0, 4.3882352941176475)","(2.2, 2.88, 2.3614814814814817)","(5.0, 9.0, 7.800000000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.342857142857143)","(18.0, 60.0, 48.81578947368421)"
14-12-2022 13:49:13.416130,"(3.0, 5.0, 4.3882352941176475)","(2.2, 2.88, 2.3614814814814817)","(5.0, 9.0, 7.800000000000001)","(13.0, 29.0, 18.125)","(5.5, 12.0, 11.342857142857143)","(18.0, 60.0, 48.81578947368421)"
