,Lightning Jack,Bankx Turbo,Amicus Brief,Pirate Rick,Hes A Fine Man,Payster,Sheltowees Bali,Hiding The Brick
15-12-2022 12:26:09.943695,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2472727272727273)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 228.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:11.158606,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2472727272727273)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:12.315950,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2478688524590165)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:13.411148,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477005347593584)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:14.450861,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477005347593584)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:15.634539,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477005347593584)","(41.0, 100.0, 85.71428571428572)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 26.166666666666664)"
15-12-2022 12:26:16.783763,"(31.0, 220.0, 124.5)","(17.0, 290.0, 112.66666666666667)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 81.25)","(41.0, 410.0, 192.8)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:17.872116,"(31.0, 220.0, 105.4)","(17.0, 290.0, 90.5)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:19.040338,"(31.0, 220.0, 138.14285714285714)","(17.0, 290.0, 90.5)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:20.101053,"(31.0, 220.0, 138.14285714285714)","(17.0, 290.0, 90.5)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:21.104886,"(31.0, 220.0, 138.14285714285714)","(17.0, 290.0, 90.5)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:22.233176,"(31.0, 220.0, 181.8)","(17.0, 290.0, 90.5)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:23.346220,"(31.0, 220.0, 181.8)","(17.0, 290.0, 90.5)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:24.414015,"(31.0, 220.0, 181.8)","(17.0, 290.0, 90.5)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:25.490325,"(31.0, 220.0, 181.8)","(17.0, 290.0, 92.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:26.599190,"(31.0, 220.0, 181.8)","(17.0, 290.0, 92.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:27.665387,"(31.0, 220.0, 181.8)","(17.0, 290.0, 92.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:28.673596,"(31.0, 220.0, 181.8)","(17.0, 290.0, 92.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:29.642551,"(31.0, 220.0, 181.8)","(17.0, 290.0, 92.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:30.599958,"(31.0, 220.0, 181.8)","(17.0, 290.0, 92.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 254.85714285714286)","(15.0, 55.0, 44.0)","(13.0, 32.0, 19.25)"
15-12-2022 12:26:31.735679,"(31.0, 220.0, 181.8)","(17.0, 290.0, 92.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 289.33333333333337)","(15.0, 55.0, 41.8)","(13.0, 32.0, 27.5)"
15-12-2022 12:26:32.716792,"(31.0, 250.0, 213.16666666666669)","(17.0, 290.0, 114.0)","(7.0, 90.0, 58.5)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 73.0)","(41.0, 410.0, 289.33333333333337)","(15.0, 55.0, 41.8)","(13.0, 32.0, 28.4)"
15-12-2022 12:26:33.738573,"(31.0, 250.0, 194.75)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 90.9090909090909)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:34.848141,"(31.0, 250.0, 194.75)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 90.9090909090909)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:35.820178,"(31.0, 250.0, 194.75)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 90.9090909090909)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:36.825322,"(31.0, 250.0, 176.33333333333334)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2477837837837837)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:37.861894,"(31.0, 250.0, 176.33333333333334)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:38.946449,"(31.0, 250.0, 176.33333333333334)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:40.062463,"(31.0, 250.0, 176.33333333333334)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:41.171262,"(31.0, 250.0, 176.33333333333334)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:42.305754,"(31.0, 240.0, 187.25)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:43.323101,"(31.0, 240.0, 100.0)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:44.380102,"(31.0, 240.0, 100.0)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:45.476048,"(31.0, 240.0, 100.0)","(17.0, 290.0, 114.0)","(7.0, 90.0, 48.0)","(1.16, 1.25, 1.2352631578947368)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
15-12-2022 12:26:46.618110,"(31.0, 240.0, 100.0)","(17.0, 290.0, 114.0)","(7.0, 90.0, 64.4)","(1.16, 1.25, 1.23625)","(41.0, 100.0, 70.0)","(41.0, 410.0, 229.0)","(15.0, 55.0, 41.8)","(13.0, 32.0, 23.25)"
