,Seaton Key,Big Ram,Showtime Holly,Pistols At Dawn,Eyes On Meg,Hidden Fury,Calibration
07-12-2022 20:19:55.753851,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.3500000000000005)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:56.750956,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.246153846153846)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:57.818755,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.246153846153846)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:58.759855,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:19:59.777414,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:00.848922,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:01.993775,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:03.100412,"(1.6, 2.28, 1.895686274509804)","(51.0, 470.0, 328.6666666666667)","(3.2, 5.2, 3.7)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:04.218661,"(1.6, 2.28, 1.895686274509804)","(51.0, 470.0, 328.6666666666667)","(3.2, 5.1, 4.72)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:05.304808,"(1.6, 2.28, 1.895686274509804)","(51.0, 470.0, 328.6666666666667)","(3.2, 5.1, 4.72)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:06.344317,"(1.6, 2.28, 1.895686274509804)","(51.0, 470.0, 328.6666666666667)","(3.2, 5.1, 4.72)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:07.355489,"(1.6, 2.28, 1.895686274509804)","(51.0, 470.0, 328.6666666666667)","(3.2, 5.1, 4.72)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:08.398785,"(1.6, 2.28, 2.035)","(51.0, 470.0, 328.6666666666667)","(3.2, 5.1, 4.72)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:09.335912,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:10.323892,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:11.291354,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:12.318305,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:13.313080,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:14.325352,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:15.357179,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:16.373960,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:17.383263,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:18.362414,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 5.0, 4.047058823529412)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 9.266666666666666)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:19.395966,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:20.352155,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:21.353167,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:22.405401,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:23.449937,"(1.6, 2.28, 2.035)","(51.0, 480.0, 294.0)","(3.2, 4.9, 4.4363636363636365)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:24.496330,"(1.6, 2.28, 2.035)","(51.0, 460.0, 322.0)","(3.2, 5.2, 3.7)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:25.538690,"(1.6, 2.28, 2.035)","(51.0, 450.0, 369.2)","(3.2, 5.1, 4.72)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:26.542329,"(1.6, 2.28, 2.035)","(51.0, 450.0, 369.2)","(3.2, 5.1, 4.72)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:27.573630,"(1.6, 2.28, 2.035)","(51.0, 450.0, 369.2)","(3.2, 5.1, 4.72)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:28.563196,"(1.6, 2.28, 2.035)","(51.0, 450.0, 369.2)","(3.2, 5.1, 4.72)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:29.560253,"(1.6, 2.22, 1.90825)","(51.0, 450.0, 369.2)","(3.2, 5.1, 4.783333333333333)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:30.484038,"(1.6, 2.22, 1.90825)","(51.0, 450.0, 369.2)","(3.2, 5.1, 4.238888888888889)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:31.416532,"(1.6, 2.18, 1.8812765957446809)","(51.0, 450.0, 369.2)","(3.2, 5.0, 3.996153846153846)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:32.417628,"(1.6, 2.18, 1.8921428571428571)","(51.0, 450.0, 369.2)","(3.2, 5.0, 4.147368421052631)","(14.0, 34.0, 27.4375)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:33.524739,"(1.6, 2.16, 1.9212903225806452)","(51.0, 450.0, 369.2)","(3.2, 5.0, 4.7)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:34.576829,"(1.6, 2.16, 1.9212903225806452)","(51.0, 450.0, 369.2)","(3.2, 5.1, 4.783333333333333)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:35.653145,"(1.6, 2.16, 1.9212903225806452)","(51.0, 450.0, 369.2)","(3.2, 5.0, 4.147368421052631)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:36.682734,"(1.6, 2.16, 1.9212903225806452)","(51.0, 450.0, 369.2)","(3.2, 5.0, 4.147368421052631)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:37.694583,"(1.6, 2.16, 1.9212903225806452)","(51.0, 450.0, 369.2)","(3.2, 5.0, 4.147368421052631)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:38.763394,"(1.6, 2.16, 1.9212903225806452)","(51.0, 450.0, 369.2)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:39.754796,"(1.6, 2.16, 1.9212903225806452)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:40.754273,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:41.807598,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 22.333333333333336)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:42.848773,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 21.1875)","(5.5, 11.0, 7.6000000000000005)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:43.916522,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 21.1875)","(5.5, 11.0, 9.0)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:44.906809,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 21.1875)","(5.5, 11.0, 9.0)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:45.911840,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 21.1875)","(5.5, 11.0, 9.0)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:46.900207,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 21.1875)","(5.5, 11.0, 9.0)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:47.891639,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 316.0)","(3.2, 5.0, 3.6875)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.16)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:48.816245,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 277.7142857142857)","(3.2, 4.9, 4.075)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.16)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:49.787072,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 208.8)","(3.2, 4.9, 4.075)","(14.0, 34.0, 21.5)","(5.5, 11.0, 10.215384615384615)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:50.787104,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 208.8)","(3.2, 4.9, 4.075)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.0)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:51.848814,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 249.0)","(3.2, 4.9, 4.075)","(14.0, 34.0, 21.5)","(5.5, 11.0, 10.0)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:52.881924,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 249.0)","(3.2, 4.9, 4.075)","(14.0, 34.0, 21.5)","(5.5, 11.0, 10.0)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:53.894592,"(1.6, 2.16, 1.935357142857143)","(51.0, 450.0, 249.0)","(3.2, 4.9, 4.321428571428571)","(14.0, 34.0, 21.5)","(5.5, 11.0, 10.166666666666668)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:55.016939,"(1.6, 2.16, 1.935357142857143)","(51.0, 460.0, 254.0)","(3.2, 4.9, 4.321428571428571)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.16)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:56.064262,"(1.6, 2.16, 1.935357142857143)","(51.0, 460.0, 254.0)","(3.2, 5.1, 4.359999999999999)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.16)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:57.075253,"(1.6, 2.16, 1.935357142857143)","(51.0, 460.0, 254.0)","(3.2, 4.9, 3.6625)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.16)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:58.189483,"(1.6, 2.16, 1.935357142857143)","(51.0, 460.0, 254.0)","(3.2, 4.8, 4.24)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.16)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:20:59.183367,"(1.6, 2.16, 1.935357142857143)","(51.0, 460.0, 254.0)","(3.2, 4.9, 4.24)","(14.0, 34.0, 21.5)","(5.5, 11.0, 10.120000000000001)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:00.213659,"(1.6, 2.16, 1.935357142857143)","(51.0, 460.0, 254.0)","(3.2, 4.9, 4.24)","(14.0, 34.0, 21.5)","(5.5, 11.0, 10.120000000000001)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:01.255799,"(1.6, 2.16, 1.935357142857143)","(51.0, 460.0, 254.0)","(3.2, 4.8, 3.657142857142857)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.4)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:02.356265,"(1.6, 2.14, 1.9733333333333334)","(51.0, 460.0, 254.0)","(3.2, 4.8, 3.657142857142857)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.4)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:03.467572,"(1.6, 2.14, 1.9733333333333334)","(51.0, 440.0, 244.0)","(3.2, 4.8, 3.657142857142857)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.56)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:04.609751,"(1.6, 2.14, 1.9926315789473685)","(51.0, 440.0, 244.0)","(3.2, 4.8, 3.4333333333333336)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:05.755001,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.4333333333333336)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:06.854460,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.4333333333333336)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:07.943857,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.4333333333333336)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:09.043234,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.4333333333333336)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:10.196697,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.9)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:11.348620,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.9)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:12.519306,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.9)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 30.35)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:13.698000,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.9)","(14.0, 34.0, 21.5)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:14.854235,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.6, 3.4000000000000004)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:16.074106,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.4000000000000004)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:17.296392,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.4000000000000004)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:18.471754,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.4000000000000004)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:19.681393,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.757142857142857)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:20.874321,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.757142857142857)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:22.150170,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.4000000000000004)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:23.404403,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.4000000000000004)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
07-12-2022 20:21:24.554990,"(1.6, 2.14, 1.868)","(51.0, 440.0, 266.6666666666667)","(3.2, 4.4, 3.4000000000000004)","(14.0, 34.0, 17.75)","(5.5, 11.0, 9.733333333333334)","(13.0, 32.0, 24.0)","(31.0, 220.0, 97.21428571428571)"
