,Soopat,Jumping Power Two,Lavish Lady,So Extra,The Mitchell Snail,Empress Cleopatra,Jackal,Rust,Colonel Von Trapp
12-01-2023 11:58:40.260849,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:41.386906,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:42.586966,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:43.746954,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:44.926929,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:46.136845,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:47.297343,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:48.426811,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:49.666864,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:51.031905,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:52.300826,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:53.463431,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:54.602231,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:55.717521,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:56.931506,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:58.173700,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:58:59.457467,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 190.9090909090909)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:00.639144,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 190.9090909090909)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:01.826380,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:03.060271,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:04.257500,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:05.436175,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3099999999999996)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:06.676411,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3099999999999996)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:07.989401,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:09.239787,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:10.386171,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:11.686229,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:12.896188,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:14.037211,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:15.166117,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:16.316107,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:17.655952,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:18.826129,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:20.117223,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:21.297101,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:22.577118,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:23.740724,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:24.925547,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:26.189597,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 84.0)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 162.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 157.5)"
12-01-2023 11:59:27.394147,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 136.66666666666666)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:28.536050,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:29.759166,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:30.965373,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:32.066629,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:33.265172,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:34.469258,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:35.707298,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:36.883843,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:38.073143,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:39.152643,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:40.327612,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:41.464806,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:42.510085,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.133333333333334)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:43.606786,"(2.6, 2.94, 2.8099999999999996)","(2.15, 2.36, 2.3)","(7.0, 13.5, 10.9)","(4.6, 9.0, 7.8)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
12-01-2023 11:59:44.879677,"(2.6, 2.94, 2.7728571428571427)","(2.15, 2.36, 2.3505263157894736)","(7.0, 13.5, 11.35)","(4.6, 9.4, 7.8)","(31.0, 160.0, 131.5)","(101.0, 220.0, 185.71428571428572)","(81.0, 220.0, 180.0)","(101.0, 220.0, 152.5)","(101.0, 220.0, 185.71428571428572)"
