,Clan Mcmillan,Chilly Bin,Keira Spolly,Nixon Bale,Just Admit It,Gai Water Star,Balmoral,Locked And Ready
09-01-2023 15:03:46.662944,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:47.879676,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:49.061067,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:50.193208,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:51.342008,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:52.744838,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:53.985974,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:55.315634,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:56.628774,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
09-01-2023 15:03:57.914120,"(26.0, 250.0, 90.71428571428572)","(7.0, 14.0, 9.6)","(7.0, 12.5, 10.057142857142857)","(6.0, 9.8, 6.6571428571428575)","(17.0, 44.0, 27.88888888888889)","(3.9, 5.7, 3.5823529411764707)","(18.0, 55.0, 33.611111111111114)","(2.3, 3.35, 2.246279069767442)"
