,Lions Tooth,Taspinaro,Coronation Veronic,Saxon Mist,Labby Rock,Techno Awards,Another Prediction,Baheera,Punk Princess
07-12-2022 20:35:41.696723,"(4.2, 4.9, 4.816923076923077)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.533333333333333)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 65.625)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:42.946667,"(4.2, 4.9, 4.816923076923077)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.533333333333333)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 65.625)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:44.155038,"(4.2, 4.9, 4.816923076923077)","(15.0, 21.0, 19.875)","(6.0, 9.0, 8.676923076923076)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 58.888888888888886)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:45.347474,"(4.2, 4.9, 4.816923076923077)","(15.0, 21.0, 18.75)","(6.0, 9.0, 8.676923076923076)","(5.0, 7.4, 7.318181818181818)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 58.888888888888886)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:46.503484,"(4.2, 4.9, 4.816923076923077)","(15.0, 21.0, 17.85)","(6.0, 9.0, 8.676923076923076)","(5.0, 7.4, 7.8)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 58.888888888888886)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.8)"
07-12-2022 20:35:47.667813,"(4.2, 4.9, 4.816923076923077)","(15.0, 20.0, 19.0)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.533333333333333)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 56.81818181818182)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:48.833223,"(4.2, 4.9, 4.816923076923077)","(15.0, 20.0, 18.2)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 58.888888888888886)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:50.033937,"(4.2, 4.9, 4.816923076923077)","(15.0, 19.5, 18.25)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 70.0, 62.0)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:51.206823,"(4.2, 4.9, 4.816923076923077)","(15.0, 19.0, 18.0)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 62.0)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:52.367477,"(4.2, 4.9, 4.816923076923077)","(15.0, 19.0, 17.5)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 62.0)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:53.529631,"(4.2, 4.9, 4.816923076923077)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 62.0)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:54.687590,"(4.2, 4.9, 4.816923076923077)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 62.0)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:55.850259,"(4.2, 5.0, 4.89)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 62.0)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:56.964965,"(4.2, 5.0, 4.875384615384616)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.533333333333333)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.654545454545454)"
07-12-2022 20:35:58.262793,"(4.2, 5.0, 4.875384615384616)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.7)"
07-12-2022 20:35:59.430056,"(4.2, 5.0, 4.875384615384616)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.571428571428572)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:00.565525,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.785714285714286)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:01.674058,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.785714285714286)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.138461538461538)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:02.826609,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.538461538461538)","(6.0, 8.2, 8.176470588235293)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 5.872727272727272)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:04.070356,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 5.866666666666666)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:05.214556,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 5.866666666666666)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:06.373028,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.199999999999999)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:07.506369,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.288888888888889)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:08.742962,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.288888888888889)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:10.034461,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 6.288888888888889)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:11.229078,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 5.8999999999999995)","(5.0, 6.2, 5.788235294117647)"
07-12-2022 20:36:12.315752,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 5.8999999999999995)","(5.0, 6.2, 5.818181818181818)"
07-12-2022 20:36:13.385635,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 5.8999999999999995)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:14.479441,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.618181818181819)","(5.0, 8.0, 7.705882352941177)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.90909090909091)","(4.8, 6.6, 5.8999999999999995)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:15.574701,"(4.2, 5.0, 4.88688524590164)","(15.0, 19.0, 17.363636363636363)","(6.0, 9.0, 8.7375)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 63.333333333333336)","(4.8, 6.6, 5.8999999999999995)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:16.691529,"(4.2, 5.0, 4.88688524590164)","(15.0, 18.5, 18.0)","(6.0, 9.0, 8.7375)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 60.0)","(4.8, 6.6, 5.9)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:18.309320,"(4.2, 5.0, 4.88688524590164)","(15.0, 18.5, 18.0)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 63.333333333333336)","(4.8, 6.0, 5.9)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:19.611716,"(4.2, 5.0, 4.88688524590164)","(15.0, 18.5, 18.0)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 63.333333333333336)","(4.8, 6.0, 5.9)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:21.166355,"(4.2, 5.0, 4.88688524590164)","(15.0, 18.5, 17.6)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 63.333333333333336)","(4.8, 6.0, 5.9)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:22.415739,"(4.2, 5.0, 4.88688524590164)","(15.0, 18.5, 17.6)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 63.333333333333336)","(4.8, 6.0, 5.9)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:23.597076,"(4.2, 5.0, 4.88688524590164)","(15.0, 18.5, 17.75)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 65.0, 67.5)","(4.8, 6.0, 5.9)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:24.936447,"(4.2, 5.0, 4.88688524590164)","(15.0, 24.0, 22.333333333333332)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 67.5)","(4.8, 6.0, 5.866666666666666)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:26.244496,"(4.2, 5.0, 4.88688524590164)","(15.0, 24.0, 18.416666666666668)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 67.5)","(4.8, 6.6, 5.866666666666666)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:27.391146,"(4.2, 5.0, 4.88688524590164)","(15.0, 23.0, 18.416666666666668)","(6.0, 9.0, 8.778947368421052)","(5.0, 8.0, 7.8)","(6.0, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 67.5)","(4.8, 6.6, 6.199999999999999)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:28.590515,"(4.2, 5.0, 4.88688524590164)","(15.0, 23.0, 20.5)","(6.5, 9.0, 8.7375)","(5.0, 8.0, 7.8)","(6.5, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 67.5)","(4.8, 6.6, 6.199999999999999)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:29.808110,"(4.2, 5.0, 4.88688524590164)","(15.0, 23.0, 20.555555555555557)","(6.5, 9.0, 8.7375)","(5.0, 8.0, 7.8)","(6.5, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 67.5)","(4.8, 6.6, 6.199999999999999)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:30.998416,"(4.2, 5.0, 4.88688524590164)","(15.0, 23.0, 20.411764705882355)","(6.5, 9.8, 9.3)","(5.0, 8.0, 7.8)","(6.5, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 67.5)","(4.8, 6.6, 6.199999999999999)","(5.0, 6.0, 5.818181818181818)"
07-12-2022 20:36:32.186039,"(4.2, 5.0, 4.88688524590164)","(15.0, 23.0, 20.411764705882355)","(6.5, 9.6, 9.323076923076924)","(5.0, 8.0, 7.7272727272727275)","(6.5, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 66.42857142857143)","(4.8, 6.6, 5.866666666666666)","(5.0, 6.0, 5.914285714285715)"
07-12-2022 20:36:33.374710,"(4.2, 5.0, 4.88688524590164)","(15.0, 23.0, 20.25)","(6.5, 9.6, 9.323076923076924)","(5.0, 8.0, 7.7272727272727275)","(6.5, 8.2, 8.17142857142857)","(61.0, 120.0, 101.25)","(51.0, 75.0, 71.0)","(4.8, 6.6, 5.866666666666666)","(5.0, 6.0, 5.723529411764706)"
07-12-2022 20:36:34.481890,"(4.2, 5.0, 4.88688524590164)","(15.0, 23.0, 19.0)","(6.5, 9.6, 9.323076923076924)","(5.0, 8.0, 7.3076923076923075)","(6.5, 8.2, 8.133333333333333)","(61.0, 120.0, 93.75)","(51.0, 75.0, 71.0)","(4.8, 6.6, 6.0538461538461545)","(5.0, 5.9, 5.514285714285714)"
07-12-2022 20:36:35.697596,"(4.2, 5.0, 4.8808823529411764)","(15.0, 23.0, 19.0)","(6.5, 9.2, 8.899999999999999)","(5.0, 7.8, 7.45)","(6.5, 8.2, 8.12)","(61.0, 120.0, 102.0)","(51.0, 75.0, 71.0)","(4.8, 6.4, 6.033333333333333)","(5.0, 5.8, 5.515384615384615)"
07-12-2022 20:36:36.791164,"(4.2, 5.0, 4.836363636363636)","(15.0, 22.0, 19.142857142857142)","(6.5, 9.2, 8.95)","(5.0, 7.8, 7.418181818181818)","(6.5, 8.2, 8.12)","(61.0, 110.0, 102.0)","(51.0, 75.0, 71.0)","(4.8, 6.2, 6.033333333333333)","(5.0, 5.7, 5.515384615384615)"
07-12-2022 20:36:37.984806,"(4.2, 5.0, 4.836363636363636)","(15.0, 21.0, 19.5)","(6.5, 9.2, 8.923076923076923)","(5.0, 7.6, 7.644444444444444)","(6.5, 8.2, 8.12)","(61.0, 110.0, 102.0)","(51.0, 75.0, 71.0)","(4.8, 6.2, 5.866666666666666)","(5.0, 5.7, 5.515384615384615)"
07-12-2022 20:36:39.381009,"(4.2, 5.0, 5.55)","(15.0, 20.0, 18.75)","(6.5, 9.2, 8.84)","(5.0, 8.2, 7.507692307692308)","(6.5, 8.2, 8.12)","(61.0, 110.0, 102.0)","(51.0, 75.0, 71.0)","(4.8, 6.2, 5.866666666666666)","(5.0, 5.7, 5.453846153846154)"
07-12-2022 20:36:40.619423,"(4.2, 5.8, 5.55)","(15.0, 19.5, 18.75)","(6.5, 9.2, 8.729411764705882)","(5.0, 8.2, 7.6)","(6.5, 8.2, 8.12)","(61.0, 110.0, 95.71428571428571)","(51.0, 75.0, 123.0)","(4.8, 6.2, 5.844444444444444)","(5.0, 5.7, 5.453846153846154)"
07-12-2022 20:36:41.966712,"(4.2, 5.8, 5.0285714285714285)","(15.0, 19.5, 18.75)","(6.5, 9.2, 8.729411764705882)","(5.0, 8.2, 7.6)","(6.5, 8.2, 8.12)","(61.0, 110.0, 96.66666666666667)","(51.0, 140.0, 103.57142857142857)","(4.8, 6.2, 5.844444444444444)","(5.0, 5.7, 5.453846153846154)"
07-12-2022 20:36:43.348355,"(4.2, 5.7, 5.033333333333333)","(15.0, 19.5, 18.75)","(6.5, 9.2, 8.729411764705882)","(5.0, 8.2, 7.6)","(6.5, 8.2, 8.12)","(61.0, 100.0, 93.33333333333333)","(51.0, 140.0, 103.57142857142857)","(4.8, 6.2, 5.844444444444444)","(5.0, 5.7, 5.453846153846154)"
07-12-2022 20:36:44.697219,"(4.2, 5.7, 5.414285714285715)","(15.0, 19.5, 18.75)","(6.5, 9.2, 9.316666666666666)","(5.0, 8.2, 7.6)","(6.5, 8.2, 8.12)","(61.0, 100.0, 93.33333333333333)","(51.0, 140.0, 103.57142857142857)","(4.8, 6.2, 5.95)","(5.0, 5.7, 5.6625000000000005)"
07-12-2022 20:36:45.974898,"(4.2, 5.7, 5.414285714285715)","(15.0, 19.5, 18.75)","(6.5, 9.4, 9.275)","(5.0, 8.2, 7.6)","(6.5, 8.2, 8.12)","(61.0, 100.0, 92.0)","(51.0, 140.0, 103.57142857142857)","(4.8, 6.4, 5.95)","(5.0, 5.7, 5.64)"
07-12-2022 20:36:47.263481,"(4.2, 5.7, 5.38)","(15.0, 19.5, 18.428571428571427)","(6.5, 9.4, 9.257142857142858)","(5.0, 8.2, 7.6)","(6.5, 8.2, 8.12)","(61.0, 100.0, 92.0)","(51.0, 140.0, 98.88888888888889)","(4.8, 6.4, 5.95)","(5.0, 5.8, 5.64)"
