,Dayseas Rikki,Booming Boo Boo,Spring Demon,Vixon Lad,Jameson Bay,Identity Thief,Jamie Tartt,Katara Love
10-01-2023 16:39:26.720352,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:27.868582,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:28.944377,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:30.043329,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:31.156353,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:32.335097,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:33.434377,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:34.532446,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:35.635499,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:36.708805,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 5.138461538461538)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:37.792675,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 7.942857142857142)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:38.852794,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 7.942857142857142)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:39.904167,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 7.942857142857142)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 14.153846153846153)","(61.0, 570.0, 513.3333333333333)"
10-01-2023 16:39:40.914839,"(11.0, 23.0, 13.545454545454547)","(5.0, 9.2, 7.942857142857142)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 107.28571428571429)","(8.5, 16.0, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:42.044006,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:43.157922,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 46.0, 29.61111111111111)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:44.294055,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:45.407589,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:46.483580,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:47.601217,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:48.667712,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:49.729206,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:50.776970,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:51.840709,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:52.906094,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:53.934118,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:54.994987,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:56.046016,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:57.111005,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:58.225237,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:39:59.322235,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 1.8081818181818181)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:00.403068,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 2.4225)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:01.436442,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 2.4225)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:02.408892,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 33.611111111111114)","(1.75, 2.82, 2.4225)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 13.666666666666666)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:03.436063,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:04.505381,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:05.599863,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:06.722277,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:07.822693,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:08.948227,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:10.025739,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:11.132442,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.632941176470588)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:12.247792,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:13.379830,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:14.532015,"(11.0, 23.0, 17.923076923076923)","(5.0, 9.2, 7.942857142857142)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:15.567022,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:16.622628,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:17.642142,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:18.586094,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:19.625821,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:20.683773,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:21.828611,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:22.922796,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:23.984186,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:25.012307,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:26.013620,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:27.066079,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:28.128762,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:29.213202,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:30.317439,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:31.393941,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:32.454377,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:33.484640,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:34.546760,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:35.608971,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:36.705719,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.5309090909090908)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:37.856479,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.6624999999999996)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:38.993858,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.6624999999999996)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:40.136067,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 2.6624999999999996)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:41.158937,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:42.179924,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 8.152941176470588)","(18.0, 55.0, 35.75)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:43.259593,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 5.56)","(18.0, 55.0, 35.75)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
10-01-2023 16:40:44.400986,"(11.0, 23.0, 17.923076923076923)","(5.0, 8.6, 5.56)","(18.0, 55.0, 35.75)","(1.75, 2.82, 1.8463636363636364)","(4.2, 8.2, 4.7)","(31.0, 250.0, 139.0)","(8.5, 16.5, 9.583333333333332)","(61.0, 570.0, 485.0)"
