,Emerley Bruce,Allinga Chloe,Allinga Lily,Loving The Cash,Paramount State,Correlate,Dark Compass,Queen Of Scotch
16-12-2022 12:22:53.666720,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:54.626392,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:55.593876,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:56.591343,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:57.555706,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:58.592297,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:22:59.576214,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:23:00.595438,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 24.6875)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:23:01.579608,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:23:02.578020,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7763636363636364)"
16-12-2022 12:23:03.581930,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.24, 1.7844444444444445)"
16-12-2022 12:23:04.574559,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:05.567288,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:06.564033,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.0125)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:07.575659,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 16.5, 8.075)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:08.595666,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:09.570788,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:10.566386,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:11.594088,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:12.624169,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.22, 1.7844444444444445)"
16-12-2022 12:23:13.605667,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.22, 1.7727272727272727)"
16-12-2022 12:23:14.652594,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:15.661775,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:16.628403,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:17.582344,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:18.530080,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:19.497722,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:20.485503,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:21.476000,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:22.527168,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:23.582093,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:24.597352,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:25.604731,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:26.596923,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:27.578703,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:28.527569,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:29.497929,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:30.526137,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:31.576273,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:32.599897,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:33.637094,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:34.662047,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:35.710946,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:36.724697,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:37.731618,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:38.715992,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:39.719282,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:40.674337,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 26.38888888888889)","(41.0, 490.0, 116.66666666666667)","(81.0, 99998, 8343.333333333334)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 126.42857142857143)","(8.0, 17.0, 8.075)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:41.681203,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 91.77777777777777)","(81.0, 1000.0, 584.4444444444445)","(5.5, 9.4, 6.3933333333333335)","(31.0, 370.0, 312.7142857142857)","(8.0, 16.5, 8.74)","(1.6, 2.2, 1.7727272727272727)"
16-12-2022 12:23:42.735428,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 23.666666666666664)","(41.0, 480.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 9.4, 6.3933333333333335)","(31.0, 360.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.2, 1.78)"
16-12-2022 12:23:43.802158,"(3.9, 7.2, 4.555263157894737)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 9.4, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:44.870076,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:45.926288,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:46.986447,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:48.033582,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:49.074522,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:50.074029,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:51.051750,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:52.068945,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.78)"
16-12-2022 12:23:53.097553,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.18, 1.769090909090909)"
16-12-2022 12:23:54.158368,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.16, 1.769090909090909)"
16-12-2022 12:23:55.250528,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.16, 1.769090909090909)"
16-12-2022 12:23:56.313009,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.16, 1.769090909090909)"
16-12-2022 12:23:57.369526,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.16, 1.769090909090909)"
16-12-2022 12:23:58.449826,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.16, 1.769090909090909)"
16-12-2022 12:23:59.531975,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.16, 1.769090909090909)"
16-12-2022 12:24:00.716980,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.16, 1.7478260869565216)"
16-12-2022 12:24:01.890062,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.14, 1.7478260869565216)"
16-12-2022 12:24:03.012565,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 8.74)","(1.6, 2.14, 1.7478260869565216)"
16-12-2022 12:24:04.104149,"(3.9, 8.0, 4.723684210526316)","(15.0, 40.0, 23.666666666666664)","(41.0, 490.0, 86.8)","(81.0, 1000.0, 584.4444444444445)","(5.5, 10.0, 6.553333333333333)","(31.0, 370.0, 165.4)","(8.0, 16.5, 7.887499999999999)","(1.6, 2.14, 1.7478260869565216)"
