,Cedars Wish,Ghostly Squall,Timetogetup,Aims Jubilee,Emberly,Shenandoah Cat,Slewing,Windsors Play,All Caps,Charitable Any
15-12-2022 13:25:56.070742,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 188.33333333333334)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:57.515864,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 270.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:25:58.873696,"(18.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:00.276991,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:01.674350,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.88888888888889)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:03.136769,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.2, 8.661538461538461)","(26.0, 48.0, 39.2)","(12.0, 27.0, 24.444444444444443)","(11.0, 16.0, 14.333333333333334)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:04.575175,"(17.0, 32.0, 26.0)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.4, 9.2)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:05.994048,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.6, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:07.383747,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:08.743167,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:10.076490,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:11.487077,"(17.0, 32.0, 27.5)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:12.941789,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:14.363174,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:15.757344,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:17.120727,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 10.0, 9.094117647058823)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.998)","(41.0, 620.0, 373.14285714285717)"
