,Carlos Jewel,Diamond Alex,Iced Mocha,Go Hazel,Sefton Heights,Zipping Chassis,Opawa Solomon,Diamond Neena
15-12-2022 14:43:04.652863,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:05.708101,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:06.778448,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:07.872015,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:08.972125,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:10.010203,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:11.097199,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:12.267578,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:13.417823,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:14.604172,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:15.588841,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:16.693472,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:17.832285,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:18.978527,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:20.105837,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:21.152744,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:22.168331,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:23.265402,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:24.578185,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:25.837884,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:27.034103,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.6)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:28.185675,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 13.5125)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:29.434694,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:30.635445,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:31.828100,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:32.952035,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:34.019967,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:35.358561,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:36.468635,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:37.563153,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:38.710572,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:39.780413,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:40.794341,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:41.757544,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:42.797090,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:43.864867,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:45.016344,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:46.158379,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:47.412564,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:48.525048,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:49.599264,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:50.699234,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:51.752142,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:52.730467,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:53.771451,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:54.765240,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:55.788318,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:56.882354,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:57.958559,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:58.950600,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:43:59.994021,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:01.091412,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:02.108736,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:03.128245,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.490909090909092)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:04.135033,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 18.661538461538463)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:05.112943,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:06.182974,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:07.174692,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:08.225137,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 14.5, 10.65)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:09.223340,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 14.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:10.191561,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:11.155316,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:12.131450,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:13.103255,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:14.066836,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:15.096749,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:16.134563,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:17.145278,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:18.140449,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:19.154526,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
15-12-2022 14:44:20.115474,"(1.8, 2.88, 2.086666666666667)","(5.0, 8.4, 7.090909090909092)","(26.0, 290.0, 128.15384615384613)","(7.0, 7.4, 6.473846153846154)","(9.0, 19.5, 15.933333333333334)","(7.5, 15.5, 11.149999999999999)","(31.0, 330.0, 144.76923076923077)","(8.5, 18.0, 12.7)"
