,Springfield Spirit,Khulan Kid,Sure Thing Captain,Our Boy Roy,Blue Shard,Borderline,Braeview Fella,Redbank Molly,Shez All Style
10-01-2023 14:46:22.900567,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:24.032803,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:25.136363,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:26.265154,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:27.415427,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:28.643486,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:29.812006,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:30.984312,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:32.121111,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:33.274468,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:34.379330,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:35.489473,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:36.562586,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:37.712604,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:38.783910,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:39.950962,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:41.115033,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:42.273714,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:43.365458,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:44.436480,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:45.566354,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:46.699499,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:47.803014,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:48.930366,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:50.080431,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:51.185445,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:52.332609,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:53.458841,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:54.563417,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:55.648928,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:56.713138,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:57.864136,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:46:59.060233,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:47:00.223431,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:47:01.321187,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.4)","(1.3, 1.68, 1.5770588235294116)","(41.0, 150.0, 93.0)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 84.0)","(31.0, 95.0, 73.0)","(7.0, 12.0, 9.4)"
10-01-2023 14:47:02.463595,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.68, 1.5728571428571427)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 80.33333333333333)","(7.0, 12.0, 9.92)"
10-01-2023 14:47:03.590757,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.68, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 80.33333333333333)","(7.0, 12.0, 9.92)"
10-01-2023 14:47:04.692531,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 80.33333333333333)","(7.0, 12.0, 9.92)"
10-01-2023 14:47:05.764394,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 80.33333333333333)","(7.0, 12.0, 10.571428571428571)"
10-01-2023 14:47:06.861548,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.0)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 10.571428571428571)"
10-01-2023 14:47:07.945437,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 46.42857142857143)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 10.571428571428571)"
10-01-2023 14:47:09.082665,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 46.42857142857143)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 10.571428571428571)"
10-01-2023 14:47:10.230518,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 46.42857142857143)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 10.571428571428571)"
10-01-2023 14:47:11.377441,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 46.42857142857143)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 10.571428571428571)"
10-01-2023 14:47:12.591246,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5899999999999999)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:13.757028,"(71.0, 190.0, 113.33333333333334)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:14.874884,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:16.115197,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:17.281203,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 12.5, 11.02)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:18.390703,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 12.5, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:19.582128,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:20.765889,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:21.954647,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:23.129274,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:24.286736,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:25.470928,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:26.638208,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 104.4)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.52)","(31.0, 110.0, 98.85714285714286)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:27.775557,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 118.0)","(21.0, 55.0, 35.666666666666664)","(7.5, 15.0, 12.22)","(31.0, 110.0, 97.33333333333333)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:28.930319,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 118.0)","(21.0, 55.0, 35.666666666666664)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 67.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:30.155653,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(41.0, 150.0, 118.0)","(21.0, 55.0, 35.666666666666664)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.0, 12.0, 9.6)"
10-01-2023 14:47:31.358727,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 35.666666666666664)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
10-01-2023 14:47:32.576364,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 45.66666666666667)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
10-01-2023 14:47:33.737545,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 45.66666666666667)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
10-01-2023 14:47:34.939593,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 45.66666666666667)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
10-01-2023 14:47:36.074241,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 45.66666666666667)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
10-01-2023 14:47:37.220430,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 45.66666666666667)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
10-01-2023 14:47:38.368636,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 45.66666666666667)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
10-01-2023 14:47:39.565779,"(71.0, 190.0, 110.0)","(8.0, 12.0, 10.666666666666666)","(1.3, 1.67, 1.5671428571428572)","(51.0, 150.0, 118.0)","(21.0, 55.0, 45.66666666666667)","(7.5, 14.5, 12.22)","(31.0, 110.0, 91.5)","(31.0, 95.0, 62.5)","(7.5, 12.0, 9.6)"
