,Real Cute,Good Grab,Tecoma Street,Yakutsk,Spirit Of Luck,Baba Vanga,Hedonie,Heros Trinket,Lively Lass,Say Goodbye,Angels Voice
12-01-2023 14:21:11.112573,"(15.0, 23.0, 20.083333333333332)","(4.6, 6.4, 6.24)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.1658730158730157)","(4.4, 6.8, 6.71578947368421)","(26.0, 60.0, 54.23076923076923)","(51.0, 120.0, 112.14285714285714)","(20.0, 26.0, 24.4)"
12-01-2023 14:21:12.916514,"(15.0, 23.0, 20.083333333333332)","(4.6, 6.4, 6.449999999999999)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.1658730158730157)","(4.4, 6.8, 6.812765957446809)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 110.0)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:14.630233,"(15.0, 23.0, 20.75)","(4.6, 6.6, 6.4)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.1658730158730157)","(4.4, 7.0, 6.836734693877551)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 110.0)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:16.374860,"(15.0, 22.0, 20.75)","(4.6, 6.6, 6.304347826086957)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.35, 3.1941176470588233)","(4.4, 7.0, 6.857777777777778)","(26.0, 55.0, 63.75)","(51.0, 120.0, 110.0)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:18.029666,"(15.0, 22.0, 20.75)","(4.6, 6.8, 6.304347826086957)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1941176470588233)","(4.4, 7.0, 6.84)","(26.0, 65.0, 63.75)","(51.0, 120.0, 110.0)","(20.0, 26.0, 25.0)"
12-01-2023 14:21:19.703146,"(15.0, 22.0, 20.0)","(4.6, 6.8, 6.411764705882353)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1941176470588233)","(4.4, 7.0, 6.68)","(26.0, 65.0, 63.75)","(51.0, 120.0, 110.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:21.429072,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.432258064516129)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1736842105263157)","(4.4, 6.8, 6.68)","(26.0, 65.0, 58.46153846153846)","(51.0, 120.0, 110.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:23.150541,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1736842105263157)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 110.0)","(20.0, 26.0, 23.333333333333332)"
12-01-2023 14:21:24.866860,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.44375)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.17)","(4.4, 6.8, 6.68)","(26.0, 55.0, 54.23076923076923)","(51.0, 120.0, 100.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:26.531414,"(15.0, 21.0, 20.0)","(4.6, 6.8, 6.3875)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1875)","(4.4, 6.8, 6.68)","(26.0, 55.0, 58.46153846153846)","(51.0, 130.0, 100.0)","(20.0, 26.0, 24.5)"
12-01-2023 14:21:28.254181,"(15.0, 22.0, 20.25)","(4.6, 6.8, 6.406896551724138)","(21.0, 36.0, 31.5)","(4.0, 4.7, 4.616666666666667)","(51.0, 140.0, 107.5)","(101.0, 180.0, 140.0)","(2.9, 3.3, 3.1875)","(4.4, 6.8, 6.68)","(26.0, 60.0, 54.23076923076923)","(51.0, 130.0, 100.0)","(20.0, 26.0, 24.5)"
