,Writing Unexpected,Insider Trader,Devil Racer,Summer In Siam,Hide Your Heart,Enduring Night,No Impediment,Super Vino,Star Mission,Tip Top Timing,Westgrove
08-01-2023 15:06:27.253577,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 22.0, 19.625)","(4.0, 6.6, 5.6)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:28.474872,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 22.0, 19.625)","(4.0, 6.6, 5.6)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:29.686975,"(31.0, 160.0, 95.0)","(26.0, 140.0, 113.77777777777777)","(9.0, 12.0, 9.272727272727273)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 22.0, 14.272727272727273)","(4.0, 6.6, 5.6)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:30.968226,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 19.0, 14.272727272727273)","(4.0, 6.6, 5.6)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:32.207332,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 19.0, 14.272727272727273)","(4.0, 6.6, 6.0)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:33.451199,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 47.77777777777778)","(10.0, 12.5, 11.966666666666667)","(13.0, 19.0, 19.625)","(4.0, 6.6, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:34.753154,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 45.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 22.0, 15.5)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:36.049673,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 45.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 15.5)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:37.318612,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 51.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:38.554909,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 59.64285714285714)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:39.780969,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 59.64285714285714)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:41.053628,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 59.64285714285714)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:42.294767,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 59.64285714285714)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:43.568479,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 59.64285714285714)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:44.860400,"(31.0, 160.0, 95.0)","(26.0, 140.0, 115.1578947368421)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 80.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:46.152741,"(31.0, 160.0, 95.0)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:47.436761,"(31.0, 160.0, 95.0)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:48.676045,"(31.0, 160.0, 95.0)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 17.28125)","(4.0, 6.8, 5.828571428571428)","(7.0, 9.6, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:49.944484,"(31.0, 160.0, 95.0)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 13.25)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:51.173774,"(31.0, 160.0, 95.0)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 13.25)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:52.426467,"(31.0, 160.0, 95.0)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 13.25)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:53.731211,"(31.0, 160.0, 95.0)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 13.25)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:55.061894,"(31.0, 160.0, 62.5)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 75.19999999999999)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 13.25)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:56.364676,"(31.0, 95.0, 62.5)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 35.42857142857143)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 13.25)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:57.635239,"(31.0, 95.0, 62.5)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.285714285714285)","(26.0, 110.0, 35.42857142857143)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 13.25)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:06:59.072429,"(31.0, 95.0, 62.5)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 35.42857142857143)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.5, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:00.448527,"(31.0, 95.0, 62.5)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 35.42857142857143)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:01.914556,"(31.0, 95.0, 62.5)","(26.0, 140.0, 102.45454545454545)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:03.359553,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:04.807928,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:06.095284,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:07.444973,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 9.1)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:08.799424,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:10.045187,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:11.298548,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:12.566660,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 12.8)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:13.804105,"(31.0, 95.0, 62.5)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 18.0, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:15.074450,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:16.372876,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:17.696610,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:18.930460,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 66.5)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:20.209301,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 97.42857142857143)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:21.451081,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 100.22222222222223)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:22.665358,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.833333333333334)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 101.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:23.905714,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.25)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 101.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:25.164358,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.25)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 101.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 13.0)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.8)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:26.445476,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.25)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.036363636363635)","(26.0, 110.0, 101.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 15.666666666666668)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.4, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:27.658317,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.25)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.2, 8.125)","(26.0, 110.0, 101.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 15.666666666666668)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
08-01-2023 15:07:28.876910,"(31.0, 95.0, 84.84615384615384)","(26.0, 140.0, 120.33333333333333)","(9.0, 11.5, 9.25)","(3.6, 4.0, 3.954838709677419)","(7.5, 9.0, 8.125)","(26.0, 110.0, 101.2)","(10.0, 12.5, 11.966666666666667)","(13.0, 17.5, 15.666666666666668)","(4.0, 6.8, 5.296153846153846)","(7.0, 9.6, 8.399999999999999)","(13.0, 27.0, 25.090909090909093)"
