,Lucky Jim,Agent Starling,Madrigal Nz,Certainlycallitin,As She Says,Mullum Doc,Dont Fear For Me,Jakki Mun,Major Rumble
05-01-2023 12:24:51.070437,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:52.252137,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:53.395632,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:54.532823,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:55.745895,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:56.904544,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:58.127428,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:24:59.403449,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:00.668089,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:02.004350,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:03.348573,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:04.625822,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:05.877627,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:07.079936,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:08.300762,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:09.539338,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:10.784882,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:12.076792,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:13.378238,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:14.658941,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:15.890134,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:17.099804,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:18.279524,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:19.471732,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:20.570535,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:21.846209,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:23.099633,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:24.331246,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:25.559242,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:26.858695,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:28.118929,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:29.366566,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:30.648994,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 22.2)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 20.5)"
05-01-2023 12:25:31.938016,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:33.228833,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:34.463432,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:35.757211,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.399999999999999)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:36.993369,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:38.173813,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:39.388315,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:40.540836,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:41.600628,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:42.783659,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:43.937504,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:45.108489,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:46.301023,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:47.457316,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:48.649341,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:49.878423,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:51.014508,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:52.186918,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:53.284606,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:54.414614,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:55.466252,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:56.566677,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:57.724167,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:25:59.001752,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:00.245676,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:01.475164,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:02.685261,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:03.916794,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:05.078843,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:06.276909,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:07.377969,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:08.485394,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:09.622423,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:10.743778,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:11.873372,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
05-01-2023 12:26:13.023624,"(4.8, 8.6, 7.6499999999999995)","(61.0, 220.0, 174.28571428571428)","(1.65, 99999, 99990)","(51.0, 210.0, 164.28571428571428)","(11.0, 25.0, 18.25)","(12.0, 28.0, 20.5)","(31.0, 160.0, 65.0)","(4.8, 9.6, 8.55)","(13.0, 28.0, 24.25)"
